Time,"T","gammaNodes","material","Points:0","Points:1","Points:2"
10.05,56.687,0,1,-6,0,0.12499
10.05,56.72,0,1,-5.988,0,0.12499
10.05,56.752,0,1,-5.976,0,0.12499
10.05,56.785,0,1,-5.964,0,0.12499
10.05,56.818,0,1,-5.952,0,0.12499
10.05,56.85,0,1,-5.94,0,0.12499
10.05,56.883,0,1,-5.928,0,0.12499
10.05,56.916,0,1,-5.916,0,0.12499
10.05,56.948,0,1,-5.904,0,0.12499
10.05,56.981,0,1,-5.892,0,0.12499
10.05,57.014,0,1,-5.88,0,0.12499
10.05,57.046,0,1,-5.868,0,0.12499
10.05,57.063,0,1,-5.856,0,0.12499
10.05,57.072,0,1,-5.844,0,0.12499
10.05,57.081,0,1,-5.832,0,0.12499
10.05,57.091,0,1,-5.82,0,0.12499
10.05,57.1,0,1,-5.808,0,0.12499
10.05,57.109,0,1,-5.796,0,0.12499
10.05,57.119,0,1,-5.784,0,0.12499
10.05,57.128,0,1,-5.772,0,0.12499
10.05,57.137,0,1,-5.76,0,0.12499
10.05,57.147,0,1,-5.748,0,0.12499
10.05,57.156,0,1,-5.736,0,0.12499
10.05,57.163,0,1,-5.724,0,0.12499
10.05,57.168,0,1,-5.712,0,0.12499
10.05,57.173,0,1,-5.7,0,0.12499
10.05,57.179,0,1,-5.688,0,0.12499
10.05,57.184,0,1,-5.676,0,0.12499
10.05,57.189,0,1,-5.664,0,0.12499
10.05,57.194,0,1,-5.652,0,0.12499
10.05,57.199,0,1,-5.64,0,0.12499
10.05,57.204,0,1,-5.628,0,0.12499
10.05,57.209,0,1,-5.616,0,0.12499
10.05,57.214,0,1,-5.604,0,0.12499
10.05,57.219,0,1,-5.592,0,0.12499
10.05,57.224,0,1,-5.58,0,0.12499
10.05,57.229,0,1,-5.568,0,0.12499
10.05,57.234,0,1,-5.556,0,0.12499
10.05,57.239,0,1,-5.544,0,0.12499
10.05,57.245,0,1,-5.532,0,0.12499
10.05,57.25,0,1,-5.52,0,0.12499
10.05,57.255,0,1,-5.508,0,0.12499
10.05,57.26,0,1,-5.496,0,0.12499
10.05,57.265,0,1,-5.484,0,0.12499
10.05,57.271,0,1,-5.472,0,0.12499
10.05,57.276,0,1,-5.46,0,0.12499
10.05,57.282,0,1,-5.448,0,0.12499
10.05,57.289,0,1,-5.436,0,0.12499
10.05,57.295,0,1,-5.424,0,0.12499
10.05,57.302,0,1,-5.412,0,0.12499
10.05,57.309,0,1,-5.4,0,0.12499
10.05,57.316,0,1,-5.388,0,0.12499
10.05,57.324,0,1,-5.376,0,0.12499
10.05,57.332,0,1,-5.364,0,0.12499
10.05,57.341,0,1,-5.352,0,0.12499
10.05,57.349,0,1,-5.34,0,0.12499
10.05,57.357,0,1,-5.328,0,0.12499
10.05,57.367,0,1,-5.316,0,0.12499
10.05,57.379,0,1,-5.304,0,0.12499
10.05,57.391,0,1,-5.292,0,0.12499
10.05,57.403,0,1,-5.28,0,0.12499
10.05,57.415,0,1,-5.268,0,0.12499
10.05,57.426,0,1,-5.256,0,0.12499
10.05,57.454,0,1,-5.244,0,0.12499
10.05,57.486,0,1,-5.232,0,0.12499
10.05,57.518,0,1,-5.22,0,0.12499
10.05,57.55,0,1,-5.208,0,0.12499
10.05,57.582,0,1,-5.196,0,0.12499
