Time,"T","material","Points:0","Points:1","Points:2"
10.05,55.839,1,-6,0,0.12499
10.05,55.891,1,-5.988,0,0.12499
10.05,55.944,1,-5.976,0,0.12499
10.05,55.996,1,-5.964,0,0.12499
10.05,56.049,1,-5.952,0,0.12499
10.05,56.101,1,-5.94,0,0.12499
10.05,56.143,1,-5.928,0,0.12499
10.05,56.168,1,-5.916,0,0.12499
10.05,56.194,1,-5.904,0,0.12499
10.05,56.219,1,-5.892,0,0.12499
10.05,56.244,1,-5.88,0,0.12499
10.05,56.27,1,-5.868,0,0.12499
10.05,56.285,1,-5.856,0,0.12499
10.05,56.297,1,-5.844,0,0.12499
10.05,56.31,1,-5.832,0,0.12499
10.05,56.322,1,-5.82,0,0.12499
10.05,56.334,1,-5.808,0,0.12499
10.05,56.345,1,-5.796,0,0.12499
10.05,56.352,1,-5.784,0,0.12499
10.05,56.358,1,-5.772,0,0.12499
10.05,56.365,1,-5.76,0,0.12499
10.05,56.372,1,-5.748,0,0.12499
10.05,56.378,1,-5.736,0,0.12499
10.05,56.383,1,-5.724,0,0.12499
10.05,56.387,1,-5.712,0,0.12499
10.05,56.391,1,-5.7,0,0.12499
10.05,56.396,1,-5.688,0,0.12499
10.05,56.4,1,-5.676,0,0.12499
10.05,56.404,1,-5.664,0,0.12499
10.05,56.407,1,-5.652,0,0.12499
10.05,56.41,1,-5.64,0,0.12499
10.05,56.414,1,-5.628,0,0.12499
10.05,56.417,1,-5.616,0,0.12499
10.05,56.42,1,-5.604,0,0.12499
10.05,56.423,1,-5.592,0,0.12499
10.05,56.426,1,-5.58,0,0.12499
10.05,56.429,1,-5.568,0,0.12499
10.05,56.432,1,-5.556,0,0.12499
10.05,56.435,1,-5.544,0,0.12499
10.05,56.438,1,-5.532,0,0.12499
10.05,56.442,1,-5.52,0,0.12499
10.05,56.445,1,-5.508,0,0.12499
10.05,56.448,1,-5.496,0,0.12499
10.05,56.451,1,-5.484,0,0.12499
10.05,56.454,1,-5.472,0,0.12499
10.05,56.458,1,-5.46,0,0.12499
