Time,"T","material","Points:0","Points:1","Points:2"
10.05,55.432,1,-6,0,0.12499
10.05,55.463,1,-5.988,0,0.12499
10.05,55.494,1,-5.976,0,0.12499
10.05,55.526,1,-5.964,0,0.12499
10.05,55.557,1,-5.952,0,0.12499
10.05,55.588,1,-5.94,0,0.12499
10.05,55.62,1,-5.928,0,0.12499
10.05,55.651,1,-5.916,0,0.12499
10.05,55.683,1,-5.904,0,0.12499
10.05,55.714,1,-5.892,0,0.12499
10.05,55.745,1,-5.88,0,0.12499
10.05,55.777,1,-5.868,0,0.12499
10.05,55.792,1,-5.856,0,0.12499
10.05,55.801,1,-5.844,0,0.12499
10.05,55.81,1,-5.832,0,0.12499
10.05,55.819,1,-5.82,0,0.12499
10.05,55.828,1,-5.808,0,0.12499
10.05,55.837,1,-5.796,0,0.12499
10.05,55.846,1,-5.784,0,0.12499
10.05,55.855,1,-5.772,0,0.12499
10.05,55.864,1,-5.76,0,0.12499
10.05,55.872,1,-5.748,0,0.12499
10.05,55.881,1,-5.736,0,0.12499
10.05,55.889,1,-5.724,0,0.12499
10.05,55.893,1,-5.712,0,0.12499
10.05,55.898,1,-5.7,0,0.12499
10.05,55.903,1,-5.688,0,0.12499
10.05,55.908,1,-5.676,0,0.12499
10.05,55.912,1,-5.664,0,0.12499
10.05,55.917,1,-5.652,0,0.12499
10.05,55.922,1,-5.64,0,0.12499
10.05,55.927,1,-5.628,0,0.12499
10.05,55.931,1,-5.616,0,0.12499
10.05,55.936,1,-5.604,0,0.12499
10.05,55.941,1,-5.592,0,0.12499
10.05,55.946,1,-5.58,0,0.12499
10.05,55.951,1,-5.568,0,0.12499
10.05,55.956,1,-5.556,0,0.12499
10.05,55.961,1,-5.544,0,0.12499
10.05,55.966,1,-5.532,0,0.12499
10.05,55.971,1,-5.52,0,0.12499
10.05,55.976,1,-5.508,0,0.12499
10.05,55.981,1,-5.496,0,0.12499
10.05,55.986,1,-5.484,0,0.12499
10.05,55.991,1,-5.472,0,0.12499
10.05,55.996,1,-5.46,0,0.12499
10.05,56.003,1,-5.448,0,0.12499
10.05,56.009,1,-5.436,0,0.12499
10.05,56.016,1,-5.424,0,0.12499
10.05,56.023,1,-5.412,0,0.12499
10.05,56.029,1,-5.4,0,0.12499
10.05,56.036,1,-5.388,0,0.12499
10.05,56.045,1,-5.376,0,0.12499
10.05,56.053,1,-5.364,0,0.12499
10.05,56.062,1,-5.352,0,0.12499
10.05,56.071,1,-5.34,0,0.12499
10.05,56.079,1,-5.328,0,0.12499
10.05,56.09,1,-5.316,0,0.12499
10.05,56.102,1,-5.304,0,0.12499
10.05,56.114,1,-5.292,0,0.12499
10.05,56.126,1,-5.28,0,0.12499
10.05,56.139,1,-5.268,0,0.12499
10.05,56.151,1,-5.256,0,0.12499
10.05,56.179,1,-5.244,0,0.12499
10.05,56.21,1,-5.232,0,0.12499
10.05,56.242,1,-5.22,0,0.12499
10.05,56.273,1,-5.208,0,0.12499
10.05,56.305,1,-5.196,0,0.12499
10.05,56.398,1,-5.184,0,0.12499
10.05,56.862,1,-5.172,0,0.12499
10.05,57.326,1,-5.16,0,0.12499
10.05,57.79,1,-5.148,0,0.12499
10.05,58.254,1,-5.136,0,0.12499
10.05,58.717,1,-5.124,0,0.12499
10.05,62.592,1,-5.112,0,0.12499
10.05,70.044,1,-5.1,0,0.12499
10.05,77.496,1,-5.088,0,0.12499
10.05,101.8,1,-5.076,0,0.12499
10.05,134.75,1,-5.064,0,0.12499
10.05,167.7,1,-5.052,0,0.12499
10.05,231.61,1,-5.04,0,0.12499
10.05,301.7,1,-5.028,0,0.12499
10.05,310.9,1,-5.016,0,0.12499
10.05,299.81,1,-5.004,0,0.12499
10.05,295.59,0,-4.992,0,0.12499
10.05,294.81,0,-4.98,0,0.12499
10.05,294.75,0,-4.968,0,0.12499
10.05,295.2,0,-4.956,0,0.12499
10.05,296.12,0,-4.944,0,0.12499
