"T","gammaNodes","Points:0","Points:1","Points:2"
623.76,0,-1.2,0,0
627.57,0,-1.1915,0,0
631.38,0,-1.183,0,0
635.18,0,-1.1745,0,0
638.95,0,-1.166,0,0
642.71,0,-1.1575,0,0
646.46,0,-1.149,0,0
650.19,0,-1.1405,0,0
653.94,0,-1.132,0,0
657.72,0,-1.1235,0,0
661.55,0,-1.115,0,0
665.46,0,-1.1065,0,0
669.46,0,-1.098,0,0
673.58,0,-1.0895,0,0
677.84,0,-1.081,0,0
682.21,0,-1.0725,0,0
686.72,0,-1.064,0,0
691.37,0,-1.0555,0,0
696.11,0,-1.047,0,0
700.95,0,-1.0385,0,0
705.9,0,-1.03,0,0
710.9,0,-1.0215,0,0
715.95,0,-1.013,0,0
721.06,0,-1.0045,0,0
726.16,0,-0.996,0,0
731.27,0,-0.9875,0,0
736.34,0,-0.979,0,0
741.36,0,-0.9705,0,0
746.34,0,-0.962,0,0
751.22,0,-0.9535,0,0
756.05,0,-0.945,0,0
760.84,0,-0.9365,0,0
765.6,0,-0.928,0,0
770.42,0,-0.9195,0,0
775.31,0,-0.911,0,0
780.4,0,-0.9025,0,0
785.73,0,-0.894,0,0
791.26,0,-0.8855,0,0
797.09,0,-0.877,0,0
803.2,0,-0.8685,0,0
809.49,0,-0.86,0,0
816.02,0,-0.8515,0,0
822.79,0,-0.843,0,0
829.69,0,-0.8345,0,0
836.74,0,-0.826,0,0
843.93,0,-0.8175,0,0
851.19,0,-0.809,0,0
858.51,0,-0.8005,0,0
865.83,0,-0.792,0,0
873.12,0,-0.7835,0,0
880.35,0,-0.775,0,0
887.38,0,-0.7665,0,0
894.23,0,-0.758,0,0
900.9,0,-0.7495,0,0
907.19,0,-0.741,0,0
913.3,0,-0.7325,0,0
919.27,0,-0.724,0,0
925.24,0,-0.7155,0,0
931.59,0,-0.707,0,0
938.31,0,-0.6985,0,0
945.77,0,-0.69,0,0
953.84,0,-0.6815,0,0
962.34,0,-0.673,0,0
971.41,0,-0.6645,0,0
980.94,0,-0.656,0,0
990.78,0,-0.6475,0,0
1001,0,-0.639,0,0
1011.5,0,-0.6305,0,0
1022.3,0,-0.622,0,0
1033.2,0,-0.6135,0,0
1044.4,0,-0.605,0,0
1055.6,0,-0.5965,0,0
1067,0,-0.588,0,0
1078.2,0,-0.5795,0,0
1089.2,0,-0.571,0,0
1100,0,-0.5625,0,0
1110,0,-0.554,0,0
1119.3,0,-0.5455,0,0
1127.8,0,-0.537,0,0
1134.7,0,-0.5285,0,0
1140.9,0,-0.52,0,0
1146.9,0,-0.5115,0,0
1154.8,0,-0.503,0,0
1164.8,0,-0.4945,0,0
1176.2,0,-0.486,0,0
1189.2,0,-0.4775,0,0
1203.2,0,-0.469,0,0
1217.8,0,-0.4605,0,0
1233.2,0,-0.452,0,0
1249.2,0,-0.4435,0,0
1265.7,0,-0.435,0,0
1282.7,0,-0.4265,0,0
1300.3,0,-0.418,0,0
1318.2,0,-0.4095,0,0
1336.6,0,-0.401,0,0
1355.4,0,-0.3925,0,0
1374.4,0,-0.384,0,0
1393.7,0,-0.3755,0,0
1412.7,0,-0.367,0,0
1431.2,0,-0.3585,0,0
1449,0,-0.35,0,0
1463.6,0,-0.3415,0,0
1474.2,0,-0.333,0,0
1480.4,0,-0.3245,0,0
1471.7,1,-0.316,0,0
1473,1,-0.3075,0,0
1482.9,0,-0.299,0,0
1504.7,0,-0.2905,0,0
1527.7,0,-0.282,0,0
1551.7,0,-0.2735,0,0
1576.7,0,-0.265,0,0
1602.5,0,-0.2565,0,0
1629.1,0,-0.248,0,0
1656.6,0,-0.2395,0,0
1685.2,0,-0.231,0,0
1714.6,0,-0.2225,0,0
1745,0,-0.214,0,0
1776.8,0,-0.2055,0,0
1809.5,0,-0.197,0,0
1843.4,0,-0.1885,0,0
1878.9,0,-0.18,0,0
1915.5,0,-0.1715,0,0
1953.3,0,-0.163,0,0
1993.2,0,-0.1545,0,0
2034.2,0,-0.146,0,0
2076.3,0,-0.1375,0,0
2120.4,0,-0.129,0,0
2165,0,-0.1205,0,0
2210,0,-0.112,0,0
2254,0,-0.1035,0,0
2294.8,0,-0.095,0,0
2332.2,0,-0.0865,0,0
2358.8,0,-0.078,0,0
2371.4,0,-0.0695,0,0
2370.5,0,-0.061,0,0
2342.1,0,-0.0525,0,0
2282.7,0,-0.044,0,0
2198.7,0,-0.0355,0,0
2076.5,0,-0.027,0,0
1918.3,0,-0.0185,0,0
1738.6,0,-0.01,0,0
1534.3,0,-0.0015,0,0
1317.9,0,0.007,0,0
1101.8,0,0.0155,0,0
891.05,0,0.024,0,0
704.76,0,0.0325,0,0
537.87,0,0.041,0,0
394.01,0,0.0495,0,0
289.1,0,0.058,0,0
203.69,0,0.0665,0,0
137.46,0,0.075,0,0
98.633,0,0.0835,0,0
69.419,0,0.092,0,0
49.384,0,0.1005,0,0
39.408,0,0.109,0,0
32.73,0,0.1175,0,0
28.672,0,0.126,0,0
26.939,0,0.1345,0,0
25.925,0,0.143,0,0
25.377,0,0.1515,0,0
25.175,0,0.16,0,0
25.073,0,0.1685,0,0
25.024,0,0.177,0,0
25.009,0,0.1855,0,0
25.002,1,0.194,0,0
25,1,0.2025,0,0
25,0,0.211,0,0
25.001,0,0.2195,0,0
25.001,0,0.228,0,0
25.001,0,0.2365,0,0
25,0,0.245,0,0
25,0,0.2535,0,0
25,0,0.262,0,0
25,0,0.2705,0,0
25,0,0.279,0,0
25,0,0.2875,0,0
25,0,0.296,0,0
25,0,0.3045,0,0
25,0,0.313,0,0
25,0,0.3215,0,0
25,0,0.33,0,0
25,0,0.3385,0,0
25,0,0.347,0,0
25,0,0.3555,0,0
25,0,0.364,0,0
25,0,0.3725,0,0
25,0,0.381,0,0
25,0,0.3895,0,0
25,0,0.398,0,0
25,0,0.4065,0,0
25,0,0.415,0,0
25,0,0.4235,0,0
25,0,0.432,0,0
25,0,0.4405,0,0
25,0,0.449,0,0
25,0,0.4575,0,0
25,0,0.466,0,0
25,0,0.4745,0,0
25,0,0.483,0,0
25,0,0.4915,0,0
25,0,0.5,0,0
