TimeStep,"DTdt","T","Tn","Points:0","Points:1","Points:2"
12,0.0011419,25,25,9,0,0
12,0.0011247,25,25,9.03,0,0
12,0.0011019,25,25,9.06,0,0
12,0.0010746,25,25,9.09,0,0
12,0.0010438,25,25,9.12,0,0
12,0.0010103,25,25,9.15,0,0
12,0.00097488,25,25,9.18,0,0
12,0.00093807,25,25,9.21,0,0
12,0.00090041,25,25,9.24,0,0
12,0.00086233,25,25,9.27,0,0
12,0.00082419,25,25,9.3,0,0
12,0.00078631,25,25,9.33,0,0
12,0.00074893,25,25,9.36,0,0
12,0.00071224,25,25,9.39,0,0
12,0.00067643,25,25,9.42,0,0
12,0.00064161,25,25,9.45,0,0
12,0.00060788,25,25,9.48,0,0
12,0.00057531,25,25,9.51,0,0
12,0.00054397,25,25,9.54,0,0
12,0.00051387,25,25,9.57,0,0
12,0.00048505,25,25,9.6,0,0
12,0.00045749,25,25,9.63,0,0
12,0.0004312,25,25,9.66,0,0
12,0.00040616,25,25,9.69,0,0
12,0.00038235,25,25,9.72,0,0
12,0.00035975,25,25,9.75,0,0
12,0.0003383,25,25,9.78,0,0
12,0.00031799,25,25,9.81,0,0
12,0.00029877,25,25,9.84,0,0
12,0.00028061,25,25,9.87,0,0
12,0.00026345,25,25,9.9,0,0
12,0.00024726,25,25,9.93,0,0
12,0.00023199,25,25,9.96,0,0
12,0.0002176,25,25,9.99,0,0
12,0.00020405,25,25,10.02,0,0
12,0.0001913,25,25,10.05,0,0
12,0.00017931,25,25,10.08,0,0
12,0.00016803,25,25,10.11,0,0
12,0.00015744,25,25,10.14,0,0
12,0.00014748,25,25,10.17,0,0
12,0.00013814,25,25,10.2,0,0
12,0.00012937,25,25,10.23,0,0
12,0.00012114,25,25,10.26,0,0
12,0.00011341,25,25,10.29,0,0
12,0.00010617,25,25,10.32,0,0
12,9.9385e-05,25,25,10.35,0,0
12,9.3022e-05,25,25,10.38,0,0
12,8.7058e-05,25,25,10.41,0,0
12,8.1471e-05,25,25,10.44,0,0
12,7.6237e-05,25,25,10.47,0,0
12,7.1334e-05,25,25,10.5,0,0
12,6.6743e-05,25,25,10.53,0,0
12,6.2444e-05,25,25,10.56,0,0
12,5.8419e-05,25,25,10.59,0,0
12,5.4652e-05,25,25,10.62,0,0
12,5.1125e-05,25,25,10.65,0,0
12,4.7824e-05,25,25,10.68,0,0
12,4.4734e-05,25,25,10.71,0,0
12,4.1843e-05,25,25,10.74,0,0
12,3.9138e-05,25,25,10.77,0,0
12,3.6607e-05,25,25,10.8,0,0
12,3.4239e-05,25,25,10.83,0,0
12,3.2023e-05,25,25,10.86,0,0
12,2.995e-05,25,25,10.89,0,0
12,2.8011e-05,25,25,10.92,0,0
12,2.6197e-05,25,25,10.95,0,0
12,2.45e-05,25,25,10.98,0,0
12,2.2913e-05,25,25,11.01,0,0
12,2.1428e-05,25,25,11.04,0,0
12,2.004e-05,25,25,11.07,0,0
12,1.8741e-05,25,25,11.1,0,0
12,1.7526e-05,25,25,11.13,0,0
12,1.639e-05,25,25,11.16,0,0
12,1.5328e-05,25,25,11.19,0,0
12,1.4334e-05,25,25,11.22,0,0
12,1.3405e-05,25,25,11.25,0,0
12,1.2536e-05,25,25,11.28,0,0
12,1.1723e-05,25,25,11.31,0,0
12,1.0963e-05,25,25,11.34,0,0
12,1.0252e-05,25,25,11.37,0,0
12,9.5868e-06,25,25,11.4,0,0
12,8.9651e-06,25,25,11.43,0,0
12,8.3836e-06,25,25,11.46,0,0
12,7.8399e-06,25,25,11.49,0,0
12,7.3314e-06,25,25,11.52,0,0
12,6.8559e-06,25,25,11.55,0,0
12,6.4112e-06,25,25,11.58,0,0
12,5.9954e-06,25,25,11.61,0,0
12,5.6065e-06,25,25,11.64,0,0
12,5.2428e-06,25,25,11.67,0,0
12,4.9027e-06,25,25,11.7,0,0
12,4.5847e-06,25,25,11.73,0,0
12,4.2873e-06,25,25,11.76,0,0
12,4.0092e-06,25,25,11.79,0,0
12,3.7492e-06,25,25,11.82,0,0
12,3.506e-06,25,25,11.85,0,0
12,3.2785e-06,25,25,11.88,0,0
12,3.0659e-06,25,25,11.91,0,0
12,2.867e-06,25,25,11.94,0,0
12,2.681e-06,25,25,11.97,0,0
12,2.5071e-06,25,25,12,0,0
12,2.3445e-06,25,25,12.03,0,0
12,2.1924e-06,25,25,12.06,0,0
12,2.0502e-06,25,25,12.09,0,0
12,1.9172e-06,25,25,12.12,0,0
12,1.7928e-06,25,25,12.15,0,0
12,1.6765e-06,25,25,12.18,0,0
12,1.5678e-06,25,25,12.21,0,0
12,1.4661e-06,25,25,12.24,0,0
12,1.371e-06,25,25,12.27,0,0
12,1.282e-06,25,25,12.3,0,0
12,1.1989e-06,25,25,12.33,0,0
12,1.1211e-06,25,25,12.36,0,0
12,1.0484e-06,25,25,12.39,0,0
12,9.8037e-07,25,25,12.42,0,0
12,9.1677e-07,25,25,12.45,0,0
12,8.5731e-07,25,25,12.48,0,0
12,8.0169e-07,25,25,12.51,0,0
12,7.4969e-07,25,25,12.54,0,0
12,7.0106e-07,25,25,12.57,0,0
12,6.5558e-07,25,25,12.6,0,0
12,6.1306e-07,25,25,12.63,0,0
12,5.7329e-07,25,25,12.66,0,0
12,5.361e-07,25,25,12.69,0,0
12,5.0133e-07,25,25,12.72,0,0
12,4.6881e-07,25,25,12.75,0,0
12,4.384e-07,25,25,12.78,0,0
12,4.0997e-07,25,25,12.81,0,0
12,3.8338e-07,25,25,12.84,0,0
12,3.5851e-07,25,25,12.87,0,0
12,3.3526e-07,25,25,12.9,0,0
12,3.1351e-07,25,25,12.93,0,0
12,2.9318e-07,25,25,12.96,0,0
12,2.7417e-07,25,25,12.99,0,0
12,2.5638e-07,25,25,13.02,0,0
12,2.3976e-07,25,25,13.05,0,0
12,2.2421e-07,25,25,13.08,0,0
12,2.0967e-07,25,25,13.11,0,0
12,1.9608e-07,25,25,13.14,0,0
12,1.8336e-07,25,25,13.17,0,0
12,1.7148e-07,25,25,13.2,0,0
12,1.6036e-07,25,25,13.23,0,0
12,1.4997e-07,25,25,13.26,0,0
12,1.4025e-07,25,25,13.29,0,0
12,1.3116e-07,25,25,13.32,0,0
12,1.2266e-07,25,25,13.35,0,0
12,1.1471e-07,25,25,13.38,0,0
12,1.0728e-07,25,25,13.41,0,0
12,1.0034e-07,25,25,13.44,0,0
12,9.3839e-08,25,25,13.47,0,0
12,8.7765e-08,25,25,13.5,0,0
12,8.2087e-08,25,25,13.53,0,0
12,7.6777e-08,25,25,13.56,0,0
12,7.1813e-08,25,25,13.59,0,0
12,6.7173e-08,25,25,13.62,0,0
12,6.2834e-08,25,25,13.65,0,0
12,5.8778e-08,25,25,13.68,0,0
12,5.4987e-08,25,25,13.71,0,0
12,5.1443e-08,25,25,13.74,0,0
12,4.8131e-08,25,25,13.77,0,0
12,4.5035e-08,25,25,13.8,0,0
12,4.2142e-08,25,25,13.83,0,0
12,3.9438e-08,25,25,13.86,0,0
12,3.6912e-08,25,25,13.89,0,0
12,3.4553e-08,25,25,13.92,0,0
12,3.2348e-08,25,25,13.95,0,0
12,3.0289e-08,25,25,13.98,0,0
12,2.8367e-08,25,25,14.01,0,0
12,2.6572e-08,25,25,14.04,0,0
12,2.4896e-08,25,25,14.07,0,0
12,2.3333e-08,25,25,14.1,0,0
12,2.1875e-08,25,25,14.13,0,0
12,2.0515e-08,25,25,14.16,0,0
12,1.9247e-08,25,25,14.19,0,0
12,1.8066e-08,25,25,14.22,0,0
12,1.6966e-08,25,25,14.25,0,0
12,1.5942e-08,25,25,14.28,0,0
12,1.4991e-08,25,25,14.31,0,0
12,1.4106e-08,25,25,14.34,0,0
12,1.3286e-08,25,25,14.37,0,0
12,1.2525e-08,25,25,14.4,0,0
12,1.182e-08,25,25,14.43,0,0
12,1.1168e-08,25,25,14.46,0,0
12,1.0567e-08,25,25,14.49,0,0
12,1.0013e-08,25,25,14.52,0,0
12,9.5046e-09,25,25,14.55,0,0
12,9.0386e-09,25,25,14.58,0,0
12,8.6134e-09,25,25,14.61,0,0
12,8.2269e-09,25,25,14.64,0,0
12,7.8773e-09,25,25,14.67,0,0
12,7.5633e-09,25,25,14.7,0,0
12,7.2832e-09,25,25,14.73,0,0
12,7.0359e-09,25,25,14.76,0,0
12,6.8203e-09,25,25,14.79,0,0
12,6.6353e-09,25,25,14.82,0,0
12,6.4802e-09,25,25,14.85,0,0
12,6.3543e-09,25,25,14.88,0,0
12,6.257e-09,25,25,14.91,0,0
12,6.1878e-09,25,25,14.94,0,0
12,6.1464e-09,25,25,14.97,0,0
12,6.1326e-09,25,25,15,0,0
