"T","Tn","Points:0","Points:1","Points:2"
25.46,25.353,-5,0,0
25.466,25.359,-4.97,0,0
25.473,25.365,-4.94,0,0
25.479,25.372,-4.91,0,0
25.486,25.378,-4.88,0,0
25.492,25.384,-4.85,0,0
25.498,25.391,-4.82,0,0
25.505,25.397,-4.79,0,0
25.511,25.404,-4.76,0,0
25.517,25.41,-4.73,0,0
25.524,25.417,-4.7,0,0
25.53,25.423,-4.67,0,0
25.536,25.43,-4.64,0,0
25.543,25.436,-4.61,0,0
25.549,25.443,-4.58,0,0
25.555,25.449,-4.55,0,0
25.561,25.456,-4.52,0,0
25.568,25.462,-4.49,0,0
25.574,25.469,-4.46,0,0
25.58,25.475,-4.43,0,0
25.586,25.482,-4.4,0,0
25.592,25.488,-4.37,0,0
25.598,25.494,-4.34,0,0
25.604,25.501,-4.31,0,0
25.61,25.507,-4.28,0,0
25.616,25.514,-4.25,0,0
25.622,25.52,-4.22,0,0
25.627,25.526,-4.19,0,0
25.633,25.533,-4.16,0,0
25.639,25.539,-4.13,0,0
25.645,25.545,-4.1,0,0
25.65,25.552,-4.07,0,0
25.656,25.558,-4.04,0,0
25.661,25.564,-4.01,0,0
25.667,25.57,-3.98,0,0
25.672,25.577,-3.95,0,0
25.678,25.583,-3.92,0,0
25.683,25.589,-3.89,0,0
25.689,25.595,-3.86,0,0
25.694,25.601,-3.83,0,0
25.699,25.607,-3.8,0,0
25.704,25.613,-3.77,0,0
25.71,25.619,-3.74,0,0
25.715,25.625,-3.71,0,0
25.72,25.631,-3.68,0,0
25.725,25.636,-3.65,0,0
25.73,25.642,-3.62,0,0
25.734,25.648,-3.59,0,0
25.739,25.653,-3.56,0,0
25.744,25.659,-3.53,0,0
25.748,25.664,-3.5,0,0
25.753,25.67,-3.47,0,0
25.758,25.675,-3.44,0,0
25.762,25.681,-3.41,0,0
25.767,25.686,-3.38,0,0
25.771,25.692,-3.35,0,0
25.776,25.697,-3.32,0,0
25.78,25.703,-3.29,0,0
25.785,25.708,-3.26,0,0
25.789,25.713,-3.23,0,0
25.793,25.718,-3.2,0,0
25.797,25.723,-3.17,0,0
25.801,25.728,-3.14,0,0
25.805,25.733,-3.11,0,0
25.809,25.737,-3.08,0,0
25.812,25.742,-3.05,0,0
25.815,25.746,-3.02,0,0
25.819,25.75,-2.99,0,0
25.822,25.755,-2.96,0,0
25.826,25.76,-2.93,0,0
25.83,25.765,-2.9,0,0
25.834,25.769,-2.87,0,0
25.838,25.774,-2.84,0,0
25.842,25.779,-2.81,0,0
25.846,25.784,-2.78,0,0
25.849,25.789,-2.75,0,0
25.853,25.793,-2.72,0,0
25.857,25.798,-2.69,0,0
25.86,25.802,-2.66,0,0
25.864,25.807,-2.63,0,0
25.867,25.811,-2.6,0,0
25.871,25.816,-2.57,0,0
25.874,25.82,-2.54,0,0
25.877,25.824,-2.51,0,0
25.881,25.828,-2.48,0,0
25.884,25.832,-2.45,0,0
25.887,25.837,-2.42,0,0
25.89,25.841,-2.39,0,0
25.893,25.845,-2.36,0,0
25.896,25.848,-2.33,0,0
25.899,25.852,-2.3,0,0
25.902,25.856,-2.27,0,0
25.904,25.86,-2.24,0,0
25.907,25.863,-2.21,0,0
25.91,25.867,-2.18,0,0
25.912,25.87,-2.15,0,0
25.915,25.874,-2.12,0,0
25.917,25.877,-2.09,0,0
25.92,25.88,-2.06,0,0
25.922,25.884,-2.03,0,0
25.924,25.887,-2,0,0
25.926,25.89,-1.97,0,0
25.929,25.893,-1.94,0,0
25.931,25.896,-1.91,0,0
25.933,25.899,-1.88,0,0
25.934,25.901,-1.85,0,0
25.936,25.904,-1.82,0,0
25.938,25.907,-1.79,0,0
25.94,25.909,-1.76,0,0
25.942,25.912,-1.73,0,0
25.943,25.914,-1.7,0,0
25.945,25.916,-1.67,0,0
25.946,25.919,-1.64,0,0
25.947,25.921,-1.61,0,0
25.949,25.923,-1.58,0,0
25.95,25.925,-1.55,0,0
25.951,25.927,-1.52,0,0
25.952,25.928,-1.49,0,0
25.953,25.93,-1.46,0,0
25.954,25.932,-1.43,0,0
25.955,25.933,-1.4,0,0
25.956,25.934,-1.37,0,0
25.956,25.936,-1.34,0,0
25.957,25.937,-1.31,0,0
25.957,25.938,-1.28,0,0
25.958,25.939,-1.25,0,0
25.958,25.94,-1.22,0,0
25.958,25.941,-1.19,0,0
25.958,25.941,-1.16,0,0
25.958,25.942,-1.13,0,0
25.958,25.942,-1.1,0,0
25.958,25.943,-1.07,0,0
25.957,25.943,-1.04,0,0
25.957,25.943,-1.01,0,0
25.956,25.943,-0.98,0,0
25.956,25.943,-0.95,0,0
25.955,25.942,-0.92,0,0
25.954,25.942,-0.89,0,0
25.953,25.941,-0.86,0,0
25.951,25.94,-0.83,0,0
25.95,25.939,-0.8,0,0
25.949,25.938,-0.77,0,0
25.947,25.937,-0.74,0,0
25.945,25.935,-0.71,0,0
25.943,25.934,-0.68,0,0
25.941,25.932,-0.65,0,0
25.939,25.93,-0.62,0,0
25.936,25.928,-0.59,0,0
25.933,25.925,-0.56,0,0
25.93,25.923,-0.53,0,0
25.927,25.92,-0.5,0,0
25.924,25.917,-0.47,0,0
25.921,25.914,-0.44,0,0
25.917,25.911,-0.41,0,0
25.913,25.907,-0.38,0,0
25.909,25.904,-0.35,0,0
25.905,25.9,-0.32,0,0
25.901,25.895,-0.29,0,0
25.896,25.891,-0.26,0,0
25.891,25.886,-0.23,0,0
25.886,25.882,-0.2,0,0
25.881,25.877,-0.17,0,0
25.875,25.871,-0.14,0,0
25.87,25.866,-0.11,0,0
25.864,25.86,-0.08,0,0
25.858,25.854,-0.05,0,0
25.851,25.848,-0.02,0,0
25.845,25.841,0.01,0,0
25.838,25.835,0.04,0,0
25.831,25.828,0.07,0,0
25.823,25.821,0.1,0,0
25.816,25.813,0.13,0,0
25.808,25.806,0.16,0,0
25.8,25.798,0.19,0,0
25.792,25.79,0.22,0,0
25.783,25.781,0.25,0,0
25.775,25.773,0.28,0,0
25.766,25.764,0.31,0,0
25.757,25.755,0.34,0,0
25.748,25.746,0.37,0,0
25.738,25.737,0.4,0,0
25.729,25.727,0.43,0,0
25.719,25.717,0.46,0,0
25.709,25.707,0.49,0,0
25.699,25.697,0.52,0,0
25.688,25.687,0.55,0,0
25.678,25.677,0.58,0,0
25.667,25.666,0.61,0,0
25.656,25.655,0.64,0,0
25.645,25.644,0.67,0,0
