TimeStep,"DTdt","T","Tn","Points:0","Points:1","Points:2"
12,1.935,25.847,25.46,-1,0,0
12,1.8748,25.843,25.468,-0.96333,0,0
12,1.8332,25.842,25.476,-0.92667,0,0
12,1.801,25.844,25.483,-0.89,0,0
12,1.7735,25.846,25.491,-0.85333,0,0
12,1.7485,25.849,25.499,-0.81667,0,0
12,1.7246,25.852,25.507,-0.78,0,0
12,1.7012,25.855,25.515,-0.74333,0,0
12,1.6779,25.858,25.522,-0.70667,0,0
12,1.6548,25.861,25.53,-0.67,0,0
12,1.6316,25.864,25.538,-0.63333,0,0
12,1.6084,25.867,25.545,-0.59667,0,0
12,1.5852,25.87,25.553,-0.56,0,0
12,1.562,25.873,25.561,-0.52333,0,0
12,1.5388,25.876,25.568,-0.48667,0,0
12,1.5156,25.879,25.576,-0.45,0,0
12,1.4924,25.882,25.583,-0.41333,0,0
12,1.4693,25.884,25.591,-0.37667,0,0
12,1.4461,25.887,25.598,-0.34,0,0
12,1.4231,25.89,25.605,-0.30333,0,0
12,1.4001,25.892,25.612,-0.26667,0,0
12,1.3772,25.895,25.62,-0.23,0,0
12,1.3544,25.898,25.627,-0.19333,0,0
12,1.3317,25.9,25.634,-0.15667,0,0
12,1.3091,25.903,25.641,-0.12,0,0
12,1.2866,25.905,25.648,-0.083333,0,0
12,1.2642,25.907,25.655,-0.046667,0,0
12,1.2419,25.91,25.661,-0.01,0,0
12,1.2197,25.912,25.668,0.026667,0,0
12,1.1976,25.914,25.675,0.063333,0,0
12,1.1756,25.917,25.682,0.1,0,0
12,1.1537,25.919,25.688,0.13667,0,0
12,1.132,25.921,25.695,0.17333,0,0
12,1.1105,25.923,25.701,0.21,0,0
12,1.0892,25.925,25.707,0.24667,0,0
12,1.0682,25.927,25.714,0.28333,0,0
12,1.0475,25.929,25.72,0.32,0,0
12,1.0272,25.931,25.726,0.35667,0,0
12,1.0071,25.933,25.732,0.39333,0,0
12,0.98733,25.935,25.737,0.43,0,0
12,0.96777,25.937,25.743,0.46667,0,0
12,0.9483,25.939,25.749,0.50333,0,0
12,0.92878,25.94,25.755,0.54,0,0
12,0.90922,25.942,25.76,0.57667,0,0
12,0.88964,25.944,25.766,0.61333,0,0
12,0.87012,25.945,25.771,0.65,0,0
12,0.85077,25.947,25.777,0.68667,0,0
12,0.83169,25.949,25.782,0.72333,0,0
12,0.81296,25.95,25.788,0.76,0,0
12,0.7947,25.952,25.793,0.79667,0,0
12,0.77707,25.953,25.798,0.83333,0,0
12,0.76027,25.955,25.803,0.87,0,0
12,0.74441,25.956,25.807,0.90667,0,0
12,0.7297,25.957,25.812,0.94333,0,0
12,0.71736,25.959,25.815,0.98,0,0
12,0.70306,25.96,25.82,1.0167,0,0
12,0.68671,25.961,25.824,1.0533,0,0
12,0.66943,25.963,25.829,1.09,0,0
12,0.65179,25.964,25.834,1.1267,0,0
12,0.6341,25.965,25.838,1.1633,0,0
12,0.61653,25.966,25.843,1.2,0,0
12,0.59914,25.968,25.848,1.2367,0,0
12,0.58197,25.969,25.852,1.2733,0,0
12,0.56503,25.97,25.857,1.31,0,0
12,0.54838,25.971,25.861,1.3467,0,0
12,0.53198,25.972,25.865,1.3833,0,0
12,0.51585,25.973,25.87,1.42,0,0
12,0.49999,25.974,25.874,1.4567,0,0
12,0.48442,25.975,25.878,1.4933,0,0
12,0.46914,25.976,25.882,1.53,0,0
12,0.45414,25.976,25.886,1.5667,0,0
12,0.43942,25.977,25.889,1.6033,0,0
12,0.42498,25.978,25.893,1.64,0,0
12,0.41086,25.979,25.897,1.6767,0,0
12,0.39702,25.979,25.9,1.7133,0,0
12,0.38347,25.98,25.903,1.75,0,0
12,0.37021,25.981,25.907,1.7867,0,0
12,0.35725,25.981,25.91,1.8233,0,0
12,0.3446,25.982,25.913,1.86,0,0
12,0.33224,25.983,25.916,1.8967,0,0
12,0.32016,25.983,25.919,1.9333,0,0
12,0.30836,25.984,25.922,1.97,0,0
12,0.29689,25.984,25.925,2.0067,0,0
12,0.2857,25.984,25.927,2.0433,0,0
12,0.2748,25.985,25.93,2.08,0,0
12,0.26417,25.985,25.932,2.1167,0,0
12,0.25385,25.985,25.935,2.1533,0,0
12,0.24381,25.986,25.937,2.19,0,0
12,0.23406,25.986,25.939,2.2267,0,0
12,0.22457,25.986,25.941,2.2633,0,0
12,0.21535,25.986,25.943,2.3,0,0
12,0.20643,25.986,25.945,2.3367,0,0
12,0.19778,25.986,25.947,2.3733,0,0
12,0.18938,25.986,25.948,2.41,0,0
12,0.18124,25.986,25.95,2.4467,0,0
12,0.17337,25.986,25.951,2.4833,0,0
12,0.16577,25.986,25.953,2.52,0,0
12,0.15841,25.985,25.954,2.5567,0,0
12,0.15129,25.985,25.955,2.5933,0,0
12,0.14441,25.985,25.956,2.63,0,0
12,0.13779,25.984,25.956,2.6667,0,0
12,0.1314,25.983,25.957,2.7033,0,0
12,0.12523,25.983,25.958,2.74,0,0
12,0.11928,25.982,25.958,2.7767,0,0
12,0.11356,25.981,25.958,2.8133,0,0
12,0.10806,25.98,25.958,2.85,0,0
12,0.10276,25.979,25.958,2.8867,0,0
12,0.097669,25.977,25.958,2.9233,0,0
12,0.092769,25.976,25.957,2.96,0,0
12,0.088087,25.974,25.957,2.9967,0,0
12,0.083589,25.973,25.956,3.0333,0,0
12,0.07927,25.971,25.955,3.07,0,0
12,0.075126,25.969,25.954,3.1067,0,0
12,0.071165,25.967,25.953,3.1433,0,0
12,0.067381,25.964,25.951,3.18,0,0
12,0.063757,25.962,25.949,3.2167,0,0
12,0.060289,25.959,25.947,3.2533,0,0
12,0.05697,25.956,25.945,3.29,0,0
12,0.05382,25.953,25.943,3.3267,0,0
12,0.050811,25.95,25.94,3.3633,0,0
12,0.047937,25.946,25.937,3.4,0,0
12,0.045195,25.943,25.934,3.4367,0,0
12,0.04259,25.939,25.93,3.4733,0,0
12,0.040117,25.934,25.926,3.51,0,0
12,0.037761,25.93,25.922,3.5467,0,0
12,0.035519,25.925,25.918,3.5833,0,0
12,0.033387,25.92,25.913,3.62,0,0
12,0.031376,25.915,25.908,3.6567,0,0
12,0.029466,25.909,25.903,3.6933,0,0
12,0.027653,25.903,25.898,3.73,0,0
12,0.025933,25.897,25.892,3.7667,0,0
12,0.024309,25.89,25.886,3.8033,0,0
12,0.022777,25.884,25.879,3.84,0,0
12,0.021326,25.877,25.872,3.8767,0,0
12,0.019954,25.869,25.865,3.9133,0,0
12,0.018657,25.861,25.858,3.95,0,0
12,0.017442,25.853,25.85,3.9867,0,0
12,0.016295,25.845,25.842,4.0233,0,0
12,0.015213,25.836,25.833,4.06,0,0
12,0.014192,25.827,25.824,4.0967,0,0
12,0.013235,25.818,25.815,4.1333,0,0
12,0.012338,25.808,25.805,4.17,0,0
12,0.011495,25.798,25.796,4.2067,0,0
12,0.010701,25.787,25.785,4.2433,0,0
12,0.0099558,25.777,25.775,4.28,0,0
12,0.0092628,25.766,25.764,4.3167,0,0
12,0.0086127,25.755,25.753,4.3533,0,0
12,0.0080031,25.743,25.741,4.39,0,0
12,0.0074322,25.731,25.73,4.4267,0,0
12,0.0069004,25.719,25.718,4.4633,0,0
12,0.0064055,25.707,25.705,4.5,0,0
12,0.0059429,25.694,25.693,4.5367,0,0
12,0.0055109,25.681,25.68,4.5733,0,0
12,0.0051077,25.668,25.667,4.61,0,0
12,0.0047357,25.655,25.654,4.6467,0,0
12,0.004389,25.641,25.64,4.6833,0,0
12,0.0040662,25.627,25.627,4.72,0,0
12,0.0037659,25.614,25.613,4.7567,0,0
12,0.0034882,25.6,25.599,4.7933,0,0
12,0.0032318,25.585,25.585,4.83,0,0
12,0.0029937,25.571,25.571,4.8667,0,0
12,0.002773,25.557,25.556,4.9033,0,0
12,0.0025685,25.542,25.542,4.94,0,0
12,0.0023813,25.528,25.527,4.9767,0,0
12,0.0022082,25.513,25.513,5.0133,0,0
12,0.0020482,25.499,25.498,5.05,0,0
