"T","gammaNodes","Points:0","Points:1","Points:2"
570.05,0,-1.2,0,0
572.96,0,-1.1915,0,0
576.15,0,-1.183,0,0
579.62,0,-1.1745,0,0
583.41,0,-1.166,0,0
587.34,0,-1.1575,0,0
591.37,0,-1.149,0,0
595.53,0,-1.1405,0,0
599.75,0,-1.132,0,0
604.02,0,-1.1235,0,0
608.35,0,-1.115,0,0
612.71,0,-1.1065,0,0
617.1,0,-1.098,0,0
621.51,0,-1.0895,0,0
625.92,0,-1.081,0,0
630.32,0,-1.0725,0,0
634.7,0,-1.064,0,0
638.98,0,-1.0555,0,0
643.17,0,-1.047,0,0
647.2,0,-1.0385,0,0
650.83,0,-1.03,0,0
654.05,0,-1.0215,0,0
656.77,0,-1.013,0,0
658.02,1,-1.0045,0,0
659.89,1,-0.996,0,0
662.57,0,-0.9875,0,0
667.31,0,-0.979,0,0
672.17,0,-0.9705,0,0
677.15,0,-0.962,0,0
682.22,0,-0.9535,0,0
687.33,0,-0.945,0,0
692.48,0,-0.9365,0,0
697.71,0,-0.928,0,0
702.99,0,-0.9195,0,0
708.32,0,-0.911,0,0
713.72,0,-0.9025,0,0
719.19,0,-0.894,0,0
724.71,0,-0.8855,0,0
730.31,0,-0.877,0,0
735.99,0,-0.8685,0,0
741.72,0,-0.86,0,0
747.53,0,-0.8515,0,0
753.43,0,-0.843,0,0
759.39,0,-0.8345,0,0
765.43,0,-0.826,0,0
771.57,0,-0.8175,0,0
777.79,0,-0.809,0,0
784.08,0,-0.8005,0,0
790.49,0,-0.792,0,0
796.98,0,-0.7835,0,0
803.55,0,-0.775,0,0
810.26,0,-0.7665,0,0
817.05,0,-0.758,0,0
823.92,0,-0.7495,0,0
830.94,0,-0.741,0,0
838.06,0,-0.7325,0,0
845.27,0,-0.724,0,0
852.64,0,-0.7155,0,0
860.12,0,-0.707,0,0
867.7,0,-0.6985,0,0
875.43,0,-0.69,0,0
883.31,0,-0.6815,0,0
891.29,0,-0.673,0,0
899.43,0,-0.6645,0,0
907.74,0,-0.656,0,0
916.16,0,-0.6475,0,0
924.75,0,-0.639,0,0
933.52,0,-0.6305,0,0
942.43,0,-0.622,0,0
951.5,0,-0.6135,0,0
960.8,0,-0.605,0,0
970.24,0,-0.5965,0,0
979.84,0,-0.588,0,0
989.71,0,-0.5795,0,0
999.73,0,-0.571,0,0
1009.9,0,-0.5625,0,0
1020.4,0,-0.554,0,0
1031.1,0,-0.5455,0,0
1041.9,0,-0.537,0,0
1053.1,0,-0.5285,0,0
1064.5,0,-0.52,0,0
1076,0,-0.5115,0,0
