Time,"T","Points:0","Points:1","Points:2"
0.0022,25.004,-2.8,0,0
0.0022,25.005,-2.788,0,0
0.0022,25.006,-2.776,0,0
0.0022,25.007,-2.764,0,0
0.0022,25.009,-2.752,0,0
0.0022,25.01,-2.74,0,0
0.0022,25.015,-2.728,0,0
0.0022,25.023,-2.716,0,0
0.0022,25.031,-2.704,0,0
0.0022,25.039,-2.692,0,0
0.0022,25.046,-2.68,0,0
0.0022,25.059,-2.668,0,0
0.0022,25.095,-2.656,0,0
0.0022,25.131,-2.644,0,0
0.0022,25.166,-2.632,0,0
0.0022,25.202,-2.62,0,0
0.0022,25.237,-2.608,0,0
0.0022,25.358,-2.596,0,0
0.0022,25.502,-2.584,0,0
0.0022,25.646,-2.572,0,0
0.0022,25.789,-2.56,0,0
0.0022,25.933,-2.548,0,0
0.0022,26.218,-2.536,0,0
0.0022,26.725,-2.524,0,0
0.0022,27.231,-2.512,0,0
0.0022,27.738,-2.5,0,0
0.0022,28.245,-2.488,0,0
0.0022,28.751,-2.476,0,0
0.0022,30.266,-2.464,0,0
0.0022,31.793,-2.452,0,0
0.0022,33.32,-2.44,0,0
0.0022,34.847,-2.428,0,0
0.0022,36.374,-2.416,0,0
0.0022,38.908,-2.404,0,0
0.0022,42.154,-2.392,0,0
0.0022,45.4,-2.38,0,0
0.0022,49.983,-2.368,0,0
0.0022,54.741,-2.356,0,0
0.0022,59.836,-2.344,0,0
0.0022,66.426,-2.332,0,0
0.0022,73.017,-2.32,0,0
0.0022,80.576,-2.308,0,0
0.0022,89.173,-2.296,0,0
0.0022,97.77,-2.284,0,0
0.0022,107.88,-2.272,0,0
0.0022,118.42,-2.26,0,0
0.0022,129.08,-2.248,0,0
0.0022,141.19,-2.236,0,0
0.0022,153.31,-2.224,0,0
0.0022,165.69,-2.212,0,0
0.0022,178.52,-2.2,0,0
0.0022,191.61,-2.188,0,0
0.0022,204.79,-2.176,0,0
0.0022,217.95,-2.164,0,0
0.0022,231,-2.152,0,0
0.0022,243.82,-2.14,0,0
0.0022,256.33,-2.128,0,0
0.0022,268.42,-2.116,0,0
0.0022,280.04,-2.104,0,0
0.0022,291.12,-2.092,0,0
0.0022,301.61,-2.08,0,0
0.0022,311.48,-2.068,0,0
0.0022,320.7,-2.056,0,0
0.0022,329.27,-2.044,0,0
0.0022,337.2,-2.032,0,0
0.0022,344.51,-2.02,0,0
0.0022,351.21,-2.008,0,0
0.0022,357.34,-1.996,0,0
0.0022,362.94,-1.984,0,0
0.0022,368.06,-1.972,0,0
0.0022,372.74,-1.96,0,0
0.0022,377.02,-1.948,0,0
0.0022,380.96,-1.936,0,0
0.0022,384.59,-1.924,0,0
0.0022,387.97,-1.912,0,0
0.0022,391.12,-1.9,0,0
0.0022,394.09,-1.888,0,0
0.0022,396.91,-1.876,0,0
0.0022,399.61,-1.864,0,0
0.0022,402.21,-1.852,0,0
0.0022,404.74,-1.84,0,0
0.0022,407.22,-1.828,0,0
0.0022,409.67,-1.816,0,0
0.0022,412.08,-1.804,0,0
0.0022,414.49,-1.792,0,0
0.0022,416.89,-1.78,0,0
0.0022,419.29,-1.768,0,0
0.0022,421.71,-1.756,0,0
0.0022,424.14,-1.744,0,0
0.0022,426.58,-1.732,0,0
0.0022,429.05,-1.72,0,0
0.0022,431.54,-1.708,0,0
0.0022,434.06,-1.696,0,0
0.0022,436.6,-1.684,0,0
0.0022,439.17,-1.672,0,0
0.0022,441.78,-1.66,0,0
0.0022,444.41,-1.648,0,0
0.0022,447.08,-1.636,0,0
0.0022,449.78,-1.624,0,0
0.0022,452.52,-1.612,0,0
0.0022,455.29,-1.6,0,0
0.0022,458.1,-1.588,0,0
0.0022,460.94,-1.576,0,0
0.0022,463.82,-1.564,0,0
0.0022,466.74,-1.552,0,0
0.0022,469.7,-1.54,0,0
0.0022,472.7,-1.528,0,0
0.0022,475.73,-1.516,0,0
0.0022,478.81,-1.504,0,0
0.0022,481.94,-1.492,0,0
0.0022,485.1,-1.48,0,0
0.0022,488.31,-1.468,0,0
0.0022,491.56,-1.456,0,0
0.0022,494.86,-1.444,0,0
0.0022,498.21,-1.432,0,0
0.0022,501.6,-1.42,0,0
0.0022,505.04,-1.408,0,0
0.0022,508.53,-1.396,0,0
0.0022,512.08,-1.384,0,0
0.0022,515.67,-1.372,0,0
0.0022,519.32,-1.36,0,0
0.0022,523.02,-1.348,0,0
0.0022,526.78,-1.336,0,0
0.0022,530.59,-1.324,0,0
0.0022,534.47,-1.312,0,0
0.0022,538.4,-1.3,0,0
0.0022,542.39,-1.288,0,0
0.0022,546.45,-1.276,0,0
