uh,x
34.319,-1.0
34.458,-0.99375
34.877,-0.9875
35.591,-0.98125
36.62,-0.975
37.995,-0.96875
39.757,-0.9625
41.959,-0.95625
44.663,-0.95
47.94,-0.94375
51.865,-0.9375
56.52,-0.93125
61.997,-0.925
68.396,-0.91875
75.82,-0.9125
84.38,-0.90625
94.186,-0.9
105.35,-0.89375
117.97,-0.8875
132.15,-0.88125
147.96,-0.875
165.49,-0.86875
184.76,-0.8625
205.8,-0.85625
228.61,-0.85
253.14,-0.84375
279.31,-0.8375
307.02,-0.83125
336.13,-0.825
366.47,-0.81875
397.81,-0.8125
429.95,-0.80625
462.64,-0.8
495.6,-0.79375
528.58,-0.7875
561.31,-0.78125
593.54,-0.775
625.01,-0.76875
655.51,-0.7625
684.85,-0.75625
712.85,-0.75
739.39,-0.74375
764.37,-0.7375
787.71,-0.73125
809.39,-0.725
829.41,-0.71875
847.79,-0.7125
864.58,-0.70625
879.85,-0.7
893.68,-0.69375
906.18,-0.6875
917.43,-0.68125
927.55,-0.675
936.66,-0.66875
944.84,-0.6625
952.22,-0.65625
958.87,-0.65
964.91,-0.64375
970.4,-0.6375
975.42,-0.63125
980.05,-0.625
984.34,-0.61875
988.34,-0.6125
992.1,-0.60625
995.67,-0.6
999.07,-0.59375
1002.3,-0.5875
1005.5,-0.58125
1008.6,-0.575
1011.5,-0.56875
1014.5,-0.5625
1017.4,-0.55625
1020.3,-0.55
1023.1,-0.54375
1025.9,-0.5375
1028.8,-0.53125
1031.6,-0.525
1034.4,-0.51875
1037.3,-0.5125
1040.1,-0.50625
1043.0,-0.5
1045.9,-0.49375
1048.8,-0.4875
1051.7,-0.48125
1054.6,-0.475
1057.6,-0.46875
1060.6,-0.4625
1063.6,-0.45625
1066.6,-0.45
1069.7,-0.44375
1072.8,-0.4375
1075.9,-0.43125
1079.0,-0.425
1082.2,-0.41875
1085.5,-0.4125
1088.7,-0.40625
1092.0,-0.4
1095.3,-0.39375
1098.7,-0.3875
1102.0,-0.38125
1105.5,-0.375
1108.9,-0.36875
1112.4,-0.3625
1116.0,-0.35625
1119.5,-0.35
1123.1,-0.34375
1126.8,-0.3375
1130.5,-0.33125
1134.2,-0.325
1138.0,-0.31875
1141.8,-0.3125
1145.6,-0.30625
1149.4,-0.3
1153.3,-0.29375
1157.2,-0.2875
1161.2,-0.28125
1165.1,-0.275
1169.0,-0.26875
1172.9,-0.2625
1176.8,-0.25625
1180.5,-0.25
1184.2,-0.24375
1187.8,-0.2375
1191.1,-0.23125
1194.0,-0.225
1196.6,-0.21875
1198.6,-0.2125
1199.8,-0.20625
1200.0,-0.2
1198.7,-0.19375
1195.4,-0.1875
1189.5,-0.18125
1179.9,-0.175
1165.4,-0.16875
1144.1,-0.1625
1113.8,-0.15625
1101.4,-0.15
1103.1,-0.14375
1106.0,-0.1375
1109.0,-0.13125
1112.0,-0.125
1115.0,-0.11875
1118.1,-0.1125
1121.2,-0.10625
1124.4,-0.1
1127.5,-0.09375
1130.7,-0.0875
1133.9,-0.08125
1137.1,-0.075
1140.4,-0.06875
1143.7,-0.0625
1147.0,-0.05625
1150.4,-0.05
1153.7,-0.04375
1157.2,-0.0375
1160.6,-0.03125
1164.1,-0.025
1167.6,-0.01875
1171.1,-0.0125
1174.7,-0.00625
1178.3,0.0
1182.0,0.00625
1185.6,0.0125
1189.4,0.01875
1193.1,0.025
1196.9,0.03125
1200.7,0.0375
1204.6,0.04375
1208.5,0.05
1212.4,0.05625
1216.4,0.0625
1220.4,0.06875
1224.5,0.075
1228.6,0.08125
1232.7,0.0875
1236.9,0.09375
1241.1,0.1
1245.4,0.10625
1249.7,0.1125
1254.1,0.11875
1258.5,0.125
1262.9,0.13125
1267.4,0.1375
1272.0,0.14375
1276.6,0.15
1281.3,0.15625
1286.0,0.1625
1290.7,0.16875
1295.6,0.175
1300.4,0.18125
1305.4,0.1875
1310.3,0.19375
1315.4,0.2
1320.5,0.20625
1325.7,0.2125
1330.9,0.21875
1336.2,0.225
1341.6,0.23125
1347.0,0.2375
1352.5,0.24375
1358.0,0.25
1363.7,0.25625
1369.4,0.2625
1375.1,0.26875
1381.0,0.275
1386.9,0.28125
1392.9,0.2875
1399.0,0.29375
1405.2,0.3
1411.4,0.30625
1417.8,0.3125
1424.2,0.31875
1430.7,0.325
1437.3,0.33125
1444.0,0.3375
1450.8,0.34375
1457.7,0.35
1464.7,0.35625
1471.8,0.3625
1479.0,0.36875
1486.4,0.375
1493.8,0.38125
1501.3,0.3875
1509.0,0.39375
1516.8,0.4
1524.7,0.40625
1532.7,0.4125
1540.9,0.41875
1549.2,0.425
1557.6,0.43125
1566.2,0.4375
1574.9,0.44375
1583.7,0.45
1592.8,0.45625
1601.9,0.4625
1611.3,0.46875
1620.8,0.475
1630.5,0.48125
1640.3,0.4875
1650.4,0.49375
1660.6,0.5
1671.1,0.50625
1681.7,0.5125
1692.5,0.51875
1703.6,0.525
1714.9,0.53125
1726.4,0.5375
1738.1,0.54375
1750.1,0.55
1762.4,0.55625
1774.9,0.5625
1787.6,0.56875
1800.7,0.575
1814.1,0.58125
1827.7,0.5875
1841.7,0.59375
1856.0,0.6
1870.7,0.60625
1885.7,0.6125
1901.1,0.61875
1916.9,0.625
1933.1,0.63125
1949.6,0.6375
1966.7,0.64375
1984.2,0.65
2002.2,0.65625
2020.6,0.6625
2039.6,0.66875
2059.2,0.675
2079.3,0.68125
2100.1,0.6875
2121.4,0.69375
2143.5,0.7
2166.1,0.70625
2189.4,0.7125
