x,uh
-1.0,33.062
-0.99687,33.102
-0.99375,33.223
-0.99063,33.425
-0.9875,33.71
-0.98438,34.08
-0.98125,34.537
-0.97812,35.083
-0.975,35.723
-0.97188,36.461
-0.96875,37.3
-0.96562,38.246
-0.9625,39.305
-0.95938,40.483
-0.95625,41.786
-0.95312,43.221
-0.95,44.797
-0.94687,46.521
-0.94375,48.402
-0.94063,50.45
-0.9375,52.673
-0.93437,55.082
-0.93125,57.687
-0.92813,60.499
-0.925,63.529
-0.92188,66.788
-0.91875,70.288
-0.91562,74.042
-0.9125,78.059
-0.90938,82.354
-0.90625,86.936
-0.90312,91.819
-0.9,97.014
-0.89688,102.53
-0.89375,108.39
-0.89062,114.58
-0.8875,121.13
-0.88437,128.05
-0.88125,135.34
-0.87813,143.01
-0.875,151.06
-0.87187,159.51
-0.86875,168.36
-0.86563,177.6
-0.8625,187.25
-0.85938,197.29
-0.85625,207.74
-0.85312,218.58
-0.85,229.82
-0.84688,241.44
-0.84375,253.44
-0.84062,265.8
-0.8375,278.52
-0.83438,291.58
-0.83125,304.97
-0.82812,318.66
-0.825,332.65
-0.82187,346.9
-0.81875,361.39
-0.81563,376.11
-0.8125,391.03
-0.80937,406.11
-0.80625,421.35
-0.80313,436.69
-0.8,452.13
-0.79688,467.62
-0.79375,483.14
-0.79062,498.66
-0.7875,514.15
-0.78438,529.58
-0.78125,544.92
-0.77812,560.15
-0.775,575.23
-0.77188,590.14
-0.76875,604.86
-0.76562,619.36
-0.7625,633.62
-0.75937,647.61
-0.75625,661.33
-0.75313,674.75
-0.75,687.85
-0.74687,700.62
-0.74375,713.05
-0.74063,725.13
-0.7375,736.85
-0.73438,748.2
-0.73125,759.17
-0.72812,769.78
-0.725,780.0
-0.72188,789.84
-0.71875,799.31
-0.71562,808.41
-0.7125,817.13
-0.70938,825.48
-0.70625,833.48
-0.70312,841.12
-0.7,848.42
-0.69687,855.38
-0.69375,862.01
-0.69063,868.33
-0.6875,874.34
-0.68437,880.05
-0.68125,885.48
-0.67813,890.64
-0.675,895.53
-0.67188,900.17
-0.66875,904.57
-0.66562,908.75
-0.6625,912.71
-0.65938,916.46
-0.65625,920.02
-0.65312,923.39
-0.65,926.59
-0.64688,929.63
-0.64375,932.51
-0.64062,935.25
-0.6375,937.85
-0.63437,940.33
-0.63125,942.69
-0.62813,944.94
-0.625,947.08
-0.62187,949.13
-0.61875,951.09
-0.61563,952.97
-0.6125,954.77
-0.60938,956.5
-0.60625,958.16
-0.60312,959.76
-0.6,961.3
-0.59688,962.79
-0.59375,964.23
-0.59062,965.62
-0.5875,966.97
-0.58438,968.28
-0.58125,969.56
-0.57812,970.8
-0.575,972.01
-0.57187,973.2
-0.56875,974.35
-0.56563,975.49
-0.5625,976.6
-0.55937,977.69
-0.55625,978.77
-0.55313,979.83
-0.55,980.88
-0.54688,981.92
-0.54375,982.95
-0.54062,983.97
-0.5375,984.98
-0.53438,985.99
-0.53125,987.0
-0.52812,988.01
-0.525,989.01
-0.52188,990.02
-0.51875,991.04
-0.51562,992.05
-0.5125,993.07
-0.50937,994.1
-0.50625,995.14
-0.50313,996.18
-0.5,997.23
-0.49687,998.28
-0.49375,999.35
-0.49062,1000.4
-0.4875,1001.5
-0.48438,1002.6
-0.48125,1003.7
-0.47813,1004.8
-0.475,1005.9
-0.47188,1007.1
-0.46875,1008.2
-0.46562,1009.3
-0.4625,1010.5
-0.45937,1011.6
-0.45625,1012.8
-0.45312,1014.0
-0.45,1015.1
-0.44688,1016.3
-0.44375,1017.5
-0.44063,1018.7
-0.4375,1019.9
-0.43437,1021.1
-0.43125,1022.3
-0.42812,1023.5
-0.425,1024.7
-0.42188,1025.9
-0.41875,1027.1
-0.41563,1028.3
-0.4125,1029.5
-0.40938,1030.8
-0.40625,1032.0
-0.40312,1033.2
-0.4,1034.4
-0.39687,1035.6
-0.39375,1036.8
-0.39062,1038.0
-0.3875,1039.2
-0.38438,1040.3
-0.38125,1041.5
-0.37813,1042.7
-0.375,1043.8
-0.37187,1045.0
-0.36875,1046.1
-0.36562,1047.3
-0.3625,1048.4
-0.35938,1049.5
-0.35625,1050.6
-0.35313,1051.8
-0.35,1052.9
-0.34688,1054.0
-0.34375,1055.1
-0.34062,1056.2
-0.3375,1057.3
-0.33437,1058.4
-0.33125,1059.5
-0.32812,1060.7
