x,uh
-1.0,33.248
-0.99687,33.281
-0.99375,33.382
-0.99063,33.551
-0.9875,33.79
-0.98438,34.1
-0.98125,34.484
-0.97812,34.946
-0.975,35.49
-0.97188,36.119
-0.96875,36.84
-0.96562,37.658
-0.9625,38.581
-0.95938,39.616
-0.95625,40.772
-0.95312,42.059
-0.95,43.487
-0.94687,45.067
-0.94375,46.805
-0.94063,48.709
-0.9375,50.788
-0.93437,53.05
-0.93125,55.505
-0.92813,58.164
-0.925,61.039
-0.92188,64.14
-0.91875,67.481
-0.91562,71.074
-0.9125,74.933
-0.90938,79.072
-0.90625,83.503
-0.90312,88.241
-0.9,93.3
-0.89688,98.693
-0.89375,104.43
-0.89062,110.54
-0.8875,117.01
-0.88437,123.87
-0.88125,131.13
-0.87813,138.8
-0.875,146.88
-0.87187,155.38
-0.86875,164.32
-0.86563,173.7
-0.8625,183.51
-0.85938,193.77
-0.85625,204.48
-0.85312,215.62
-0.85,227.21
-0.84688,239.24
-0.84375,251.69
-0.84062,264.56
-0.8375,277.84
-0.83438,291.51
-0.83125,305.56
-0.82812,319.98
-0.825,334.74
-0.82187,349.82
-0.81875,365.19
-0.81563,380.85
-0.8125,396.75
-0.80937,412.86
-0.80625,429.17
-0.80313,445.64
-0.8,462.24
-0.79688,478.94
-0.79375,495.7
-0.79062,512.49
-0.7875,529.28
-0.78438,546.04
-0.78125,562.73
-0.77812,579.32
-0.775,595.79
-0.77188,612.09
-0.76875,628.2
-0.76562,644.09
-0.7625,659.73
-0.75937,675.11
-0.75625,690.18
-0.75313,704.94
-0.75,719.36
-0.74687,733.42
-0.74375,747.11
-0.74063,760.41
-0.7375,773.31
-0.73438,785.8
-0.73125,797.87
-0.72812,809.51
-0.725,820.72
-0.72188,831.5
-0.71875,841.85
-0.71562,851.77
-0.7125,861.26
-0.70938,870.33
-0.70625,878.99
-0.70312,887.24
-0.7,895.09
-0.69687,902.55
-0.69375,909.64
-0.69063,916.37
-0.6875,922.75
-0.68437,928.79
-0.68125,934.51
-0.67813,939.93
-0.675,945.05
-0.67188,949.9
-0.66875,954.49
-0.66562,958.84
-0.6625,962.95
-0.65938,966.85
-0.65625,970.55
-0.65312,974.06
-0.65,977.4
-0.64688,980.57
-0.64375,983.6
-0.64062,986.48
-0.6375,989.24
-0.63437,991.88
-0.63125,994.42
-0.62813,996.85
-0.625,999.2
-0.62187,1001.5
-0.61875,1003.7
-0.61563,1005.8
-0.6125,1007.8
-0.60938,1009.8
-0.60625,1011.8
-0.60312,1013.7
-0.6,1015.6
-0.59688,1017.4
