x,uh
-1.0,33.058
-0.99687,33.099
-0.99375,33.219
-0.99063,33.421
-0.9875,33.706
-0.98438,34.075
-0.98125,34.532
-0.97812,35.078
-0.975,35.717
-0.97188,36.454
-0.96875,37.292
-0.96562,38.237
-0.9625,39.295
-0.95938,40.471
-0.95625,41.773
-0.95312,43.207
-0.95,44.781
-0.94687,46.503
-0.94375,48.382
-0.94063,50.427
-0.9375,52.647
-0.93437,55.053
-0.93125,57.654
-0.92813,60.463
-0.925,63.488
-0.92188,66.743
-0.91875,70.239
-0.91562,73.986
-0.9125,77.998
-0.90938,82.285
-0.90625,86.861
-0.90312,91.736
-0.9,96.922
-0.89688,102.43
-0.89375,108.27
-0.89062,114.46
-0.8875,121.0
-0.88437,127.9
-0.88125,135.18
-0.87813,142.83
-0.875,150.87
-0.87187,159.3
-0.86875,168.12
-0.86563,177.35
-0.8625,186.97
-0.85938,196.99
-0.85625,207.42
-0.85312,218.23
-0.85,229.44
-0.84688,241.03
-0.84375,253.0
-0.84062,265.33
-0.8375,278.01
-0.83438,291.04
-0.83125,304.38
-0.82812,318.04
-0.825,331.98
-0.82187,346.19
-0.81875,360.64
-0.81563,375.31
-0.8125,390.18
-0.80937,405.22
-0.80625,420.4
-0.80313,435.7
-0.8,451.09
-0.79688,466.53
-0.79375,482.01
-0.79062,497.48
-0.7875,512.93
-0.78438,528.31
-0.78125,543.61
-0.77812,558.8
-0.775,573.85
-0.77188,588.73
-0.76875,603.42
-0.76562,617.89
-0.7625,632.13
-0.75937,646.11
-0.75625,659.81
-0.75313,673.22
-0.75,686.31
-0.74687,699.09
-0.74375,711.53
-0.74063,723.61
-0.7375,735.35
-0.73438,746.72
-0.73125,757.72
-0.72812,768.35
-0.725,778.61
-0.72188,788.49
-0.71875,797.99
-0.71562,807.13
-0.7125,815.89
-0.70938,824.29
-0.70625,832.33
-0.70312,840.02
-0.7,847.36
-0.69687,854.37
-0.69375,861.05
-0.69063,867.41
-0.6875,873.46
-0.68437,879.22
-0.68125,884.69
-0.67813,889.88
-0.675,894.81
-0.67188,899.49
-0.66875,903.92
-0.66562,908.13
-0.6625,912.12
-0.65938,915.89
-0.65625,919.47
-0.65312,922.87
-0.65,926.09
-0.64688,929.14
-0.64375,932.04
-0.64062,934.79
-0.6375,937.4
-0.63437,939.88
-0.63125,942.24
-0.62813,944.49
-0.625,946.63
-0.62187,948.68
-0.61875,950.63
-0.61563,952.5
-0.6125,954.28
-0.60938,956.0
-0.60625,957.64
-0.60312,959.22
-0.6,960.74
-0.59688,962.21
-0.59375,963.63
-0.59062,965.0
-0.5875,966.33
-0.58438,967.61
-0.58125,968.87
-0.57812,970.09
-0.575,971.28
-0.57187,972.44
-0.56875,973.58
-0.56563,974.7
-0.5625,975.8
-0.55937,976.88
-0.55625,977.95
-0.55313,979.01
-0.55,980.05
-0.54688,981.09
-0.54375,982.13
-0.54062,983.16
-0.5375,984.18
-0.53438,985.21
-0.53125,986.24
-0.52812,987.26
-0.525,988.29
-0.52188,989.33
-0.51875,990.37
-0.51562,991.41
-0.5125,992.46
-0.50937,993.52
-0.50625,994.58
-0.50313,995.65
-0.5,996.73
-0.49687,997.81
-0.49375,998.91
-0.49062,1000.0
-0.4875,1001.1
-0.48438,1002.2
-0.48125,1003.3
-0.47813,1004.5
-0.475,1005.6
-0.47188,1006.7
-0.46875,1007.9
-0.46562,1009.0
-0.4625,1010.2
-0.45937,1011.4
-0.45625,1012.5
-0.45312,1013.7
-0.45,1014.9
-0.44688,1016.1
-0.44375,1017.2
-0.44063,1018.4
-0.4375,1019.6
-0.43437,1020.8
-0.43125,1022.0
-0.42812,1023.2
-0.425,1024.3
-0.42188,1025.5
-0.41875,1026.7
-0.41563,1027.9
-0.4125,1029.1
-0.40938,1030.2
-0.40625,1031.4
-0.40312,1032.6
-0.4,1033.7
-0.39687,1034.9
-0.39375,1036.0
-0.39062,1037.2
-0.3875,1038.3
-0.38438,1039.4
-0.38125,1040.6
-0.37813,1041.7
-0.375,1042.8
-0.37187,1043.9
-0.36875,1045.0
-0.36562,1046.1
-0.3625,1047.2
-0.35938,1048.3
-0.35625,1049.4
-0.35313,1050.5
-0.35,1051.6
-0.34688,1052.7
-0.34375,1053.8
-0.34062,1055.0
-0.3375,1056.1
-0.33437,1057.2
-0.33125,1058.4
-0.32812,1059.6
-0.325,1060.8
-0.32188,1062.0
-0.31875,1063.2
-0.31563,1064.4
-0.3125,1065.7
-0.30937,1066.9
-0.30625,1068.2
-0.30312,1069.5
-0.3,1070.8
-0.29688,1072.2
-0.29375,1073.5
-0.29063,1074.9
-0.2875,1076.2
-0.28438,1077.6
-0.28125,1079.0
-0.27812,1080.4
-0.275,1081.8
-0.27187,1083.3
-0.26875,1084.7
-0.26562,1086.2
-0.2625,1087.6
-0.25938,1089.1
-0.25625,1090.6
-0.25313,1092.0
-0.25,1093.5
-0.24688,1095.0
-0.24375,1096.5
-0.24062,1098.0
-0.2375,1099.5
-0.23438,1101.1
-0.23125,1102.6
-0.22813,1104.1
-0.225,1105.6
-0.22187,1107.1
-0.21875,1108.6
-0.21563,1110.1
-0.2125,1111.6
-0.20937,1113.1
-0.20625,1114.6
-0.20312,1116.1
-0.2,1117.5
-0.19688,1119.0
-0.19375,1120.4
-0.19062,1121.9
-0.1875,1123.3
-0.18438,1124.7
-0.18125,1126.1
-0.17812,1127.5
-0.175,1128.8
-0.17188,1130.1
-0.16875,1131.5
-0.16563,1132.8
-0.1625,1134.1
-0.15937,1135.4
-0.15625,1136.7
-0.15313,1138.0
-0.15,1139.3
-0.14687,1140.6
-0.14375,1141.9
-0.14062,1143.3
-0.1375,1144.6
-0.13438,1146.0
-0.13125,1147.4
-0.12812,1148.9
-0.125,1150.3
-0.12188,1151.8
-0.11875,1153.3
-0.11563,1154.9
-0.1125,1156.5
-0.10938,1158.1
-0.10625,1159.7
-0.10312,1161.4
-0.1,1163.1
-0.096875,1164.8
-0.09375,1166.5
-0.090625,1168.3
-0.0875,1170.0
-0.084375,1171.8
-0.08125,1173.7
-0.078125,1175.5
-0.075,1177.4
-0.071875,1179.2
-0.06875,1181.1
-0.065625,1183.0
-0.0625,1184.9
-0.059375,1186.9
-0.05625,1188.8
-0.053125,1190.7
-0.05,1192.7
-0.046875,1194.7
-0.04375,1196.7
-0.040625,1198.6
-0.0375,1200.6
-0.034375,1202.6
-0.03125,1204.6
-0.028125,1206.7
-0.025,1208.7
-0.021875,1210.7
-0.01875,1212.7
-0.015625,1214.7
-0.0125,1216.7
-0.009375,1218.7
-0.00625,1220.7
-0.003125,1222.6
-5.2042e-19,1224.6
0.003125,1226.5
0.00625,1228.4
0.009375,1230.3
0.0125,1232.2
0.015625,1234.0
0.01875,1235.8
0.021875,1237.5
0.025,1239.2
0.028125,1240.9
