x,uh
-1.0,33.679
-0.99687,33.717
-0.99375,33.83
-0.99063,34.019
-0.9875,34.286
-0.98438,34.631
-0.98125,35.059
-0.97812,35.57
-0.975,36.169
-0.97188,36.859
-0.96875,37.644
-0.96562,38.53
-0.9625,39.522
-0.95938,40.625
-0.95625,41.847
-0.95312,43.194
-0.95,44.673
-0.94687,46.293
-0.94375,48.063
-0.94063,49.992
-0.9375,52.088
-0.93437,54.364
-0.93125,56.829
-0.92813,59.494
-0.925,62.371
-0.92188,65.473
-0.91875,68.812
-0.91562,72.4
-0.9125,76.25
-0.90938,80.376
-0.90625,84.792
-0.90312,89.51
-0.9,94.544
-0.89688,99.908
-0.89375,105.61
-0.89062,111.68
-0.8875,118.11
-0.88437,124.91
-0.88125,132.11
-0.87813,139.72
-0.875,147.73
-0.87187,156.16
-0.86875,165.02
-0.86563,174.31
-0.8625,184.04
-0.85938,194.2
-0.85625,204.81
-0.85312,215.86
-0.85,227.35
-0.84688,239.27
-0.84375,251.61
-0.84062,264.38
-0.8375,277.55
-0.83438,291.12
-0.83125,305.07
-0.82812,319.38
-0.825,334.03
-0.82187,349.01
-0.81875,364.29
-0.81563,379.84
-0.8125,395.64
-0.80937,411.67
-0.80625,427.88
-0.80313,444.26
-0.8,460.77
-0.79688,477.38
-0.79375,494.05
-0.79062,510.76
-0.7875,527.47
-0.78438,544.14
-0.78125,560.75
-0.77812,577.26
-0.775,593.64
-0.77188,609.86
-0.76875,625.89
-0.76562,641.7
-0.7625,657.26
-0.75937,672.55
-0.75625,687.54
-0.75313,702.2
-0.75,716.53
-0.74687,730.49
-0.74375,744.08
-0.74063,757.27
-0.7375,770.04
-0.73438,782.4
-0.73125,794.33
-0.72812,805.81
-0.725,816.86
-0.72188,827.46
-0.71875,837.62
-0.71562,847.33
-0.7125,856.61
-0.70938,865.46
-0.70625,873.88
-0.70312,881.9
-0.7,889.51
-0.69687,896.74
-0.69375,903.59
-0.69063,910.09
-0.6875,916.23
-0.68437,922.05
-0.68125,927.55
-0.67813,932.75
-0.675,937.66
-0.67188,942.3
-0.66875,946.68
-0.66562,950.82
-0.6625,954.73
-0.65938,958.42
-0.65625,961.91
-0.65312,965.2
-0.65,968.32
-0.64688,971.26
-0.64375,974.05
-0.64062,976.68
-0.6375,979.18
-0.63437,981.54
-0.63125,983.77
-0.62813,985.89
-0.625,987.9
-0.62187,989.8
-0.61875,991.6
-0.61563,993.31
-0.6125,994.92
-0.60938,996.45
-0.60625,997.9
-0.60312,999.27
-0.6,1000.6
-0.59688,1001.8
-0.59375,1002.9
-0.59062,1004.0
-0.5875,1005.0
-0.58438,1006.0
-0.58125,1006.9
-0.57812,1007.8
-0.575,1008.5
-0.57187,1009.3
-0.56875,1010.0
-0.56563,1010.7
-0.5625,1011.3
-0.55937,1011.9
-0.55625,1012.6
-0.55313,1013.2
-0.55,1013.8
-0.54688,1014.4
-0.54375,1015.1
-0.54062,1015.8
-0.5375,1016.6
-0.53438,1017.4
-0.53125,1018.2
-0.52812,1019.1
-0.525,1020.1
-0.52188,1021.1
-0.51875,1022.1
-0.51562,1023.2
-0.5125,1024.3
-0.50937,1025.4
-0.50625,1026.6
-0.50313,1027.8
-0.5,1029.0
-0.49687,1030.3
-0.49375,1031.6
-0.49062,1032.9
-0.4875,1034.2
-0.48438,1035.6
-0.48125,1037.0
-0.47813,1038.3
-0.475,1039.7
-0.47188,1041.2
-0.46875,1042.6
-0.46562,1044.0
-0.4625,1045.5
-0.45937,1046.9
-0.45625,1048.4
-0.45312,1049.8
