uh,x
32.517,-1.0
32.56,-0.99687
32.691,-0.99375
32.909,-0.99063
33.217,-0.9875
33.616,-0.98438
34.11,-0.98125
34.701,-0.97812
35.393,-0.975
36.192,-0.97188
37.1,-0.96875
38.126,-0.96562
39.273,-0.9625
40.549,-0.95938
41.961,-0.95625
43.516,-0.95312
45.223,-0.95
47.089,-0.94687
49.123,-0.94375
51.334,-0.94063
53.732,-0.9375
56.326,-0.93437
59.126,-0.93125
62.142,-0.92813
65.384,-0.925
68.862,-0.92188
72.586,-0.91875
76.567,-0.91562
80.814,-0.9125
85.337,-0.90938
90.145,-0.90625
95.248,-0.90312
100.65,-0.9
106.37,-0.89688
112.41,-0.89375
118.77,-0.89062
125.47,-0.8875
132.51,-0.88437
139.88,-0.88125
147.61,-0.87813
155.69,-0.875
164.11,-0.87187
172.9,-0.86875
182.03,-0.86563
191.51,-0.8625
201.35,-0.85938
211.52,-0.85625
222.04,-0.85312
232.89,-0.85
244.06,-0.84688
255.55,-0.84375
267.34,-0.84062
279.43,-0.8375
291.8,-0.83438
304.43,-0.83125
317.31,-0.82812
330.43,-0.825
343.77,-0.82187
357.3,-0.81875
371.01,-0.81563
384.88,-0.8125
398.89,-0.80937
413.02,-0.80625
427.24,-0.80313
441.53,-0.8
455.87,-0.79688
470.23,-0.79375
484.6,-0.79062
498.94,-0.7875
513.25,-0.78438
527.48,-0.78125
541.63,-0.77812
555.67,-0.775
569.58,-0.77188
583.33,-0.76875
596.92,-0.76562
610.31,-0.7625
623.5,-0.75937
636.46,-0.75625
649.17,-0.75313
661.64,-0.75
673.83,-0.74687
685.74,-0.74375
697.36,-0.74063
708.68,-0.7375
719.68,-0.73438
730.37,-0.73125
740.73,-0.72812
750.77,-0.725
760.47,-0.72188
769.84,-0.71875
778.87,-0.71562
787.57,-0.7125
795.94,-0.70938
803.97,-0.70625
811.68,-0.70312
819.06,-0.7
826.12,-0.69687
832.87,-0.69375
839.32,-0.69063
845.46,-0.6875
851.32,-0.68437
856.89,-0.68125
862.19,-0.67813
867.22,-0.675
872.0,-0.67188
876.54,-0.66875
880.83,-0.66562
884.91,-0.6625
888.76,-0.65938
892.41,-0.65625
895.87,-0.65312
899.14,-0.65
902.24,-0.64688
905.17,-0.64375
907.94,-0.64062
910.57,-0.6375
913.06,-0.63437
915.42,-0.63125
917.66,-0.62813
919.78,-0.625
921.8,-0.62187
923.73,-0.61875
925.56,-0.61563
927.32,-0.6125
928.99,-0.60938
930.59,-0.60625
932.13,-0.60312
933.61,-0.6
935.04,-0.59688
936.41,-0.59375
937.75,-0.59062
939.04,-0.5875
940.29,-0.58438
941.51,-0.58125
942.7,-0.57812
943.86,-0.575
945.0,-0.57187
946.12,-0.56875
947.21,-0.56563
948.3,-0.5625
949.36,-0.55937
950.42,-0.55625
951.46,-0.55313
952.49,-0.55
953.51,-0.54688
954.53,-0.54375
955.54,-0.54062
956.55,-0.5375
957.55,-0.53438
958.55,-0.53125
959.54,-0.52812
960.54,-0.525
961.53,-0.52188
962.52,-0.51875
963.52,-0.51562
964.51,-0.5125
965.5,-0.50937
966.5,-0.50625
967.49,-0.50313
968.49,-0.5
969.49,-0.49687
970.49,-0.49375
971.49,-0.49062
972.49,-0.4875
973.5,-0.48438
974.51,-0.48125
975.52,-0.47813
976.54,-0.475
977.56,-0.47188
978.58,-0.46875
979.6,-0.46562
980.63,-0.4625
981.66,-0.45937
982.69,-0.45625
983.73,-0.45312
984.77,-0.45
985.81,-0.44688
986.86,-0.44375
987.91,-0.44063
988.96,-0.4375
990.02,-0.43437
991.08,-0.43125
992.14,-0.42812
993.21,-0.425
994.28,-0.42188
995.36,-0.41875
996.43,-0.41563
997.52,-0.4125
998.6,-0.40938
999.69,-0.40625
1000.8,-0.40312
1001.9,-0.4
1003.0,-0.39687
1004.1,-0.39375
1005.2,-0.39062
1006.3,-0.3875
1007.4,-0.38438
1008.5,-0.38125
1009.7,-0.37813
1010.8,-0.375
1011.9,-0.37187
1013.1,-0.36875
1014.2,-0.36562
1015.3,-0.3625
1016.5,-0.35938
1017.6,-0.35625
1018.8,-0.35313
1019.9,-0.35
1021.1,-0.34688
1022.3,-0.34375
1023.5,-0.34062
1024.6,-0.3375
1025.8,-0.33437
1027.0,-0.33125
1028.2,-0.32812
1029.4,-0.325
1030.6,-0.32188
1031.8,-0.31875
1033.0,-0.31563
1034.2,-0.3125
1035.4,-0.30937
1036.6,-0.30625
1037.8,-0.30312
1039.1,-0.3
1040.3,-0.29688
1041.5,-0.29375
1042.8,-0.29063
1044.0,-0.2875
1045.3,-0.28438
1046.5,-0.28125
1047.8,-0.27812
1049.1,-0.275
1050.3,-0.27187
1051.6,-0.26875
1052.9,-0.26562
1054.2,-0.2625
1055.5,-0.25938
1056.8,-0.25625
1058.1,-0.25313
1059.4,-0.25
1060.7,-0.24688
1062.0,-0.24375
1063.3,-0.24062
1064.6,-0.2375
1065.9,-0.23438
1067.3,-0.23125
1068.6,-0.22813
1070.0,-0.225
1071.3,-0.22187
1072.7,-0.21875
1074.0,-0.21563
1075.4,-0.2125
1076.8,-0.20937
1078.1,-0.20625
1079.5,-0.20312
1080.9,-0.2
1082.3,-0.19688
1083.7,-0.19375
1085.1,-0.19062
1086.5,-0.1875
1087.9,-0.18438
1089.4,-0.18125
1090.8,-0.17812
1092.2,-0.175
1093.7,-0.17188
1095.1,-0.16875
1096.5,-0.16563
1098.0,-0.1625
1099.5,-0.15937
1100.9,-0.15625
1102.4,-0.15313
1103.9,-0.15
1105.4,-0.14687
1106.9,-0.14375
1108.4,-0.14062
1109.9,-0.1375
1111.4,-0.13438
1112.9,-0.13125
1114.4,-0.12812
1116.0,-0.125
1117.5,-0.12188
1119.0,-0.11875
1120.6,-0.11563
1122.1,-0.1125
1123.7,-0.10938
1125.3,-0.10625
1126.8,-0.10312
1128.4,-0.1
1130.0,-0.096875
1131.6,-0.09375
1133.2,-0.090625
1134.8,-0.0875
1136.5,-0.084375
1138.1,-0.08125
1139.7,-0.078125
1141.3,-0.075
1143.0,-0.071875
1144.7,-0.06875
1146.3,-0.065625
1148.0,-0.0625
1149.7,-0.059375
1151.3,-0.05625
1153.0,-0.053125
1154.7,-0.05
1156.4,-0.046875
1158.2,-0.04375
1159.9,-0.040625
1161.6,-0.0375
1163.3,-0.034375
1165.1,-0.03125
1166.8,-0.028125
1168.6,-0.025
1170.4,-0.021875
1172.2,-0.01875
1173.9,-0.015625
1175.7,-0.0125
1177.5,-0.009375
1179.4,-0.00625
1181.2,-0.003125
1183.0,0.0
1183.0,-5.2042e-19
1184.8,0.003125
1186.7,0.00625
1188.5,0.009375
1190.4,0.0125
1192.3,0.015625
1194.2,0.01875
1196.1,0.021875
1198.0,0.025
1199.9,0.028125
1201.8,0.03125
1203.7,0.034375
1205.7,0.0375
1207.6,0.040625
1209.6,0.04375
1211.5,0.046875
1213.5,0.05
1215.5,0.053125
1217.5,0.05625
1219.5,0.059375
1221.5,0.0625
1223.6,0.065625
1225.6,0.06875
1227.6,0.071875
1229.7,0.075
1231.8,0.078125
1233.9,0.08125
1235.9,0.084375
1238.0,0.0875
1240.2,0.090625
1242.3,0.09375
1244.4,0.096875
1246.6,0.1
1248.7,0.10312
1250.9,0.10625
1253.1,0.10938
1255.3,0.1125
1257.5,0.11563
1259.7,0.11875
1261.9,0.12188
1264.2,0.125
1266.4,0.12812
1268.7,0.13125
1271.0,0.13438
1273.2,0.1375
1275.6,0.14062
1277.9,0.14375
1280.2,0.14687
1282.5,0.15
1284.9,0.15313
1287.3,0.15625
1289.6,0.15937
1292.0,0.1625
1294.4,0.16563
1296.9,0.16875
1299.3,0.17188
1301.8,0.175
1304.2,0.17812
1306.7,0.18125
1309.2,0.18438
1311.7,0.1875
1314.2,0.19062
1316.8,0.19375
1319.3,0.19688
1321.9,0.2
1324.5,0.20312
1327.1,0.20625
1329.7,0.20937
1332.3,0.2125
1334.9,0.21563
1337.6,0.21875
1340.3,0.22187
1343.0,0.225
1345.7,0.22813
1348.4,0.23125
1351.2,0.23438
1353.9,0.2375
1356.7,0.24062
