uh,uh_n,x
32.597,26.702,-1.0
32.64,26.71,-0.99687
32.771,26.734,-0.99375
32.991,26.775,-0.99063
33.3,26.832,-0.9875
33.702,26.907,-0.98438
34.198,27.0,-0.98125
34.792,27.113,-0.97812
35.488,27.246,-0.975
36.29,27.401,-0.97188
37.203,27.579,-0.96875
38.233,27.783,-0.96562
39.385,28.014,-0.9625
40.667,28.276,-0.95938
42.084,28.57,-0.95625
43.645,28.902,-0.95312
45.357,29.432,-0.95
47.229,30.183,-0.94687
49.269,31.071,-0.94375
51.486,32.075,-0.94063
53.89,33.204,-0.9375
56.49,34.474,-0.93437
59.295,35.905,-0.93125
62.317,37.521,-0.92813
65.563,39.345,-0.925
69.046,41.403,-0.92188
72.774,43.723,-0.91875
76.758,46.331,-0.91562
81.008,49.257,-0.9125
85.532,52.531,-0.90938
90.342,56.185,-0.90625
95.445,60.251,-0.90312
100.85,64.762,-0.9
106.57,69.751,-0.89688
112.6,75.254,-0.89375
118.96,81.304,-0.89062
125.65,87.935,-0.8875
132.68,95.182,-0.88437
140.05,103.08,-0.88125
147.76,111.66,-0.87813
155.83,120.95,-0.875
164.24,130.98,-0.87187
173.0,141.78,-0.86875
182.12,153.37,-0.86563
191.58,165.78,-0.8625
201.4,179.01,-0.85938
211.55,193.1,-0.85625
222.04,208.03,-0.85312
232.86,223.83,-0.85
244.0,240.49,-0.84688
255.46,258.0,-0.84375
267.22,276.35,-0.84062
279.27,295.54,-0.8375
291.6,315.53,-0.83438
304.2,336.3,-0.83125
317.04,357.82,-0.82812
330.11,380.04,-0.825
343.41,402.93,-0.82187
356.89,426.43,-0.81875
370.56,450.5,-0.81563
384.38,475.06,-0.8125
398.34,500.07,-0.80937
412.42,525.45,-0.80625
426.59,551.13,-0.80313
440.83,577.04,-0.8
455.12,603.11,-0.79688
469.43,629.27,-0.79375
483.75,655.43,-0.79062
498.04,681.53,-0.7875
512.29,707.49,-0.78438
526.48,733.24,-0.78125
540.58,758.7,-0.77812
554.57,783.81,-0.775
568.43,808.51,-0.77188
582.14,832.74,-0.76875
595.68,856.43,-0.76562
609.03,879.55,-0.7625
622.17,902.03,-0.75937
635.09,923.85,-0.75625
647.76,944.96,-0.75313
660.19,965.33,-0.75
672.34,984.95,-0.74687
684.22,1003.8,-0.74375
695.81,1021.8,-0.74063
707.09,1039.1,-0.7375
718.07,1055.5,-0.73438
728.73,1071.2,-0.73125
739.07,1086.1,-0.72812
749.08,1100.1,-0.725
758.76,1113.4,-0.72188
768.11,1126.0,-0.71875
777.12,1137.9,-0.71562
785.81,1149.0,-0.7125
794.16,1159.5,-0.70938
802.18,1169.3,-0.70625
809.87,1178.5,-0.70312
817.24,1187.1,-0.7
824.3,1195.2,-0.69687
831.04,1202.8,-0.69375
837.48,1209.9,-0.69063
843.62,1216.5,-0.6875
849.47,1222.7,-0.68437
855.04,1228.5,-0.68125
860.34,1233.9,-0.67813
865.37,1239.1,-0.675
870.14,1243.9,-0.67188
874.68,1248.4,-0.66875
878.97,1252.8,-0.66562
883.05,1256.8,-0.6625
886.9,1260.7,-0.65938
890.56,1264.4,-0.65625
894.01,1267.9,-0.65312
897.29,1271.3,-0.65
900.38,1274.6,-0.64688
903.32,1277.8,-0.64375
906.09,1280.8,-0.64062
908.72,1283.8,-0.6375
911.21,1286.7,-0.63437
913.57,1289.6,-0.63125
915.81,1292.4,-0.62813
917.94,1295.1,-0.625
919.96,1297.8,-0.62187
921.89,1300.5,-0.61875
923.72,1303.2,-0.61563
925.47,1305.9,-0.6125
927.15,1308.5,-0.60938
928.75,1311.1,-0.60625
930.29,1313.8,-0.60312
931.77,1316.4,-0.6
933.19,1319.0,-0.59688
934.57,1321.6,-0.59375
935.9,1324.3,-0.59062
937.19,1326.9,-0.5875
938.44,1329.5,-0.58438
939.65,1332.2,-0.58125
940.84,1334.9,-0.57812
942.0,1337.5,-0.575
943.14,1340.2,-0.57187
944.25,1342.9,-0.56875
945.35,1345.7,-0.56563
946.42,1348.4,-0.5625
947.49,1351.2,-0.55937
948.53,1353.9,-0.55625
949.57,1356.7,-0.55313
950.6,1359.5,-0.55
951.62,1362.3,-0.54688
952.63,1365.2,-0.54375
953.64,1368.0,-0.54062
954.64,1370.9,-0.5375
955.64,1373.8,-0.53438
956.63,1376.7,-0.53125
957.62,1379.6,-0.52812
958.61,1382.5,-0.525
959.6,1385.5,-0.52188
960.58,1388.5,-0.51875
961.57,1391.5,-0.51562
962.56,1394.5,-0.5125
963.54,1397.5,-0.50937
964.53,1400.6,-0.50625
965.52,1403.7,-0.50313
966.51,1406.8,-0.5
967.5,1409.9,-0.49687
968.5,1413.1,-0.49375
969.5,1416.2,-0.49062
970.49,1419.4,-0.4875
971.49,1422.6,-0.48438
972.5,1425.9,-0.48125
973.5,1429.1,-0.47813
974.51,1432.4,-0.475
975.52,1435.7,-0.47188
976.54,1439.0,-0.46875
977.56,1442.4,-0.46562
978.58,1445.7,-0.4625
979.6,1449.1,-0.45937
980.63,1452.6,-0.45625
981.66,1456.0,-0.45312
982.69,1459.5,-0.45
983.73,1463.0,-0.44688
984.77,1466.5,-0.44375
985.81,1470.0,-0.44063
986.86,1473.6,-0.4375
987.91,1477.2,-0.43437
988.96,1480.8,-0.43125
990.02,1484.5,-0.42812
991.08,1488.2,-0.425
992.14,1491.9,-0.42188
993.21,1495.6,-0.41875
994.28,1499.4,-0.41563
995.35,1503.2,-0.4125
996.43,1507.0,-0.40938
997.51,1510.9,-0.40625
998.6,1514.7,-0.40312
999.69,1518.7,-0.4
