uh,x
34.614,-1.0
34.649,-0.99687
34.754,-0.99375
34.93,-0.99063
35.178,-0.9875
35.5,-0.98438
35.898,-0.98125
36.375,-0.97812
36.935,-0.975
37.582,-0.97188
38.32,-0.96875
39.154,-0.96562
40.092,-0.9625
41.138,-0.95938
42.302,-0.95625
43.59,-0.95312
45.013,-0.95
46.58,-0.94687
48.298,-0.94375
50.178,-0.94063
52.228,-0.9375
54.46,-0.93437
56.884,-0.93125
59.512,-0.92813
62.356,-0.925
65.429,-0.92188
68.745,-0.91875
72.315,-0.91562
76.154,-0.9125
80.277,-0.90938
84.696,-0.90625
89.427,-0.90312
94.483,-0.9
99.877,-0.89688
105.62,-0.89375
111.74,-0.89062
118.23,-0.8875
125.11,-0.88437
132.39,-0.88125
140.08,-0.87813
148.19,-0.875
156.73,-0.87187
165.7,-0.86875
175.12,-0.86563
184.97,-0.8625
195.27,-0.85938
206.02,-0.85625
217.21,-0.85312
228.83,-0.85
240.89,-0.84688
253.37,-0.84375
266.27,-0.84062
279.57,-0.8375
293.25,-0.83438
307.31,-0.83125
321.71,-0.82812
336.45,-0.825
351.49,-0.82187
366.82,-0.81875
382.4,-0.81563
398.21,-0.8125
414.22,-0.80937
430.4,-0.80625
446.72,-0.80313
463.13,-0.8
479.62,-0.79688
496.15,-0.79375
512.68,-0.79062
529.18,-0.7875
545.62,-0.78438
561.96,-0.78125
578.18,-0.77812
594.24,-0.775
610.1,-0.77188
625.75,-0.76875
641.16,-0.76562
656.3,-0.7625
671.14,-0.75937
685.67,-0.75625
699.86,-0.75313
713.71,-0.75
727.18,-0.74687
740.27,-0.74375
752.97,-0.74063
765.27,-0.7375
777.16,-0.73438
788.63,-0.73125
799.69,-0.72812
810.33,-0.725
820.55,-0.72188
830.35,-0.71875
839.75,-0.71562
848.74,-0.7125
857.33,-0.70938
865.54,-0.70625
873.36,-0.70312
880.81,-0.7
887.9,-0.69687
894.64,-0.69375
901.05,-0.69063
907.13,-0.6875
912.91,-0.68437
918.39,-0.68125
923.59,-0.67813
928.51,-0.675
933.19,-0.67188
