x,y
-0.0003266,2.776e-06
-0.00032551,5.3125e-06
-0.00032406,6.4659e-06
-0.00031908,1.0625e-05
-0.00031875,1.079e-05
-0.0003184,1.0975e-05
-0.00031344,1.3501e-05
-0.00030887,1.5938e-05
-0.00030812,1.6216e-05
-0.00030766,1.6399e-05
-0.00030281,1.8223e-05
-0.000299,1.9751e-05
-0.0002975,2.032e-05
-0.00029521,2.125e-05
-0.00029219,2.2164e-05
-0.00029083,2.2605e-05
-0.00028687,2.3812e-05
-0.00028305,2.5071e-05
-0.00028156,2.5531e-05
-0.00027848,2.6563e-05
-0.00027625,2.7138e-05
-0.00027545,2.7359e-05
-0.00027094,2.8534e-05
-0.00026819,2.9309e-05
-0.00026562,2.9984e-05
-0.00026083,3.136e-05
-0.00026031,3.1498e-05
-0.00025902,3.1875e-05
-0.000255,3.2794e-05
-0.00025378,3.3094e-05
-0.00024969,3.404e-05
-0.0002468,3.4763e-05
-0.00024437,3.5331e-05
-0.00023974,3.6513e-05
-0.00023906,3.6674e-05
-0.00023708,3.7188e-05
-0.00023375,3.7876e-05
-0.00023287,3.8069e-05
-0.00022844,3.8994e-05
-0.00022611,3.9515e-05
-0.00022312,4.0147e-05
-0.00021929,4.1023e-05
-0.00021781,4.1341e-05
-0.00021283,4.25e-05
-0.0002125,4.2562e-05
-0.00021242,4.2578e-05
-0.00020719,4.3572e-05
-0.00020585,4.384e-05
-0.00020187,4.4605e-05
-0.00019923,4.5144e-05
-0.00019656,4.5667e-05
-0.00019256,4.6499e-05
-0.00019125,4.6762e-05
-0.0001863,4.7813e-05
-0.00018594,4.7875e-05
-0.00018586,4.7888e-05
-0.00018062,4.8807e-05
-0.00017941,4.9026e-05
-0.00017531,4.9756e-05
-0.00017293,5.0193e-05
-0.00017,5.0725e-05
-0.00016642,5.1397e-05
-0.00016469,5.1718e-05
-0.00015986,5.2641e-05
-0.00015937,5.2733e-05
-0.00015736,5.3125e-05
-0.00015406,5.3656e-05
-0.00015343,5.3757e-05
-0.00014875,5.4521e-05
-0.00014708,5.479e-05
-0.00014344,5.5395e-05
-0.00014072,5.584e-05
-0.00013812,5.6279e-05
-0.00013434,5.6907e-05
-0.00013281,5.7171e-05
-0.00012795,5.7983e-05
-0.0001275,5.8063e-05
-0.00012526,5.8438e-05
-0.00012219,5.888e-05
-0.00012168,5.8947e-05
-0.00011687,5.9635e-05
-0.0001155,5.9815e-05
-0.00011156,6.0375e-05
-0.00010934,6.0659e-05
-0.00010625,6.1095e-05
-0.00010322,6.1469e-05
-0.00010094,6.1786e-05
-9.7146e-05,6.2229e-05
-9.5625e-05,6.2434e-05
-9.1144e-05,6.2918e-05
-9.0313e-05,6.3026e-05
-8.5234e-05,6.3516e-05
-8.5e-05,6.3545e-05
-8.2521e-05,6.375e-05
-7.9687e-05,6.3974e-05
-7.9687e-05,6.3974e-05
-7.9451e-05,6.3987e-05
-7.9451e-05,6.3987e-05
-7.4375e-05,6.4315e-05
-7.4375e-05,6.4315e-05
-7.3787e-05,6.4338e-05
-7.3787e-05,6.4338e-05
-6.9063e-05,6.4562e-05
-6.9063e-05,6.4562e-05
-6.8232e-05,6.458e-05
-6.8232e-05,6.458e-05
-6.375e-05,6.47e-05
-6.2797e-05,6.4703e-05
-5.8437e-05,6.4715e-05
-5.7491e-05,6.4697e-05
-5.3125e-05,6.4588e-05
-5.2322e-05,6.4553e-05
-4.7813e-05,6.4301e-05
-4.7297e-05,6.4265e-05
-4.25e-05,6.3836e-05
-4.2422e-05,6.3828e-05
-4.1791e-05,6.375e-05
-3.7637e-05,6.3301e-05
-3.7187e-05,6.3237e-05
-3.2973e-05,6.2652e-05
-3.1875e-05,6.2437e-05
-2.8465e-05,6.1848e-05
-2.6563e-05,6.1369e-05
-2.4148e-05,6.0852e-05
-2.125e-05,5.9989e-05
-2.0025e-05,5.9663e-05
-1.6302e-05,5.8437e-05
-1.6012e-05,5.8363e-05
-1.5937e-05,5.8331e-05
-1.1955e-05,5.7107e-05
-1.0625e-05,5.6447e-05
-8.2282e-06,5.5522e-05
-5.3125e-06,5.4035e-05
-4.6975e-06,5.374e-05
-3.4858e-06,5.3125e-05
-1.0575e-06,5.2068e-05
0.0,5.1292e-05
2.2195e-06,5.0032e-05
