x,y
-0.00032776,-3.4658e-22
-0.00032574,-1.6773e-06
-0.00032406,-3.1444e-06
-0.00032289,-4.1392e-06
-0.00032158,-5.3125e-06
-0.00032158,-5.3125e-06
-0.00031938,-5.9429e-06
-0.00031875,-6.1387e-06
-0.00031526,-7.1343e-06
-0.00031344,-7.7016e-06
-0.00031116,-8.3465e-06
-0.00030812,-9.2889e-06
-0.00030708,-9.5825e-06
-0.00030372,-1.0625e-05
-0.00030372,-1.0625e-05
-0.00030295,-1.0761e-05
-0.00030281,-1.0786e-05
-0.00029843,-1.155e-05
-0.0002975,-1.1725e-05
-0.00029391,-1.2346e-05
-0.00029219,-1.267e-05
-0.0002894,-1.315e-05
-0.00028687,-1.3627e-05
-0.0002849,-1.3966e-05
-0.00028156,-1.4599e-05
-0.00028042,-1.4796e-05
-0.00027625,-1.5589e-05
-0.00027595,-1.5641e-05
-0.0002744,-1.5938e-05
-0.00027094,-1.6379e-05
-0.00027043,-1.6445e-05
-0.00026562,-1.7056e-05
-0.00026434,-1.7225e-05
-0.00026031,-1.7736e-05
-0.00025824,-1.8009e-05
-0.000255,-1.8422e-05
-0.00025214,-1.8802e-05
-0.00024969,-1.9117e-05
-0.00024602,-1.9607e-05
-0.00024437,-1.982e-05
-0.00023989,-2.0423e-05
-0.00023906,-2.0532e-05
-0.00023377,-2.125e-05
-0.00023377,-2.125e-05
-0.00023375,-2.1251e-05
-0.00023375,-2.1252e-05
-0.00022892,-2.1731e-05
-0.00022844,-2.1775e-05
-0.00022408,-2.2208e-05
-0.00022312,-2.2296e-05
-0.00021925,-2.2684e-05
-0.00021781,-2.2815e-05
-0.00021441,-2.3158e-05
-0.0002125,-2.3333e-05
-0.00020957,-2.3632e-05
-0.00020719,-2.385e-05
-0.00020432,-2.4115e-05
-0.00020303,-2.4247e-05
-0.00020187,-2.4365e-05
-0.00020187,-2.4365e-05
-0.00019844,-2.4682e-05
-0.00019844,-2.4682e-05
-0.00019656,-2.4877e-05
-0.00019656,-2.4877e-05
-0.00019257,-2.5245e-05
-0.00019257,-2.5245e-05
-0.00019125,-2.5384e-05
-0.00019125,-2.5384e-05
-0.0001867,-2.5801e-05
-0.0001867,-2.5801e-05
-0.00018594,-2.5883e-05
-0.00018594,-2.5883e-05
-0.00018084,-2.6346e-05
-0.00018084,-2.6346e-05
-0.00018062,-2.637e-05
-0.00018062,-2.637e-05
-0.00017849,-2.6562e-05
-0.00017849,-2.6563e-05
-0.00017531,-2.6786e-05
-0.00017508,-2.6797e-05
-0.00017,-2.7151e-05
-0.00016938,-2.7179e-05
-0.00016469,-2.7502e-05
-0.00016371,-2.7544e-05
-0.00015937,-2.7839e-05
-0.00015805,-2.7892e-05
-0.00015406,-2.8159e-05
-0.0001524,-2.8221e-05
-0.00014875,-2.8461e-05
-0.00014678,-2.8528e-05
-0.00014344,-2.8744e-05
-0.00014119,-2.881e-05
-0.00013812,-2.9003e-05
-0.00013562,-2.9067e-05
-0.00013281,-2.9238e-05
-0.00013008,-2.9294e-05
-0.0001275,-2.9444e-05
-0.00012457,-2.949e-05
-0.00012219,-2.9621e-05
-0.0001191,-2.9651e-05
-0.00011687,-2.9764e-05
-0.00011366,-2.9776e-05
-0.00011156,-2.9873e-05
-0.00010826,-2.9862e-05
-0.00010625,-2.9944e-05
-0.0001029,-2.991e-05
-0.00010094,-2.9976e-05
-9.7584e-05,-2.9916e-05
-9.5625e-05,-2.9966e-05
-9.2307e-05,-2.9881e-05
-9.0313e-05,-2.9914e-05
-8.7072e-05,-2.9803e-05
-8.5e-05,-2.9815e-05
-8.5e-05,-2.9815e-05
-8.3408e-05,-2.9747e-05
-8.2928e-05,-2.9803e-05
-8.1273e-05,-2.9734e-05
-7.9687e-05,-2.9669e-05
-7.9687e-05,-2.9669e-05
-7.7437e-05,-2.9625e-05
-7.6735e-05,-2.9515e-05
-7.4375e-05,-2.947e-05
-7.4375e-05,-2.947e-05
-7.1636e-05,-2.9301e-05
-6.9063e-05,-2.9215e-05
-6.6587e-05,-2.9038e-05
-6.375e-05,-2.8899e-05
-6.1591e-05,-2.8722e-05
-5.8437e-05,-2.8515e-05
-5.6651e-05,-2.8349e-05
-5.3125e-05,-2.8056e-05
-5.1773e-05,-2.7914e-05
-4.7813e-05,-2.7518e-05
-4.6958e-05,-2.7417e-05
-4.25e-05,-2.6895e-05
-4.2205e-05,-2.6857e-05
-4.0007e-05,-2.6562e-05
-3.7455e-05,-2.6295e-05
-3.7187e-05,-2.6266e-05
-3.2696e-05,-2.5741e-05
-3.1875e-05,-2.5626e-05
-2.7999e-05,-2.5126e-05
-2.6563e-05,-2.4878e-05
-2.3389e-05,-2.4423e-05
-2.125e-05,-2.3985e-05
-1.8897e-05,-2.3603e-05
-1.5937e-05,-2.292e-05
-1.4527e-05,-2.2661e-05
-1.0625e-05,-2.1704e-05
-1.0248e-05,-2.1627e-05
-8.7529e-06,-2.125e-05
-5.8496e-06,-2.0713e-05
-5.3125e-06,-2.0548e-05
-1.463e-06,-1.9787e-05
0.0,-1.9244e-05
2.6924e-06,-1.863e-05
5.3125e-06,-1.7585e-05
