"Points:0","Points:1","Points:2"
0.8618448,0,-0.03426725
0.8619512,0,-0.03427183
0.8632793,0,-0.03432835
0.8646075,0,-0.03438389
0.8659356,0,-0.03443846
0.8672637,0,-0.03448202
0.8685918,0,-0.03452472
0.86992,0,-0.0345666
0.8712481,0,-0.03460769
0.8725762,0,-0.03464802
0.8739043,0,-0.03468759
0.8752325,0,-0.03472643
0.8765606,0,-0.03476457
0.8778887,0,-0.03478654
0.8792168,0,-0.03480805
0.8805449,0,-0.03482915
0.8818731,0,-0.03484984
0.8832012,0,-0.03487014
0.8845293,0,-0.03489005
0.8858574,0,-0.03490958
0.8871855,0,-0.03492875
0.8885137,0,-0.03492576
0.8898418,0,-0.03492279
0.8911699,0,-0.03491987
0.892498,0,-0.03491702
0.8938261,0,-0.03491421
0.8951543,0,-0.03491146
0.8964824,0,-0.03490875
0.8978105,0,-0.0349061
0.8991386,0,-0.03487457
0.9004667,0,-0.03484355
0.9017949,0,-0.03481309
0.903123,0,-0.03478317
0.9044511,0,-0.03475377
0.9057792,0,-0.03472489
0.9071074,0,-0.0346965
0.9084355,0,-0.03466859
0.9097636,0,-0.03460466
0.9110917,0,-0.03454168
0.9124199,0,-0.03447967
0.913748,0,-0.03441862
0.9150761,0,-0.03435849
0.9164042,0,-0.03429928
0.9171311,0,-0.03426725
0.8368295,0,-0.03289656
0.838045,0,-0.03297613
0.8393732,0,-0.0330618
0.8407013,0,-0.03314616
0.8420294,0,-0.03322924
0.8433575,0,-0.03331107
0.8446856,0,-0.03339167
0.8460138,0,-0.03346875
0.8473419,0,-0.03354451
0.84867,0,-0.033619
0.8499981,0,-0.03369224
0.8513262,0,-0.03376426
0.8526543,0,-0.03383509
0.8539825,0,-0.03390477
0.8553106,0,-0.03397332
0.8566387,0,-0.03403524
0.8579668,0,-0.03409601
0.859295,0,-0.03415568
0.8606231,0,-0.03421428
0.9177324,0,-0.03424095
0.9190605,0,-0.0341835
0.9203886,0,-0.03408319
0.9217167,0,-0.03398406
0.9230449,0,-0.03388615
0.924373,0,-0.03378944
0.9257011,0,-0.03369391
0.9270292,0,-0.03359954
0.9283573,0,-0.0335063
0.9296855,0,-0.03341417
0.9310136,0,-0.03327407
0.9323417,0,-0.03313513
0.9336698,0,-0.03299741
0.9346498,0,-0.03289656
0.819148,0,-0.03152587
0.8194513,0,-0.0315513
0.8207794,0,-0.03166175
0.8221076,0,-0.03177073
0.8234357,0,-0.03187829
0.8247638,0,-0.03198646
0.8260919,0,-0.03209298
0.8274201,0,-0.03219785
0.8287482,0,-0.03230112
0.8300763,0,-0.03240284
0.8314044,0,-0.03250302
0.8327326,0,-0.03260172
0.8340607,0,-0.03269895
0.8353888,0,-0.03279464
0.8367169,0,-0.03288866
0.9349979,0,-0.03286345
0.936326,0,-0.03273814
0.9376542,0,-0.03261439
0.9389823,0,-0.03249218
0.9403104,0,-0.03237148
0.9416385,0,-0.03220297
0.9429666,0,-0.0320357
0.9442948,0,-0.03186973
0.9456229,0,-0.03170506
0.946951,0,-0.03154166
0.94708,0,-0.03152587
0.8068324,0,-0.03015518
0.8074982,0,-0.03023223
0.8088263,0,-0.03038457
0.8101544,0,-0.03053511
0.8114826,0,-0.03068391
0.8128107,0,-0.03083097
0.8141388,0,-0.03098092
0.8154669,0,-0.03112853
0.8167951,0,-0.03127385
0.8181232,0,-0.03141695
0.9482791,0,-0.03140922
0.9496073,0,-0.03128173
0.9509354,0,-0.03115598
0.9522635,0,-0.03099229
0.9535916,0,-0.03082935
0.9549198,0,-0.0306672
0.9562479,0,-0.03050584
0.957576,0,-0.03034526
0.9589041,0,-0.03018547
0.9591566,0,-0.03015518
0.7952821,0,-0.02878449
0.7955451,0,-0.02881645
0.7968732,0,-0.02897692
0.7982014,0,-0.02913593
0.7995295,0,-0.02929349
0.8008576,0,-0.02944962
0.8021857,0,-0.02960434
0.8035138,0,-0.02976416
0.804842,0,-0.02992206
0.8061701,0,-0.03007807
0.9602323,0,-0.03002645
0.9615604,0,-0.0298682
0.9628885,0,-0.0296669
0.9642166,0,-0.02946431
0.9655448,0,-0.0292605
0.9668729,0,-0.02905547
0.968201,0,-0.0288492
0.968616,0,-0.02878449
0.7840696,0,-0.0274138
0.7849202,0,-0.02751923
0.7862483,0,-0.0276829
0.7875764,0,-0.0278454
0.7889045,0,-0.02800675
0.7902327,0,-0.02816696
0.7915608,0,-0.02832605
0.7928889,0,-0.02849103
0.794217,0,-0.02865449
0.9695291,0,-0.02864168
0.9708572,0,-0.0284329
0.9721854,0,-0.02822283
0.9735135,0,-0.02795719
0.9748416,0,-0.02768674
0.9761585,0,-0.0274138
0.7730012,0,-0.02604311
0.7742952,0,-0.02620489
0.7756233,0,-0.02637
0.7769514,0,-0.02653418
0.7782795,0,-0.02669742
0.7796077,0,-0.02685973
0.7809358,0,-0.02702113
0.7822639,0,-0.02718836
0.783592,0,-0.02735439
0.9761697,0,-0.02741145
0.9774978,0,-0.02713119
0.978826,0,-0.02684581
0.9801541,0,-0.02655519
0.9814822,0,-0.02625917
0.9824362,0,-0.02604311
0.762011,0,-0.02467242
0.7623421,0,-0.02471416
0.7636702,0,-0.02488106
0.7649983,0,-0.02504718
0.7663264,0,-0.02521251
0.7676545,0,-0.02537706
0.7689826,0,-0.02554083
0.7703108,0,-0.02570384
0.7716389,0,-0.02587181
0.772967,0,-0.02603883
0.9828103,0,-0.02595761
0.9841384,0,-0.02560652
0.9854666,0,-0.0252466
0.9867947,0,-0.02487761
0.987519,0,-0.02467242
0.7511168,0,-0.02330173
0.7517171,0,-0.02337808
0.7530452,0,-0.02354648
0.7543733,0,-0.02371417
0.7557015,0,-0.02388116
0.7570296,0,-0.02404745
0.7583577,0,-0.02421304
0.7596858,0,-0.02437794
0.7610139,0,-0.02454644
0.9881228,0,-0.02449918
0.9894509,0,-0.02411095
0.990779,0,-0.02371253
