"Points:0","Points:1","Points:2"
2.5156e-05,3.2649e-05,-1e-09
2.5476e-05,3.2195e-05,-1e-09
2.5727e-05,3.1875e-05,-1e-09
1.9844e-05,3.8911e-05,-1e-09
2.0662e-05,3.8006e-05,-1e-09
2.1464e-05,3.7188e-05,-1e-09
1.4531e-05,4.3846e-05,-1e-09
1.5247e-05,4.3216e-05,-1e-09
1.612e-05,4.25e-05,-1e-09
9.2187e-06,4.7884e-05,-1e-09
9.2606e-06,4.7854e-05,-1e-09
9.3243e-06,4.7813e-05,-1e-09
3.0469e-05,2.3844e-05,-1e-09
3.1275e-05,2.2057e-05,-1e-09
3.1675e-05,2.125e-05,-1e-09
2.7581e-05,2.8987e-05,-1e-09
2.9103e-05,2.6563e-05,-1e-09
2.3195e-05,3.5227e-05,-1e-09
1.8111e-05,4.0767e-05,-1e-09
1.2379e-05,4.566e-05,-1e-09
3.9062e-06,5.1183e-05,-1e-09
6.0277e-06,4.9934e-05,-1e-09
-1.4063e-06,5.3909e-05,-1e-09
-8.7981e-07,5.3651e-05,-1e-09
2.0414e-07,5.3125e-05,-1e-09
3.2791e-05,1.8259e-05,-1e-09
3.3654e-05,1.5938e-05,-1e-09
2.961e-05,2.5704e-05,-1e-09
2.7355e-06,5.1954e-05,-1e-09
-6.7188e-06,5.6245e-05,-1e-09
-4.4908e-06,5.5353e-05,-1e-09
3.5781e-05,5.7809e-06,-1e-09
3.5838e-05,5.3694e-06,-1e-09
3.5847e-05,5.3125e-06,-1e-09
3.4125e-05,1.4281e-05,-1e-09
3.5051e-05,1.0625e-05,-1e-09
-1.2031e-05,5.814e-05,-1e-09
-8.2308e-06,5.6925e-05,-1e-09
3.6081e-05,2.9951e-07,-1e-09
3.6096e-05,1.6256e-16,-1e-09
3.516e-05,1.0004e-05,-1e-09
-1.3058e-05,5.8438e-05,-1e-09
-1.2243e-05,5.8226e-05,-1e-09
-0.00026172,2.8841e-05,-1e-09
-0.00025853,2.975e-05,-1e-09
-0.00025641,3.0317e-05,-1e-09
