"Points:0","Points:1","Points:2"
-0.00031254,5.3125e-06,-5.3125e-06
-0.00031254,5.3125e-06,-5.3125e-06
-0.00031254,5.3125e-06,-5.3125e-06
-0.00031652,1.6763e-06,-1.6763e-06
-0.00031484,3.2422e-06,-3.2422e-06
-0.0003184,2.3564e-22,-2.3564e-22
-0.00031022,5.9988e-06,-5.9988e-06
-0.00030953,6.217e-06,-6.217e-06
-0.00031374,4.2087e-06,-4.2087e-06
-0.00030611,7.2084e-06,-7.2084e-06
-0.00030422,7.8054e-06,-7.8054e-06
-0.00029492,1.0625e-05,-1.0625e-05
-0.00029492,1.0625e-05,-1.0625e-05
-0.00029492,1.0625e-05,-1.0625e-05
-0.00030203,8.4337e-06,-8.4337e-06
-0.00029891,9.4093e-06,-9.4093e-06
-0.00029379,1.0825e-05,-1.0825e-05
-0.00029359,1.0862e-05,-1.0862e-05
-0.00029796,9.6788e-06,-9.6788e-06
-0.00028927,1.1618e-05,-1.1618e-05
-0.00028828,1.1806e-05,-1.1806e-05
-0.00028476,1.2417e-05,-1.2417e-05
-0.00028297,1.2754e-05,-1.2754e-05
-0.00028025,1.3223e-05,-1.3223e-05
-0.00027766,1.3712e-05,-1.3712e-05
-0.00027576,1.404e-05,-1.404e-05
-0.00027234,1.4684e-05,-1.4684e-05
-0.00026727,1.563e-05,-1.563e-05
-0.00026703,1.5672e-05,-1.5672e-05
-0.00026735,1.5615e-05,-1.5615e-05
-0.00026829,1.5441e-05,-1.5441e-05
-0.00026561,1.5938e-05,-1.5938e-05
-0.00026172,1.6432e-05,-1.6432e-05
-0.00026561,1.5938e-05,-1.5938e-05
-0.00026561,1.5938e-05,-1.5938e-05
-0.00016078,2.6958e-05,-2.6958e-05
-0.00016037,2.6974e-05,-2.6974e-05
-0.00015547,2.7287e-05,-2.7287e-05
-0.00015472,2.7315e-05,-2.7315e-05
-0.00015016,2.7601e-05,-2.7601e-05
-0.00014908,2.7637e-05,-2.7637e-05
-0.00014484,2.7897e-05,-2.7897e-05
-0.00014347,2.7938e-05,-2.7938e-05
-0.00013953,2.8174e-05,-2.8174e-05
-0.00013788,2.8217e-05,-2.8217e-05
-0.00013422,2.843e-05,-2.843e-05
-0.00013231,2.8472e-05,-2.8472e-05
-0.00012891,2.8662e-05,-2.8662e-05
-0.00012677,2.8699e-05,-2.8699e-05
-0.00012359,2.8868e-05,-2.8868e-05
-0.00012126,2.8898e-05,-2.8898e-05
-0.00011828,2.9046e-05,-2.9046e-05
-0.00011578,2.9064e-05,-2.9064e-05
-0.00011297,2.9194e-05,-2.9194e-05
-0.00011033,2.9198e-05,-2.9198e-05
-0.00010766,2.9308e-05,-2.9308e-05
-0.00010492,2.9296e-05,-2.9296e-05
-0.00010234,2.9388e-05,-2.9388e-05
-9.955e-05,2.9356e-05,-2.9356e-05
-9.7031e-05,2.943e-05,-2.943e-05
-9.4215e-05,2.9378e-05,-2.9378e-05
-9.1719e-05,2.9433e-05,-2.9433e-05
-8.8921e-05,2.9361e-05,-2.9361e-05
-8.6406e-05,2.9393e-05,-2.9393e-05
2.5156e-05,1.1271e-05,-1.1271e-05
2.5598e-05,1.1067e-05,-1.1067e-05
2.6571e-05,1.0625e-05,-1.0625e-05
2.6571e-05,1.0625e-05,-1.0625e-05
2.6571e-05,1.0625e-05,-1.0625e-05
3.0469e-05,7.8097e-06,-7.8097e-06
3.1872e-05,6.7156e-06,-6.7156e-06
3.3757e-05,5.3125e-06,-5.3125e-06
1.9844e-05,1.3707e-05,-1.3707e-05
2.2045e-05,1.2826e-05,-1.2826e-05
9.2187e-06,1.7512e-05,-1.7512e-05
1.045e-05,1.7169e-05,-1.7169e-05
1.4072e-05,1.5938e-05,-1.5938e-05
3.3757e-05,5.3125e-06,-5.3125e-06
3.3757e-05,5.3125e-06,-5.3125e-06
3.5781e-05,7.6137e-07,-7.6137e-07
3.5999e-05,2.1821e-07,-2.1821e-07
3.6096e-05,1.6256e-16,-1.6256e-16
2.8971e-05,9.1273e-06,-9.1273e-06
1.4072e-05,1.5938e-05,-1.5938e-05
1.4072e-05,1.5938e-05,-1.5938e-05
1.4531e-05,1.5781e-05,-1.5781e-05
1.8425e-05,1.4519e-05,-1.4519e-05
3.9062e-06,1.9124e-05,-1.9124e-05
6.4758e-06,1.8507e-05,-1.8507e-05
-6.7188e-06,2.1557e-05,-2.1557e-05
-6.4637e-06,2.1505e-05,-2.1505e-05
-5.3801e-06,2.125e-05,-2.125e-05
-0.00025744,1.6971e-05,-1.6971e-05
-0.00025641,1.7105e-05,-1.7105e-05
-0.00026172,1.6432e-05,-1.6432e-05
-0.00025507,1.7278e-05,-1.7278e-05
-0.00025109,1.778e-05,-1.778e-05
-0.00024898,1.8055e-05,-1.8055e-05
-0.00024578,1.846e-05,-1.846e-05
-0.00024288,1.8839e-05,-1.8839e-05
-0.00024047,1.9147e-05,-1.9147e-05
-0.00023678,1.9631e-05,-1.9631e-05
-0.00023516,1.984e-05,-1.984e-05
-0.00023066,2.0433e-05,-2.0433e-05
-0.00022984,2.054e-05,-2.054e-05
-0.00022454,2.1244e-05,-2.1244e-05
-0.00022453,2.1245e-05,-2.1245e-05
-0.00022449,2.125e-05,-2.125e-05
-0.00022449,2.125e-05,-2.125e-05
-0.00022449,2.125e-05,-2.125e-05
-0.00021922,2.176e-05,-2.176e-05
-0.00021866,2.181e-05,-2.181e-05
-0.00021391,2.227e-05,-2.227e-05
-0.00021279,2.2369e-05,-2.2369e-05
-0.00020859,2.2776e-05,-2.2776e-05
-0.00020692,2.2924e-05,-2.2924e-05
-0.00020328,2.328e-05,-2.328e-05
-0.00020106,2.3476e-05,-2.3476e-05
-0.00019797,2.378e-05,-2.378e-05
-0.0001952,2.4023e-05,-2.4023e-05
-0.00019266,2.4276e-05,-2.4276e-05
-0.00018934,2.4566e-05,-2.4566e-05
-0.00018734,2.4768e-05,-2.4768e-05
-0.00018349,2.5101e-05,-2.5101e-05
-0.00018203,2.5251e-05,-2.5251e-05
-0.00017765,2.5626e-05,-2.5626e-05
-0.00017672,2.5724e-05,-2.5724e-05
-0.00017183,2.6138e-05,-2.6138e-05
-0.00017141,2.6183e-05,-2.6183e-05
-0.00016685,2.6563e-05,-2.6563e-05
-0.00016685,2.6563e-05,-2.6563e-05
-0.00016685,2.6563e-05,-2.6563e-05
-0.00016609,2.6613e-05,-2.6613e-05
-0.00016604,2.6615e-05,-2.6615e-05
-0.00016078,2.6958e-05,-2.6958e-05
-0.00016037,2.6974e-05,-2.6974e-05
-0.00015547,2.7287e-05,-2.7287e-05
-0.00015472,2.7315e-05,-2.7315e-05
-0.00015016,2.7601e-05,-2.7601e-05
-0.00014908,2.7637e-05,-2.7637e-05
-0.00014484,2.7897e-05,-2.7897e-05
-0.00014347,2.7938e-05,-2.7938e-05
-0.00013953,2.8174e-05,-2.8174e-05
-0.00013788,2.8217e-05,-2.8217e-05
-0.00013422,2.843e-05,-2.843e-05
-0.00013231,2.8472e-05,-2.8472e-05
-0.00012677,2.8699e-05,-2.8699e-05
-0.00012126,2.8898e-05,-2.8898e-05
