"Points:0","Points:1","Points:2"
-0.00011497,-6.0017e-05,-1e-09
-0.00010828,-6.0755e-05,-1e-09
-0.00010452,-6.1438e-05,-1e-09
-0.00012542,-5.8428e-05,-1e-09
-0.00012037,-5.907e-05,-1e-09
-0.00013587,-5.6816e-05,-1e-09
-0.00013258,-5.7257e-05,-1e-09
-0.00014632,-5.5301e-05,-1e-09
-0.00014472,-5.551e-05,-1e-09
-0.00015677,-5.3953e-05,-1e-09
-0.00015667,-5.3965e-05,-1e-09
-0.00015759,-5.3863e-05,-1e-09
-0.00016722,-5.2484e-05,-1e-09
-0.00017768,-5.0202e-05,-1e-09
-0.00016895,-5.2087e-05,-1e-09
-0.00018813,-4.8007e-05,-1e-09
-0.00018221,-4.9193e-05,-1e-09
-0.00019858,-4.5815e-05,-1e-09
-0.00019533,-4.6436e-05,-1e-09
-0.00020903,-4.3585e-05,-1e-09
-0.00020844,-4.3695e-05,-1e-09
-0.00021136,-4.309e-05,-1e-09
-0.00021948,-4.0956e-05,-1e-09
-0.00022993,-3.8397e-05,-1e-09
-0.00022216,-4.0327e-05,-1e-09
-0.00024038,-3.5927e-05,-1e-09
-0.00023589,-3.6955e-05,-1e-09
-0.00025084,-3.3474e-05,-1e-09
-0.0002494,-3.3794e-05,-1e-09
-0.00025576,-3.2318e-05,-1e-09
-0.00026129,-3.0657e-05,-1e-09
-0.00027174,-2.754e-05,-1e-09
-0.00026355,-2.9982e-05,-1e-09
-0.00028219,-2.4361e-05,-1e-09
-0.00027832,-2.5533e-05,-1e-09
-0.00029097,-2.1545e-05,-1e-09
-0.00029264,-2.0781e-05,-1e-09
-0.00030309,-1.575e-05,-1e-09
-0.0002941,-2.0043e-05,-1e-09
-0.00031251,-1.0773e-05,-1e-09
-0.00031354,-9.3896e-06,-1e-09
-0.00032017,1.7347e-18,-1e-09
2.09e-05,3.7278e-05,-1e-09
1.6102e-05,4.309e-05,-1e-09
1.0449e-05,4.8024e-05,-1e-09
1.5353e-06,5.3863e-05,-1e-09
-2.7778e-09,5.4807e-05,-1e-09
-1.746e-06,5.566e-05,-1e-09
-1.0454e-05,5.9992e-05,-1e-09
-1.9481e-05,6.3167e-05,-1e-09
-2.0906e-05,6.3687e-05,-1e-09
-2.578e-05,6.4635e-05,-1e-09
-3.1357e-05,6.56e-05,-1e-09
-3.2353e-05,6.5663e-05,-1e-09
-4.1808e-05,6.5847e-05,-1e-09
-8.3276e-05,6.4287e-05,-1e-09
-8.3614e-05,6.424e-05,-1e-09
-7.957e-05,6.4635e-05,-1e-09
-9.2647e-05,6.3174e-05,-1e-09
-9.4065e-05,6.2933e-05,-1e-09
-0.00010186,6.1899e-05,-1e-09
-0.00010452,6.1438e-05,-1e-09
-4.3023e-05,6.5887e-05,-1e-09
-5.226e-05,6.6185e-05,-1e-09
-5.3745e-05,6.6166e-05,-1e-09
-6.2711e-05,6.5963e-05,-1e-09
-6.394e-05,6.5902e-05,-1e-09
-7.3162e-05,6.5278e-05,-1e-09
-7.3742e-05,6.5233e-05,-1e-09
-0.0001112,6.0757e-05,-1e-09
-0.00011497,6.0017e-05,-1e-09
-0.00012031,5.9374e-05,-1e-09
-0.00012542,5.8428e-05,-1e-09
-0.00012935,5.7918e-05,-1e-09
-0.00013587,5.6816e-05,-1e-09
-0.00013842,5.6488e-05,-1e-09
-0.00014632,5.5301e-05,-1e-09
-0.00014757,5.5154e-05,-1e-09
-0.00015677,5.3953e-05,-1e-09
-0.00016607,5.2674e-05,-1e-09
-0.00016722,5.2484e-05,-1e-09
-0.00015759,5.3863e-05,-1e-09
-0.00015685,5.3945e-05,-1e-09
-0.00017478,5.0881e-05,-1e-09
-0.00017768,5.0202e-05,-1e-09
-0.00018348,4.9071e-05,-1e-09
-0.00018813,4.8007e-05,-1e-09
-0.00019217,4.7258e-05,-1e-09
-0.00019858,4.5815e-05,-1e-09
-0.00020083,4.5406e-05,-1e-09
-0.00020903,4.3585e-05,-1e-09
-0.00021783,4.1387e-05,-1e-09
-0.00021948,4.0956e-05,-1e-09
-0.00021136,4.309e-05,-1e-09
-0.00020944,4.3509e-05,-1e-09
-0.00022621,3.9256e-05,-1e-09
-0.00022993,3.8397e-05,-1e-09
-0.00023478,3.731e-05,-1e-09
-0.00024038,3.5927e-05,-1e-09
-0.00024327,3.5293e-05,-1e-09
-0.00025084,3.3474e-05,-1e-09
-0.00026004,3.1029e-05,-1e-09
-0.00026129,3.0657e-05,-1e-09
-0.00025576,3.2318e-05,-1e-09
-0.00025176,3.3272e-05,-1e-09
-0.00026814,2.861e-05,-1e-09
-0.00027174,2.754e-05,-1e-09
-0.00027624,2.6182e-05,-1e-09
-0.00028219,2.4361e-05,-1e-09
-0.00029212,2.1007e-05,-1e-09
-0.00029264,2.0781e-05,-1e-09
-0.00029097,2.1545e-05,-1e-09
-0.00028429,2.3707e-05,-1e-09
-0.00029939,1.7731e-05,-1e-09
-0.00030309,1.575e-05,-1e-09
-0.00031298,1.0191e-05,-1e-09
-0.00031354,9.3896e-06,-1e-09
-0.00031251,1.0773e-05,-1e-09
-0.00030641,1.4188e-05,-1e-09
-0.00031752,4.1006e-06,-1e-09
3.1351e-05,-1.8338e-05,-1e-09
3.3153e-05,-1.2629e-05,-1e-09
3.3665e-05,-1.0773e-05,-1e-09
3.4728e-05,-3.4808e-06,-1e-09
3.5181e-05,1.7347e-18,-1e-09
2.09e-05,-3.7278e-05,-1e-09
2.2973e-05,-3.4455e-05,-1e-09
2.4435e-05,-3.2318e-05,-1e-09
2.6898e-05,-2.7728e-05,-1e-09
3.0189e-05,-2.1545e-05,-1e-09
3.0493e-05,-2.066e-05,-1e-09
3.4029e-05,8.0124e-06,-1e-09
3.3665e-05,1.0773e-05,-1e-09
3.1351e-05,1.8338e-05,-1e-09
3.0189e-05,2.1545e-05,-1e-09
2.8759e-05,2.4217e-05,-1e-09
2.4435e-05,3.2318e-05,-1e-09
2.09e-05,3.7278e-05,-1e-09
-3.1357e-05,-6.56e-05,-1e-09
-3.0568e-05,-6.5449e-05,-1e-09
-2.578e-05,-6.4635e-05,-1e-09
-4.1808e-05,-6.5847e-05,-1e-09
-4.0703e-05,-6.5775e-05,-1e-09
1.0449e-05,-4.8024e-05,-1e-09
1.3218e-05,-4.5945e-05,-1e-09
1.6102e-05,-4.309e-05,-1e-09
1.8556e-05,-4.0674e-05,-1e-09
2.09e-05,-3.7278e-05,-1e-09
-2.7778e-09,-5.4807e-05,-1e-09
5.7746e-07,-5.4461e-05,-1e-09
1.5353e-06,-5.3863e-05,-1e-09
7.2082e-06,-5.0523e-05,-1e-09
-1.0454e-05,-5.9992e-05,-1e-09
-6.4008e-06,-5.8041e-05,-1e-09
-2.0906e-05,-6.3687e-05,-1e-09
-1.3765e-05,-6.1223e-05,-1e-09
-2.1662e-05,-6.3855e-05,-1e-09
-5.226e-05,-6.6185e-05,-1e-09
-5.0802e-05,-6.6138e-05,-1e-09
-6.2711e-05,-6.5963e-05,-1e-09
-6.1407e-05,-6.5979e-05,-1e-09
-7.3162e-05,-6.5278e-05,-1e-09
-7.2507e-05,-6.5311e-05,-1e-09
-7.957e-05,-6.4635e-05,-1e-09
-8.3614e-05,-6.424e-05,-1e-09
-9.4065e-05,-6.2933e-05,-1e-09
-8.4069e-05,-6.4167e-05,-1e-09
-9.6037e-05,-6.2603e-05,-1e-09
