"Points:0","Points:1","Points:2"
-0.01211943,0,-0.00353569
-0.01254194,0,-0.003548302
-0.01149681,0,-0.00353326
-0.0131716,0,-0.003531977
-0.01358708,0,-0.003533303
-0.01427064,0,-0.003503499
-0.01463222,0,-0.003498783
-0.01539228,0,-0.003463092
-0.01567736,0,-0.003458326
-0.01649757,0,-0.003431317
-0.0167225,0,-0.00343014
-0.0177123,0,-0.003341732
-0.01776764,0,-0.003338374
-0.01806852,0,-0.0033125
-0.01881278,0,-0.003232062
-0.01900198,0,-0.003212555
-0.01985792,0,-0.003125387
-0.02029482,0,-0.003081712
-0.02090306,0,-0.003020768
-0.02158072,0,-0.002954533
-0.02194819,0,-0.002916889
-0.02286297,0,-0.00282928
-0.02299333,0,-0.002815249
-0.02348085,0,-0.002760417
-0.02403847,0,-0.002678966
-0.02425894,0,-0.002643957
-0.02508361,0,-0.002522279
-0.02573403,0,-0.002416838
-0.02612875,0,-0.002357163
-0.02701098,0,-0.002208333
-0.02717389,0,-0.002175501
-0.02727567,0,-0.00215457
-0.02821903,0,-0.001959455
-0.02902002,0,-0.001785219
-0.02926417,0,-0.001732212
-0.02956389,0,-0.00165625
-0.03030931,0,-0.001397675
-0.03104655,0,-0.001104167
-0.03135444,0,-0.0008883842
-0.03180827,0,-0.0005520833
-0.03193601,0,-0.0002448768
-0.03201666,0,5.551115e-17
0.003268134,0,-0.0006223366
0.003135139,0,-0.000745254
0.003330732,0,-0.0005520833
0.003462281,0,-0.0001728092
0.003518151,0,5.551115e-17
0.002401607,0,-0.00126877
0.00209,0,-0.00142374
0.002693584,0,-0.001104167
0.002869556,0,-0.0009638752
0.001302387,0,-0.001792285
0.001044861,0,-0.001871977
0.001623785,0,-0.00165625
0.001882187,0,-0.001546475
0.00209,0,-0.00142374
0.0006599011,0,-0.002004982
-2.777778e-07,0,-0.002178229
-0.0007464985,0,-0.002366234
-0.001045417,0,-0.002430072
-0.0001251834,0,-0.002208333
-3.726107e-05,0,-0.002188797
-0.001489436,0,-0.002525868
-0.002090556,0,-0.002636621
-0.003055337,0,-0.002802865
-0.003135694,0,-0.002822666
-0.00286947,0,-0.002760417
-0.00226564,0,-0.00266793
-0.003818463,0,-0.002951835
-0.004180833,0,-0.003027565
-0.007198726,0,-0.003374581
-0.00731625,0,-0.003388537
-0.006459617,0,-0.0033125
-0.008131596,0,-0.003433886
-0.008361389,0,-0.003456722
-0.009107617,0,-0.003470397
-0.009406528,0,-0.003492148
-0.01015682,0,-0.003468249
-0.01045167,0,-0.003478571
-0.00457922,0,-0.003102056
-0.005225972,0,-0.003184812
-0.005422372,0,-0.003208754
-0.006271111,0,-0.003297482
-0.006295988,0,-0.003299359
-0.01112511,0,-0.003508842
