x,y
0.6813908,0.0
0.6823524,-0.00137069
0.6826547,-0.001803003
0.6833371,-0.00274138
0.6839828,-0.003632695
0.6843293,-0.00411207
0.685311,-0.005203396
0.6855615,-0.00548276
0.6866391,-0.005983249
0.6879672,-0.006602942
0.6885216,-0.00685345
0.6892954,-0.007204156
0.6906235,-0.007808914
0.6915308,-0.00822414
0.6919516,-0.008417273
0.6932797,-0.009029294
0.6945378,-0.00959483
0.6946079,-0.009621899
0.695936,-0.01013623
0.6972641,-0.01065324
0.6980629,-0.01096552
0.6985922,-0.01110965
0.6999204,-0.0114628
0.7012485,-0.01181721
0.7025766,-0.01217291
0.7031847,-0.01233621
0.7039047,-0.0125299
0.7052328,-0.01288045
0.7065609,-0.01323244
0.7078891,-0.01358589
0.7083426,-0.0137069
0.7092172,-0.01394078
0.7105453,-0.01429073
0.7118734,-0.01464223
0.7132015,-0.01499531
0.7135102,-0.01507759
0.7145297,-0.01531319
0.7158578,-0.01561632
0.7171859,-0.01592027
0.718514,-0.01622505
0.7194844,-0.01644828
0.7198421,-0.01651512
0.7211703,-0.01676053
0.7224984,-0.01700617
0.7238265,-0.01725205
0.7251546,-0.01749817
0.7264827,-0.01774248
0.7268983,-0.01781897
0.7278109,-0.0179871
0.729139,-0.01823201
0.7304671,-0.01847723
0.7317953,-0.01872151
0.7331234,-0.01896611
0.7343355,-0.01918966
0.7344515,-0.01921106
0.7357796,-0.01945634
0.7371078,-0.01970139
0.7384359,-0.01994675
0.739764,-0.02019242
0.7410921,-0.0204384
0.7417501,-0.02056035
0.7424203,-0.02066787
0.7437484,-0.02088077
0.7450765,-0.02109341
0.7464046,-0.02130578
0.7477327,-0.02151839
0.7490609,-0.02173071
0.7503158,-0.02193104
0.750389,-0.02194127
0.7517171,-0.02212665
0.7530452,-0.02231222
0.7543733,-0.02249728
0.7557015,-0.02268186
0.7570296,-0.02286593
0.7583577,-0.02305081
0.7596858,-0.02323517
0.7601662,-0.02330173
0.7610139,-0.02341901
0.7623421,-0.02360233
0.7636702,-0.02378679
0.7649983,-0.02397068
0.7663264,-0.02415401
0.7676545,-0.02433678
0.7689826,-0.02452103
0.7700775,-0.02467242
0.7703108,-0.02470462
0.7716389,-0.02488754
0.772967,-0.0250698
0.7742952,-0.02525369
0.7756233,-0.0254368
0.7769514,-0.02561911
0.7782795,-0.02580063
0.7796077,-0.0259839
0.7800382,-0.02604311
0.7809358,-0.0261499
0.7822639,-0.02630703
0.783592,-0.02646312
0.7849202,-0.02662021
0.7862483,-0.02677617
0.7875764,-0.02693099
0.7889045,-0.02708469
0.7902327,-0.02723968
0.7915608,-0.02739342
0.7917376,-0.0274138
0.7928889,-0.02753579
0.794217,-0.02767544
0.7955451,-0.0278163
0.7968732,-0.02795592
0.7982014,-0.02809433
0.7995295,-0.02823153
0.8008576,-0.02836984
0.8021857,-0.02850685
0.8035138,-0.02864259
0.804842,-0.02877708
0.8049142,-0.02878449
0.8061701,-0.02891273
0.8074982,-0.029047
0.8088263,-0.0291799
0.8101544,-0.02931144
0.8114826,-0.02944399
0.8128107,-0.02957501
0.8141388,-0.02970455
0.8154669,-0.02983263
0.8167951,-0.0299614
0.8181232,-0.03008858
0.8188255,-0.03015518
0.8194513,-0.03021416
0.8207794,-0.0303382
0.8221076,-0.03046251
0.8234357,-0.03058513
0.8247638,-0.03070607
0.8260919,-0.03082539
0.8274201,-0.03094422
0.8287482,-0.03106124
0.8300763,-0.03117648
0.8314044,-0.03128998
0.8327326,-0.03140229
0.8340607,-0.03151267
0.8342209,-0.03152587
0.8353888,-0.03161177
0.8367169,-0.0317081
0.838045,-0.03180318
0.8393732,-0.03189674
0.8407013,-0.03198881
0.8420294,-0.03207943
0.8433575,-0.03216819
0.8446856,-0.03225544
0.8460138,-0.03234124
0.8473419,-0.03242559
0.84867,-0.03250735
0.8499981,-0.03258765
0.8513262,-0.03266651
0.8526543,-0.03274399
0.8539825,-0.03281794
0.8553106,-0.03289049
0.8554228,-0.03289656
0.8566387,-0.03296009
0.8579668,-0.03302833
0.859295,-0.03309261
0.8606231,-0.03315571
0.8619512,-0.03321768
0.8632793,-0.03327854
0.8646075,-0.03333459
0.8659356,-0.03338958
0.8672637,-0.03344354
0.8685918,-0.03349651
0.86992,-0.0335437
0.8712481,-0.03358996
0.8725762,-0.03363534
0.8739043,-0.03367985
0.8752325,-0.0337176
0.8765606,-0.03375458
0.8778887,-0.03379083
0.8792168,-0.03382636
0.8805449,-0.033854
0.8818731,-0.03388106
0.8832012,-0.03390757
0.8845293,-0.03393355
0.8858574,-0.03395046
0.8871855,-0.03396701
0.8885137,-0.03398322
0.8898418,-0.0339991
0.8911699,-0.0340047
0.892498,-0.03401018
0.8938261,-0.03401554
0.8951543,-0.0340208
0.8964824,-0.03401453
0.8978105,-0.03400838
0.8991386,-0.03400234
0.9004667,-0.03399643
0.9017949,-0.0339777
0.903123,-0.03395932
0.9044511,-0.03394129
0.9057792,-0.0339236
0.9071074,-0.03389179
0.9084355,-0.03386053
0.9097636,-0.03382985
0.9110917,-0.03379972
0.9124199,-0.0337541
0.913748,-0.03370923
0.9150761,-0.03366513
0.9164042,-0.03362178
0.9177324,-0.03356157
0.9190605,-0.03350228
0.9203886,-0.03344393
0.9217167,-0.03338647
0.9230449,-0.03331089
0.924373,-0.03323635
0.9257011,-0.03316288
0.9270292,-0.03309043
0.9283573,-0.03299841
0.9296855,-0.03290749
0.9298462,-0.03289656
0.9310136,-0.03282085
0.9323417,-0.03273589
0.9336698,-0.0326311
0.9349979,-0.03252758
0.936326,-0.03242533
0.9376542,-0.03232434
0.9389823,-0.03220212
0.9403104,-0.03208108
0.9416385,-0.03196124
0.9429666,-0.03184257
0.9442948,-0.03170155
0.9456229,-0.03156152
0.9459625,-0.03152587
0.946951,-0.03143547
0.9482791,-0.03131502
0.9496073,-0.03117473
0.9509354,-0.03103504
0.9522635,-0.03089597
0.9535916,-0.03075754
0.9549198,-0.03059779
0.9562479,-0.03043788
0.957576,-0.03027784
0.9585934,-0.03015518
0.9589041,-0.03011769
0.9602323,-0.02993435
0.9615604,-0.02975008
0.9628885,-0.02956489
0.9642166,-0.02937878
0.9655448,-0.02916829
0.9668729,-0.02895588
0.967936,-0.02878449
0.968201,-0.02874157
0.9695291,-0.02852531
0.9708572,-0.02828487
0.9721854,-0.02804171
0.9735135,-0.02779585
0.9748416,-0.02754721
0.975498,-0.0274138
0.9761697,-0.02729013
0.9774978,-0.02704307
0.978826,-0.0267926
0.9801541,-0.02653867
0.9814822,-0.02626322
0.9825268,-0.02604311
0.9828103,-0.02599051
0.9841384,-0.02574006
0.9854666,-0.02548266
0.9867947,-0.02520476
0.9881228,-0.02491698
0.9892156,-0.02467242
0.9894509,-0.02461879
0.990779,-0.02430962
0.9921072,-0.02398008
0.9934353,-0.0236381
0.9946945,-0.02330173
0.9947634,-0.02328297
0.9960915,-0.0229139
0.9974197,-0.02253381
0.9987478,-0.02214194
0.999446,-0.02193104
1.000076,-0.02175846
1.001404,-0.02138332
1.002732,-0.02100206
1.00406,-0.02060369
1.004201,-0.02056035
1.005388,-0.02021077
1.006716,-0.0197935
1.008045,-0.01936553
1.008566,-0.01918966
1.009373,-0.01890848
1.010701,-0.01841923
1.012029,-0.01789432
1.012229,-0.01781897
1.013357,-0.01738629
1.014685,-0.01685738
1.015676,-0.01644828
1.016013,-0.01631053
1.017341,-0.01573993
1.01867,-0.01519198
1.018937,-0.01507759
1.019998,-0.01459688
1.021326,-0.01393841
1.021762,-0.0137069
1.022654,-0.01320717
1.023982,-0.01251946
1.024328,-0.01233621
1.02531,-0.01180648
1.026638,-0.01106656
1.026816,-0.01096552
1.027966,-0.01011262
1.028701,-0.00959483
1.029295,-0.009121606
1.030382,-0.00822414
1.030623,-0.00801966
1.031951,-0.00685345
1.031951,-0.006853878
1.033279,-0.005618551
1.03343,-0.00548276
1.034094,-0.00411207
1.034607,-0.002804069
1.034632,-0.00274138
1.035167,-0.00137069
1.0357,0.0
