"uh","Points:0","Points:1","Points:2"
29.407,-1,0,0
29.432,-0.99687,1.7347e-19,0
29.432,-0.99687,0,0
29.507,-0.99375,1.7347e-19,0
29.507,-0.99375,0,0
29.632,-0.99063,1.7347e-19,0
29.632,-0.99063,0,0
29.81,-0.9875,1.7347e-19,0
29.81,-0.9875,0,0
30.041,-0.98438,-4.2501e-17,0
nan,-0.98438,-4.2501e-17,0
nan,-0.9875,0,0
29.81,-0.9875,0,0
30.041,-0.98438,0,0
30.041,-0.98438,0,0
30.329,-0.98125,0,0
30.329,-0.98125,0,0
30.675,-0.97812,0,0
30.675,-0.97812,0,0
31.084,-0.975,1.7347e-19,0
31.084,-0.975,0,0
31.559,-0.97188,0,0
31.559,-0.97188,0,0
32.105,-0.96875,0,0
nan,-0.96875,0,0
nan,-0.97188,0,0
31.559,-0.97188,0,0
32.105,-0.96875,-4.2501e-17,0
32.105,-0.96875,0,0
32.726,-0.96562,0,0
32.726,-0.96562,0,0
33.429,-0.9625,1.7347e-19,0
33.429,-0.9625,0,0
34.221,-0.95938,0,0
34.221,-0.95938,0,0
35.108,-0.95625,1.7347e-19,0
35.108,-0.95625,0,0
36.098,-0.95312,0,0
nan,-0.95312,0,0
nan,-0.95625,0,0
35.108,-0.95625,0,0
36.098,-0.95312,-4.2501e-17,0
36.098,-0.95312,0,0
37.201,-0.95,1.7347e-19,0
37.201,-0.95,0,0
38.425,-0.94687,1.7347e-19,0
38.425,-0.94687,0,0
39.782,-0.94375,0,0
39.782,-0.94375,0,0
41.282,-0.94063,1.7347e-19,0
41.282,-0.94063,0,0
42.938,-0.9375,-4.2501e-17,0
nan,-0.9375,-4.2501e-17,0
nan,-0.94063,0,0
41.282,-0.94063,0,0
42.938,-0.9375,0,0
42.938,-0.9375,0,0
44.763,-0.93437,0,0
44.763,-0.93437,0,0
46.77,-0.93125,0,0
46.77,-0.93125,0,0
48.975,-0.92813,1.7347e-19,0
48.975,-0.92813,0,0
51.394,-0.925,0,0
51.394,-0.925,0,0
54.044,-0.92188,-4.2501e-17,0
nan,-0.92188,-4.2501e-17,0
nan,-0.925,0,0
51.394,-0.925,0,0
54.044,-0.92188,0,0
54.044,-0.92188,0,0
56.941,-0.91875,0,0
56.941,-0.91875,-9.6296e-35,0
60.106,-0.91562,4.3368e-19,0
nan,-0.91562,4.3368e-19,0
nan,-0.91875,0,0
56.941,-0.91875,0,0
60.106,-0.91562,1.7347e-19,0
60.106,-0.91562,-9.6296e-35,0
63.558,-0.9125,4.3802e-17,0
nan,-0.9125,4.3802e-17,0
nan,-0.91562,0,0
60.106,-0.91562,0,0
63.558,-0.9125,-5.2042e-19,0
63.558,-0.9125,0,0
67.316,-0.90938,4.4669e-17,0
67.316,-0.90938,-9.6296e-35,0
71.402,-0.90625,4.3368e-19,0
71.402,-0.90625,0,0
75.839,-0.90312,0,0
nan,-0.90312,0,0
nan,-0.90625,-9.6296e-35,0
71.402,-0.90625,-9.6296e-35,0
75.839,-0.90312,4.5536e-17,0
75.839,-0.90312,-9.6296e-35,0
80.647,-0.9,4.3368e-19,0
80.647,-0.9,-9.6296e-35,0
85.85,-0.89688,4.5536e-17,0
85.85,-0.89688,-9.6296e-35,0
91.47,-0.89375,4.4669e-17,0
91.47,-0.89375,0,0
97.532,-0.89062,0,0
97.532,-0.89062,0,0
104.06,-0.8875,0,0
nan,-0.8875,0,0
nan,-0.89062,-9.6296e-35,0
97.532,-0.89062,-9.6296e-35,0
104.06,-0.8875,4.5536e-17,0
104.06,-0.8875,0,0
111.07,-0.88437,0,0
111.07,-0.88437,-9.6296e-35,0
118.59,-0.88125,4.5536e-17,0
118.59,-0.88125,0,0
126.64,-0.87813,0,0
126.64,-0.87813,-9.6296e-35,0
135.25,-0.875,4.3368e-19,0
135.25,-0.875,-9.6296e-35,0
144.42,-0.87187,4.5536e-17,0
nan,-0.87187,4.5536e-17,0
nan,-0.875,0,0
135.25,-0.875,0,0
144.42,-0.87187,0,0
144.42,-0.87187,0,0
154.19,-0.86875,0,0
154.19,-0.86875,0,0
164.55,-0.86563,0,0
164.55,-0.86563,-9.6296e-35,0
175.54,-0.8625,4.4669e-17,0
175.54,-0.8625,0,0
187.15,-0.85938,0,0
187.15,-0.85938,-9.6296e-35,0
199.41,-0.85625,4.5536e-17,0
nan,-0.85625,4.5536e-17,0
nan,-0.85938,0,0
187.15,-0.85938,0,0
199.41,-0.85625,0,0
199.41,-0.85625,0,0
212.31,-0.85312,0,0
212.31,-0.85312,-9.6296e-35,0
225.86,-0.85,4.5536e-17,0
225.86,-0.85,0,0
240.05,-0.84688,0,0
240.05,-0.84688,-9.6296e-35,0
254.88,-0.84375,4.3368e-19,0
254.88,-0.84375,0,0
270.35,-0.84062,0,0
nan,-0.84062,0,0
nan,-0.84375,-9.6296e-35,0
254.88,-0.84375,-9.6296e-35,0
270.35,-0.84062,4.5536e-17,0
270.35,-0.84062,-9.6296e-35,0
286.44,-0.8375,4.3368e-19,0
286.44,-0.8375,0,0
303.13,-0.83438,0,0
303.13,-0.83438,-9.6296e-35,0
320.41,-0.83125,4.4669e-17,0
320.41,-0.83125,0,0
338.24,-0.82812,0,0
338.24,-0.82812,0,0
356.61,-0.825,0,0
nan,-0.825,0,0
nan,-0.82812,-9.6296e-35,0
338.24,-0.82812,-9.6296e-35,0
356.61,-0.825,4.5536e-17,0
356.61,-0.825,0,0
375.47,-0.82187,0,0
375.47,-0.82187,-9.6296e-35,0
394.79,-0.81875,4.5536e-17,0
394.79,-0.81875,0,0
414.53,-0.81563,0,0
414.53,-0.81563,0,0
