"uh","Points:0","Points:1","Points:2"
nan,-1,0,0
nan,-0.15313,0,0
1342.2,-0.15313,0,0
1325.5,-0.15,0,0
1325.5,-0.15,0,0
1313.9,-0.14687,4.4235e-17,0
1313.9,-0.14687,0,0
1306.4,-0.14375,0,0
1306.4,-0.14375,0,0
1302.6,-0.14062,0,0
1302.6,-0.14062,0,0
1301.6,-0.1375,4.4235e-17,0
1301.6,-0.1375,0,0
1303.1,-0.13438,4.4235e-17,0
1303.1,-0.13438,0,0
1306.5,-0.13125,4.4235e-17,0
1306.5,-0.13125,0,0
1311.5,-0.12812,0,0
1311.5,-0.12812,0,0
1317.5,-0.125,0,0
1317.5,-0.125,0,0
1324.4,-0.12188,4.5103e-17,0
1324.4,-0.12188,0,0
1331.9,-0.11875,4.4235e-17,0
1331.9,-0.11875,0,0
1339.7,-0.11563,4.4235e-17,0
1339.7,-0.11563,0,0
1347.6,-0.1125,0,0
1347.6,-0.1125,0,0
1355.5,-0.10938,0,0
1355.5,-0.10938,0,0
1363.3,-0.10625,4.5103e-17,0
1363.3,-0.10625,0,0
1370.8,-0.10312,0,0
1370.8,-0.10312,0,0
1378.2,-0.1,0,0
1378.2,-0.1,0,0
1385.2,-0.096875,0,0
1385.2,-0.096875,0,0
1391.8,-0.09375,0,0
1391.8,-0.09375,0,0
1398.2,-0.090625,0,0
1398.2,-0.090625,0,0
1404.2,-0.0875,0,0
1404.2,-0.0875,0,0
1409.8,-0.084375,4.5103e-17,0
1409.8,-0.084375,0,0
1415.2,-0.08125,4.4235e-17,0
1415.2,-0.08125,0,0
1420.3,-0.078125,0,0
1420.3,-0.078125,0,0
1425.2,-0.075,0,0
1425.2,-0.075,0,0
1429.8,-0.071875,4.4235e-17,0
1429.8,-0.071875,0,0
1434.3,-0.06875,0,0
1434.3,-0.06875,0,0
1438.5,-0.065625,4.4235e-17,0
1438.5,-0.065625,0,0
1442.7,-0.0625,0,0
1442.7,-0.0625,0,0
1446.7,-0.059375,0,0
1446.7,-0.059375,0,0
1450.6,-0.05625,4.4235e-17,0
1450.6,-0.05625,0,0
1454.5,-0.053125,4.4235e-17,0
1454.5,-0.053125,0,0
1458.3,-0.05,0,0
1458.3,-0.05,0,0
1462.1,-0.046875,0,0
1462.1,-0.046875,0,0
1465.8,-0.04375,4.4235e-17,0
1465.8,-0.04375,0,0
1469.5,-0.040625,0,0
1469.5,-0.040625,0,0
1473.2,-0.0375,0,0
1473.2,-0.0375,0,0
1476.9,-0.034375,4.5103e-17,0
1476.9,-0.034375,0,0
1480.6,-0.03125,0,0
1480.6,-0.03125,0,0
1484.3,-0.028125,4.4235e-17,0
1484.3,-0.028125,0,0
1488,-0.025,4.4235e-17,0
1488,-0.025,0,0
1491.8,-0.021875,4.4235e-17,0
1491.8,-0.021875,0,0
1495.5,-0.01875,0,0
1495.5,-0.01875,0,0
1499.3,-0.015625,0,0
1499.3,-0.015625,0,0
1503.1,-0.0125,0,0
1503.1,-0.0125,0,0
1507,-0.009375,0,0
1507,-0.009375,0,0
1510.8,-0.00625,4.4235e-17,0
1510.8,-0.00625,0,0
1514.7,-0.003125,0,0
1514.7,-0.003125,0,0
1518.6,0,0,0
1518.6,-5.2042e-19,0,0
1522.6,0.003125,4.4235e-17,0
1522.6,0.003125,0,0
1526.6,0.00625,4.4235e-17,0
1526.6,0.00625,0,0
1530.6,0.009375,4.4235e-17,0
1530.6,0.009375,0,0
1534.6,0.0125,4.4235e-17,0
1534.6,0.0125,0,0
1538.7,0.015625,0,0
1538.7,0.015625,0,0
1542.8,0.01875,0,0
1542.8,0.01875,0,0
1546.9,0.021875,4.5103e-17,0
1546.9,0.021875,0,0
1551.1,0.025,4.4235e-17,0
1551.1,0.025,0,0
1555.3,0.028125,0,0
1555.3,0.028125,0,0
1559.6,0.03125,2.6021e-19,0
1559.6,0.03125,0,0
1563.9,0.034375,0,0
1563.9,0.034375,0,0
1568.2,0.0375,0,0
1568.2,0.0375,4.3368e-19,0
1572.5,0.040625,2.6021e-19,0
1572.5,0.040625,0,0
1576.9,0.04375,0,0
1576.9,0.04375,0,0
1581.3,0.046875,0,0
1581.3,0.046875,4.3368e-19,0
1585.8,0.05,2.6021e-19,0
1585.8,0.05,0,0
1590.3,0.053125,0,0
1590.3,0.053125,0,0
1594.8,0.05625,0,0
1594.8,0.05625,0,0
1599.4,0.059375,0,0
1599.4,0.059375,4.3368e-19,0
1604,0.0625,2.6021e-19,0
1604,0.0625,0,0
1608.7,0.065625,0,0
1608.7,0.065625,0,0
1613.4,0.06875,0,0
1613.4,0.06875,4.3368e-19,0
1618.2,0.071875,2.6021e-19,0
1618.2,0.071875,4.3368e-19,0
1622.9,0.075,2.6021e-19,0
1622.9,0.075,0,0
1627.8,0.078125,0,0
1627.8,0.078125,4.3368e-19,0
1632.6,0.08125,2.6021e-19,0
1632.6,0.08125,0,0
1637.6,0.084375,0,0
1637.6,0.084375,4.3368e-19,0
1642.5,0.0875,2.6021e-19,0
1642.5,0.0875,0,0
1647.5,0.090625,0,0
1647.5,0.090625,0,0
1652.6,0.09375,0,0
1652.6,0.09375,4.3368e-19,0
1657.7,0.096875,2.6021e-19,0
1657.7,0.096875,4.3368e-19,0
1662.9,0.1,2.6021e-19,0
1662.9,0.1,0,0
1668.1,0.10312,0,0
1668.1,0.10312,4.3368e-19,0
1673.3,0.10625,2.6021e-19,0
1673.3,0.10625,4.3368e-19,0
1678.6,0.10938,2.6021e-19,0
1678.6,0.10938,0,0
1684,0.1125,0,0
1684,0.1125,0,0
1689.4,0.11563,0,0
1689.4,0.11563,0,0
1694.8,0.11875,0,0
1694.8,0.11875,4.3368e-19,0
1700.3,0.12188,2.6021e-19,0
1700.3,0.12188,4.3368e-19,0
1705.9,0.125,2.6021e-19,0
1705.9,0.125,0,0
1711.5,0.12812,0,0
1711.5,0.12812,4.3368e-19,0
1717.2,0.13125,2.6021e-19,0
1717.2,0.13125,0,0
1723,0.13438,0,0
1723,0.13438,0,0
1728.8,0.1375,0,0
1728.8,0.1375,0,0
1734.6,0.14062,0,0
1734.6,0.14062,4.3368e-19,0
1740.5,0.14375,2.6021e-19,0
1740.5,0.14375,4.3368e-19,0
1746.5,0.14687,2.6021e-19,0
1746.5,0.14687,4.3368e-19,0
1752.5,0.15,2.6021e-19,0
1752.5,0.15,4.3368e-19,0
1758.6,0.15313,2.6021e-19,0
1758.6,0.15313,4.3368e-19,0
1764.8,0.15625,2.6021e-19,0
1764.8,0.15625,4.3368e-19,0
1771,0.15937,2.6021e-19,0
1771,0.15937,0,0
1777.3,0.1625,0,0
1777.3,0.1625,0,0
1783.7,0.16563,0,0
1783.7,0.16563,0,0
1790.2,0.16875,0,0
