"uh","Points:0","Points:1","Points:2"
29.462,-1,0,0
29.487,-0.99687,1.7347e-19,0
29.487,-0.99687,0,0
29.562,-0.99375,0,0
29.562,-0.99375,0,0
29.688,-0.99063,0,0
29.688,-0.99063,0,0
29.866,-0.9875,1.7347e-19,0
29.866,-0.9875,0,0
30.097,-0.98438,-4.2501e-17,0
nan,-0.98438,-4.2501e-17,0
nan,-0.9875,0,0
29.866,-0.9875,0,0
30.097,-0.98438,0,0
30.097,-0.98438,0,0
30.385,-0.98125,1.7347e-19,0
30.385,-0.98125,0,0
30.731,-0.97812,1.7347e-19,0
30.731,-0.97812,0,0
31.14,-0.975,1.7347e-19,0
31.14,-0.975,0,0
31.615,-0.97188,0,0
31.615,-0.97188,0,0
32.16,-0.96875,-4.2501e-17,0
nan,-0.96875,-4.2501e-17,0
nan,-0.97188,0,0
31.615,-0.97188,0,0
32.16,-0.96875,0,0
32.16,-0.96875,0,0
32.781,-0.96562,0,0
32.781,-0.96562,0,0
33.484,-0.9625,0,0
33.484,-0.9625,0,0
34.275,-0.95938,0,0
34.275,-0.95938,0,0
35.161,-0.95625,1.7347e-19,0
35.161,-0.95625,0,0
36.151,-0.95312,0,0
nan,-0.95312,0,0
nan,-0.95625,0,0
35.161,-0.95625,0,0
36.151,-0.95312,-4.2501e-17,0
36.151,-0.95312,0,0
37.253,-0.95,1.7347e-19,0
37.253,-0.95,0,0
38.476,-0.94687,0,0
38.476,-0.94687,0,0
39.831,-0.94375,0,0
39.831,-0.94375,0,0
41.33,-0.94063,0,0
41.33,-0.94063,0,0
42.985,-0.9375,0,0
nan,-0.9375,0,0
nan,-0.94063,0,0
41.33,-0.94063,0,0
42.985,-0.9375,-4.2501e-17,0
42.985,-0.9375,0,0
44.808,-0.93437,0,0
44.808,-0.93437,0,0
46.814,-0.93125,1.7347e-19,0
46.814,-0.93125,0,0
49.018,-0.92813,0,0
49.018,-0.92813,0,0
51.436,-0.925,0,0
51.436,-0.925,0,0
54.084,-0.92188,0,0
nan,-0.92188,0,0
nan,-0.925,0,0
51.436,-0.925,0,0
54.084,-0.92188,-4.2501e-17,0
54.084,-0.92188,0,0
56.98,-0.91875,1.7347e-19,0
56.98,-0.91875,-9.6296e-35,0
60.144,-0.91562,4.3368e-19,0
nan,-0.91562,4.3368e-19,0
nan,-0.91875,0,0
56.98,-0.91875,0,0
60.144,-0.91562,1.7347e-19,0
