"uh","Points:0","Points:1","Points:2"
nan,-1,0,0
nan,-0.15313,0,0
1339,-0.15313,0,0
1322.7,-0.15,0,0
1322.7,-0.15,0,0
1311.4,-0.14687,4.4235e-17,0
1311.4,-0.14687,0,0
1304.3,-0.14375,0,0
1304.3,-0.14375,0,0
1300.7,-0.14062,0,0
1300.7,-0.14062,0,0
1300,-0.1375,4.4235e-17,0
1300,-0.1375,0,0
1301.7,-0.13438,4.4235e-17,0
1301.7,-0.13438,0,0
1305.3,-0.13125,4.4235e-17,0
1305.3,-0.13125,0,0
1310.3,-0.12812,0,0
1310.3,-0.12812,0,0
1316.4,-0.125,0,0
1316.4,-0.125,0,0
1323.3,-0.12188,4.5103e-17,0
1323.3,-0.12188,0,0
1330.7,-0.11875,4.4235e-17,0
1330.7,-0.11875,0,0
1338.5,-0.11563,4.4235e-17,0
1338.5,-0.11563,0,0
1346.3,-0.1125,0,0
1346.3,-0.1125,0,0
1354.1,-0.10938,0,0
1354.1,-0.10938,0,0
1361.7,-0.10625,4.5103e-17,0
1361.7,-0.10625,0,0
1369.2,-0.10312,0,0
1369.2,-0.10312,0,0
1376.3,-0.1,0,0
1376.3,-0.1,0,0
1383.2,-0.096875,0,0
1383.2,-0.096875,0,0
1389.7,-0.09375,0,0
1389.7,-0.09375,0,0
1395.9,-0.090625,0,0
1395.9,-0.090625,0,0
1401.8,-0.0875,0,0
1401.8,-0.0875,0,0
1407.3,-0.084375,4.5103e-17,0
1407.3,-0.084375,0,0
1412.6,-0.08125,4.4235e-17,0
1412.6,-0.08125,0,0
1417.6,-0.078125,0,0
1417.6,-0.078125,0,0
1422.3,-0.075,0,0
1422.3,-0.075,0,0
1426.9,-0.071875,4.4235e-17,0
1426.9,-0.071875,0,0
1431.3,-0.06875,0,0
1431.3,-0.06875,0,0
1435.5,-0.065625,4.4235e-17,0
1435.5,-0.065625,0,0
1439.6,-0.0625,0,0
1439.6,-0.0625,0,0
1443.5,-0.059375,0,0
1443.5,-0.059375,0,0
1447.4,-0.05625,4.4235e-17,0
1447.4,-0.05625,0,0
1451.2,-0.053125,4.4235e-17,0
1451.2,-0.053125,0,0
1455,-0.05,0,0
1455,-0.05,0,0
1458.7,-0.046875,0,0
1458.7,-0.046875,0,0
1462.4,-0.04375,4.4235e-17,0
1462.4,-0.04375,0,0
1466.1,-0.040625,0,0
1466.1,-0.040625,0,0
1469.8,-0.0375,0,0
1469.8,-0.0375,0,0
1473.4,-0.034375,4.5103e-17,0
1473.4,-0.034375,0,0
1477.1,-0.03125,0,0
1477.1,-0.03125,0,0
1480.8,-0.028125,4.4235e-17,0
1480.8,-0.028125,0,0
1484.5,-0.025,4.4235e-17,0
1484.5,-0.025,0,0
1488.2,-0.021875,4.4235e-17,0
1488.2,-0.021875,0,0
1491.9,-0.01875,0,0
1491.9,-0.01875,0,0
1495.7,-0.015625,0,0
1495.7,-0.015625,0,0
1499.4,-0.0125,0,0
1499.4,-0.0125,0,0
1503.2,-0.009375,0,0
1503.2,-0.009375,0,0
1507.1,-0.00625,4.4235e-17,0
1507.1,-0.00625,0,0
1510.9,-0.003125,0,0
1510.9,-0.003125,0,0
1514.8,0,0,0
1514.8,-5.2042e-19,0,0
1518.7,0.003125,4.4235e-17,0
1518.7,0.003125,0,0
1522.6,0.00625,4.4235e-17,0
1522.6,0.00625,0,0
1526.6,0.009375,4.4235e-17,0
1526.6,0.009375,0,0
1530.6,0.0125,4.4235e-17,0
1530.6,0.0125,0,0
1534.6,0.015625,0,0
1534.6,0.015625,0,0
1538.7,0.01875,0,0
1538.7,0.01875,0,0
1542.8,0.021875,4.5103e-17,0
1542.8,0.021875,0,0
1546.9,0.025,4.4235e-17,0
1546.9,0.025,0,0
1551.1,0.028125,0,0
1551.1,0.028125,0,0
1555.3,0.03125,2.6021e-19,0
1555.3,0.03125,0,0
1559.5,0.034375,0,0
1559.5,0.034375,0,0
1563.8,0.0375,0,0
1563.8,0.0375,4.3368e-19,0
1568.1,0.040625,2.6021e-19,0
1568.1,0.040625,0,0
1572.4,0.04375,0,0
1572.4,0.04375,0,0
1576.8,0.046875,0,0
1576.8,0.046875,4.3368e-19,0
1581.2,0.05,2.6021e-19,0
1581.2,0.05,0,0
1585.7,0.053125,0,0
1585.7,0.053125,0,0
1590.2,0.05625,0,0
1590.2,0.05625,0,0
1594.7,0.059375,0,0
1594.7,0.059375,4.3368e-19,0
1599.2,0.0625,2.6021e-19,0
1599.2,0.0625,0,0
1603.8,0.065625,0,0
1603.8,0.065625,0,0
1608.5,0.06875,0,0
1608.5,0.06875,4.3368e-19,0
1613.2,0.071875,2.6021e-19,0
1613.2,0.071875,4.3368e-19,0
1617.9,0.075,2.6021e-19,0
1617.9,0.075,0,0
1622.7,0.078125,0,0
1622.7,0.078125,4.3368e-19,0
1627.5,0.08125,2.6021e-19,0
1627.5,0.08125,0,0
1632.3,0.084375,0,0
1632.3,0.084375,4.3368e-19,0
1637.2,0.0875,2.6021e-19,0
1637.2,0.0875,0,0
1642.2,0.090625,0,0
1642.2,0.090625,0,0
1647.2,0.09375,0,0
1647.2,0.09375,4.3368e-19,0
1652.2,0.096875,2.6021e-19,0
1652.2,0.096875,4.3368e-19,0
1657.3,0.1,2.6021e-19,0
1657.3,0.1,0,0
1662.4,0.10312,0,0
1662.4,0.10312,4.3368e-19,0
1667.6,0.10625,2.6021e-19,0
1667.6,0.10625,4.3368e-19,0
1672.8,0.10938,2.6021e-19,0
1672.8,0.10938,0,0
1678.1,0.1125,0,0
1678.1,0.1125,0,0
1683.4,0.11563,0,0
1683.4,0.11563,0,0
1688.8,0.11875,0,0
1688.8,0.11875,4.3368e-19,0
1694.3,0.12188,2.6021e-19,0
1694.3,0.12188,4.3368e-19,0
1699.7,0.125,2.6021e-19,0
1699.7,0.125,0,0
1705.3,0.12812,0,0
1705.3,0.12812,4.3368e-19,0
1710.9,0.13125,2.6021e-19,0
1710.9,0.13125,0,0
1716.5,0.13438,0,0
1716.5,0.13438,0,0
1722.2,0.1375,0,0
1722.2,0.1375,0,0
1728,0.14062,0,0
1728,0.14062,4.3368e-19,0
1733.8,0.14375,2.6021e-19,0
1733.8,0.14375,4.3368e-19,0
1739.7,0.14687,2.6021e-19,0
1739.7,0.14687,4.3368e-19,0
1745.6,0.15,2.6021e-19,0
1745.6,0.15,4.3368e-19,0
1751.6,0.15313,2.6021e-19,0
1751.6,0.15313,4.3368e-19,0
1757.7,0.15625,2.6021e-19,0
1757.7,0.15625,4.3368e-19,0
1763.8,0.15937,2.6021e-19,0
1763.8,0.15937,0,0
1770,0.1625,0,0
1770,0.1625,0,0
1776.3,0.16563,0,0
1776.3,0.16563,0,0
1782.6,0.16875,0,0
