x,uh
-1.0,29.038
-0.99687,29.061
-0.99375,29.129
-0.99063,29.243
-0.9875,29.404
-0.98438,29.614
-0.98125,29.875
-0.97812,30.189
-0.975,30.56
-0.97188,30.99
-0.96875,31.485
-0.96562,32.049
-0.9625,32.687
-0.95938,33.404
-0.95625,34.209
-0.95312,35.107
-0.95,36.107
-0.94687,37.218
-0.94375,38.45
-0.94063,39.812
-0.9375,41.316
-0.93437,42.975
-0.93125,44.801
-0.92813,46.808
-0.925,49.012
-0.92188,51.428
-0.91875,54.074
-0.91562,56.967
-0.9125,60.125
-0.90938,63.569
-0.90625,67.319
-0.90312,71.395
-0.9,75.82
-0.89688,80.616
-0.89375,85.806
-0.89062,91.413
-0.8875,97.459
-0.88437,103.97
-0.88125,110.97
-0.87813,118.47
-0.875,126.5
-0.87187,135.09
-0.86875,144.25
-0.86563,153.99
-0.8625,164.34
-0.85938,175.31
-0.85625,186.91
-0.85312,199.15
-0.85,212.04
-0.84688,225.57
-0.84375,239.76
-0.84062,254.58
-0.8375,270.04
-0.83438,286.13
-0.83125,302.82
-0.82812,320.1
-0.825,337.93
-0.82187,356.3
-0.81875,375.17
-0.81563,394.5
-0.8125,414.25
-0.80937,434.38
-0.80625,454.84
-0.80313,475.58
-0.8,496.55
-0.79688,517.69
-0.79375,538.95
-0.79062,560.27
-0.7875,581.6
-0.78438,602.87
-0.78125,624.04
-0.77812,645.05
-0.775,665.85
-0.77188,686.38
-0.76875,706.59
-0.76562,726.45
-0.7625,745.91
-0.75937,764.93
-0.75625,783.48
-0.75313,801.52
-0.75,819.03
-0.74687,835.99
-0.74375,852.37
-0.74063,868.17
-0.7375,883.37
-0.73438,897.97
-0.73125,911.97
-0.72812,925.35
-0.725,938.14
-0.72188,950.33
-0.71875,961.94
-0.71562,972.98
-0.7125,983.46
-0.70938,993.39
-0.70625,1002.8
-0.70312,1011.7
-0.7,1020.1
-0.69687,1028.1
-0.69375,1035.6
-0.69063,1042.7
-0.6875,1049.4
-0.68437,1055.7
-0.68125,1061.6
-0.67813,1067.2
-0.675,1072.5
-0.67188,1077.5
-0.66875,1082.2
-0.66562,1086.6
-0.6625,1090.8
-0.65938,1094.8
-0.65625,1098.5
-0.65312,1102.0
-0.65,1105.4
-0.64688,1108.5
-0.64375,1111.5
-0.64062,1114.3
-0.6375,1117.0
-0.63437,1119.5
-0.63125,1121.8
-0.62813,1124.0
-0.625,1126.1
-0.62187,1128.0
-0.61875,1129.8
-0.61563,1131.4
-0.6125,1132.8
-0.60938,1134.2
-0.60625,1135.3
-0.60312,1136.3
-0.6,1137.1
-0.59688,1137.7
-0.59375,1138.1
-0.59062,1138.3
-0.5875,1138.2
-0.58438,1138.0
-0.58125,1137.5
-0.57812,1136.7
-0.575,1135.7
-0.57187,1134.4
-0.56875,1132.9
-0.56563,1131.2
-0.5625,1129.2
-0.55937,1127.2
-0.55625,1125.0
-0.55313,1122.9
-0.55,1120.9
-0.54688,1119.3
-0.54375,1118.2
-0.54062,1117.6
-0.5375,1117.5
-0.53438,1117.9
-0.53125,1118.9
-0.52812,1120.3
-0.525,1122.1
-0.52188,1124.3
-0.51875,1126.9
-0.51562,1129.6
-0.5125,1132.6
-0.50937,1135.8
-0.50625,1139.0
-0.50313,1142.3
-0.5,1145.7
-0.49687,1149.0
-0.49375,1152.3
-0.49062,1155.6
-0.4875,1158.9
-0.48438,1162.1
-0.48125,1165.2
-0.47813,1168.2
-0.475,1171.2
-0.47188,1174.1
-0.46875,1176.9
-0.46562,1179.6
-0.4625,1182.3
-0.45937,1185.0
-0.45625,1187.5
-0.45312,1190.0
-0.45,1192.5
-0.44688,1194.9
-0.44375,1197.3
-0.44063,1199.7
-0.4375,1202.0
-0.43437,1204.3
-0.43125,1206.6
-0.42812,1208.9
-0.425,1211.2
-0.42188,1213.4
-0.41875,1215.7
-0.41563,1217.9
-0.4125,1220.1
-0.40938,1222.4
-0.40625,1224.6
-0.40312,1226.9
-0.4,1229.1
-0.39687,1231.4
-0.39375,1233.6
-0.39062,1235.9
-0.3875,1238.2
-0.38438,1240.5
-0.38125,1242.8
-0.37813,1245.1
-0.375,1247.4
-0.37187,1249.7
-0.36875,1252.1
-0.36562,1254.4
-0.3625,1256.8
-0.35938,1259.1
-0.35625,1261.5
-0.35313,1263.9
-0.35,1266.4
-0.34688,1268.8
-0.34375,1271.2
-0.34062,1273.7
-0.3375,1276.1
-0.33437,1278.6
-0.33125,1281.1
-0.32812,1283.6
-0.325,1286.1
-0.32188,1288.7
-0.31875,1291.2
-0.31563,1293.8
-0.3125,1296.3
-0.30937,1298.9
-0.30625,1301.5
-0.30312,1304.1
-0.3,1306.7
-0.29688,1309.3
-0.29375,1311.9
-0.29063,1314.5
-0.2875,1317.1
-0.28438,1319.7
-0.28125,1322.4
-0.27812,1325.0
-0.275,1327.6
-0.27187,1330.1
-0.26875,1332.7
-0.26562,1335.2
-0.2625,1337.8
-0.25938,1340.2
-0.25625,1342.7
-0.25313,1345.1
-0.25,1347.4
-0.24688,1349.6
-0.24375,1351.8
-0.24062,1353.8
-0.2375,1355.8
-0.23438,1357.6
-0.23125,1359.2
-0.22813,1360.6
-0.225,1361.9
-0.22187,1362.8
-0.21875,1363.5
-0.21563,1363.8
-0.2125,1363.8
-0.20937,1363.3
-0.20625,1362.2
-0.20312,1360.6
-0.2,1358.2
-0.19688,1355.1
-0.19375,1351.0
-0.19062,1345.9
-0.1875,1339.5
-0.18438,1331.7
-0.18125,1322.2
-0.17812,1310.9
-0.175,1297.3
-0.17188,1281.2
-0.16875,1262.2
-0.16563,1239.8
-0.1625,1213.4
-0.15937,1182.5
-0.15625,1146.3
-0.15313,1103.8
-0.15313,NaN
-0.15313,1054.5
