"uh","Points:0","Points:1","Points:2"
29.038,-1,0,0
29.061,-0.99687,1.7347e-19,0
29.061,-0.99687,0,0
29.129,-0.99375,0,0
29.129,-0.99375,0,0
29.243,-0.99063,0,0
29.243,-0.99063,0,0
29.404,-0.9875,1.7347e-19,0
29.404,-0.9875,0,0
29.614,-0.98438,-4.2501e-17,0
nan,-0.98438,-4.2501e-17,0
nan,-0.9875,0,0
29.404,-0.9875,0,0
29.614,-0.98438,0,0
29.614,-0.98438,0,0
29.875,-0.98125,1.7347e-19,0
29.875,-0.98125,0,0
30.189,-0.97812,1.7347e-19,0
30.189,-0.97812,0,0
30.56,-0.975,1.7347e-19,0
30.56,-0.975,0,0
30.99,-0.97188,0,0
30.99,-0.97188,0,0
31.485,-0.96875,-4.2501e-17,0
nan,-0.96875,-4.2501e-17,0
nan,-0.97188,0,0
30.99,-0.97188,0,0
31.485,-0.96875,0,0
31.485,-0.96875,0,0
32.049,-0.96562,0,0
32.049,-0.96562,0,0
32.687,-0.9625,0,0
32.687,-0.9625,0,0
33.404,-0.95938,0,0
33.404,-0.95938,0,0
34.209,-0.95625,1.7347e-19,0
34.209,-0.95625,0,0
35.107,-0.95312,0,0
nan,-0.95312,0,0
nan,-0.95625,0,0
34.209,-0.95625,0,0
35.107,-0.95312,-4.2501e-17,0
35.107,-0.95312,0,0
36.107,-0.95,1.7347e-19,0
36.107,-0.95,0,0
37.218,-0.94687,0,0
37.218,-0.94687,0,0
38.45,-0.94375,0,0
38.45,-0.94375,0,0
39.812,-0.94063,0,0
39.812,-0.94063,0,0
41.316,-0.9375,0,0
nan,-0.9375,0,0
nan,-0.94063,0,0
39.812,-0.94063,0,0
41.316,-0.9375,-4.2501e-17,0
41.316,-0.9375,0,0
42.975,-0.93437,0,0
42.975,-0.93437,0,0
44.801,-0.93125,1.7347e-19,0
44.801,-0.93125,0,0
46.808,-0.92813,0,0
46.808,-0.92813,0,0
49.012,-0.925,0,0
49.012,-0.925,0,0
51.428,-0.92188,0,0
nan,-0.92188,0,0
nan,-0.925,0,0
49.012,-0.925,0,0
51.428,-0.92188,-4.2501e-17,0
51.428,-0.92188,0,0
54.074,-0.91875,1.7347e-19,0
54.074,-0.91875,-9.6296e-35,0
56.967,-0.91562,4.3368e-19,0
nan,-0.91562,4.3368e-19,0
nan,-0.91875,0,0
54.074,-0.91875,0,0
56.967,-0.91562,1.7347e-19,0
56.967,-0.91562,-9.6296e-35,0
60.125,-0.9125,4.3802e-17,0
nan,-0.9125,4.3802e-17,0
nan,-0.91562,0,0
56.967,-0.91562,0,0
60.125,-0.9125,-5.2042e-19,0
60.125,-0.9125,-4.3368e-19,0
63.569,-0.90938,0,0
63.569,-0.90938,-9.6296e-35,0
67.319,-0.90625,4.3368e-19,0
67.319,-0.90625,-9.6296e-35,0
71.395,-0.90312,4.5536e-17,0
nan,-0.90312,4.5536e-17,0
nan,-0.90625,0,0
67.319,-0.90625,0,0
71.395,-0.90312,0,0
71.395,-0.90312,0,0
75.82,-0.9,0,0
75.82,-0.9,0,0
80.616,-0.89688,0,0
80.616,-0.89688,-9.6296e-35,0
85.806,-0.89375,4.4669e-17,0
85.806,-0.89375,0,0
91.413,-0.89062,0,0
91.413,-0.89062,0,0
97.459,-0.8875,0,0
nan,-0.8875,0,0
nan,-0.89062,-9.6296e-35,0
91.413,-0.89062,-9.6296e-35,0
97.459,-0.8875,4.5536e-17,0
97.459,-0.8875,0,0
103.97,-0.88437,0,0
103.97,-0.88437,0,0
110.97,-0.88125,0,0
110.97,-0.88125,0,0
118.47,-0.87813,0,0
118.47,-0.87813,0,0
126.5,-0.875,0,0
126.5,-0.875,-9.6296e-35,0
135.09,-0.87187,4.5536e-17,0
nan,-0.87187,4.5536e-17,0
nan,-0.875,0,0
126.5,-0.875,0,0
135.09,-0.87187,0,0
135.09,-0.87187,-9.6296e-35,0
144.25,-0.86875,4.3368e-19,0
144.25,-0.86875,-9.6296e-35,0
153.99,-0.86563,4.5536e-17,0
153.99,-0.86563,0,0
164.34,-0.8625,0,0
164.34,-0.8625,-9.6296e-35,0
175.31,-0.85938,4.3368e-19,0
175.31,-0.85938,-9.6296e-35,0
186.91,-0.85625,4.5536e-17,0
nan,-0.85625,4.5536e-17,0
nan,-0.85938,0,0
175.31,-0.85938,0,0
186.91,-0.85625,0,0
186.91,-0.85625,-9.6296e-35,0
199.15,-0.85312,4.3368e-19,0
199.15,-0.85312,-9.6296e-35,0
212.04,-0.85,4.5536e-17,0
212.04,-0.85,-9.6296e-35,0
225.57,-0.84688,4.4669e-17,0
225.57,-0.84688,-9.6296e-35,0
239.76,-0.84375,4.3368e-19,0
239.76,-0.84375,-9.6296e-35,0
254.58,-0.84062,4.5536e-17,0
nan,-0.84062,4.5536e-17,0
nan,-0.84375,0,0
239.76,-0.84375,0,0
254.58,-0.84062,0,0
254.58,-0.84062,-9.6296e-35,0
270.04,-0.8375,4.3368e-19,0
270.04,-0.8375,0,0
286.13,-0.83438,0,0
286.13,-0.83438,0,0
302.82,-0.83125,0,0
302.82,-0.83125,-9.6296e-35,0
320.1,-0.82812,4.3368e-19,0
320.1,-0.82812,0,0
337.93,-0.825,0,0
nan,-0.825,0,0
nan,-0.82812,-9.6296e-35,0
320.1,-0.82812,-9.6296e-35,0
337.93,-0.825,4.5536e-17,0
