x,uh
-1.0,29.364
-0.99687,29.389
-0.99375,29.464
-0.99063,29.589
-0.9875,29.767
-0.98438,29.998
-0.98125,30.285
-0.97812,30.631
-0.975,31.039
-0.97188,31.513
-0.96875,32.058
-0.96562,32.679
-0.9625,33.382
-0.95938,34.173
-0.95625,35.059
-0.95312,36.049
-0.95,37.152
-0.94687,38.376
-0.94375,39.733
-0.94063,41.233
-0.9375,42.89
-0.93437,44.715
-0.93125,46.723
-0.92813,48.93
-0.925,51.35
-0.92188,54.001
-0.91875,56.9
-0.91562,60.066
-0.9125,63.519
-0.90938,67.279
-0.90625,71.367
-0.90312,75.805
-0.9,80.614
-0.89688,85.819
-0.89375,91.441
-0.89062,97.504
-0.8875,104.03
-0.88437,111.04
-0.88125,118.57
-0.87813,126.62
-0.875,135.22
-0.87187,144.4
-0.86875,154.16
-0.86563,164.53
-0.8625,175.52
-0.85938,187.13
-0.85625,199.39
-0.85312,212.29
-0.85,225.84
-0.84688,240.03
-0.84375,254.86
-0.84062,270.33
-0.8375,286.42
-0.83438,303.11
-0.83125,320.39
-0.82812,338.23
-0.825,356.59
-0.82187,375.45
-0.81875,394.77
-0.81563,414.51
-0.8125,434.63
-0.80937,455.08
-0.80625,475.8
-0.80313,496.75
-0.8,517.88
-0.79688,539.12
-0.79375,560.43
-0.79062,581.74
-0.7875,603.01
-0.78438,624.17
-0.78125,645.17
-0.77812,665.96
-0.775,686.48
-0.77188,706.7
-0.76875,726.56
-0.76562,746.02
-0.7625,765.05
-0.75937,783.61
-0.75625,801.67
-0.75313,819.2
-0.75,836.17
-0.74687,852.58
-0.74375,868.41
-0.74063,883.64
-0.7375,898.28
-0.73438,912.31
-0.73125,925.73
-0.72812,938.56
-0.725,950.79
-0.72188,962.44
-0.71875,973.53
-0.71562,984.05
-0.7125,994.04
-0.70938,1003.5
-0.70625,1012.5
-0.70312,1020.9
-0.7,1028.9
-0.69687,1036.5
-0.69375,1043.7
-0.69063,1050.4
-0.6875,1056.8
-0.68437,1062.8
-0.68125,1068.5
-0.67813,1073.9
-0.675,1079.0
-0.67188,1083.8
-0.66875,1088.3
-0.66562,1092.7
-0.6625,1096.8
-0.65938,1100.7
-0.65625,1104.4
-0.65312,1107.9
-0.65,1111.3
-0.64688,1114.5
-0.64375,1117.6
-0.64062,1120.6
-0.6375,1123.4
-0.63437,1126.1
-0.63125,1128.8
-0.62813,1131.3
-0.625,1133.7
-0.62187,1136.1
-0.61875,1138.3
-0.61563,1140.5
-0.6125,1142.6
-0.60938,1144.6
-0.60625,1146.5
-0.60312,1148.4
-0.6,1150.1
-0.59688,1151.8
-0.59375,1153.3
-0.59062,1154.8
-0.5875,1156.1
-0.58438,1157.4
-0.58125,1158.5
-0.57812,1159.5
-0.575,1160.3
-0.57187,1161.0
-0.56875,1161.5
-0.56563,1161.9
-0.5625,1162.1
-0.55937,1162.2
-0.55625,1162.2
-0.55313,1162.0
-0.55,1161.8
-0.54688,1161.7
-0.54375,1161.5
-0.54062,1161.5
-0.5375,1161.5
-0.53438,1161.6
-0.53125,1161.9
-0.52812,1162.3
-0.525,1162.8
-0.52188,1163.4
-0.51875,1164.1
-0.51562,1164.9
-0.5125,1165.9
-0.50937,1166.9
-0.50625,1168.1
-0.50313,1169.3
-0.5,1170.6
-0.49687,1172.0
-0.49375,1173.5
-0.49062,1175.0
-0.4875,1176.6
-0.48438,1178.2
-0.48125,1179.9
-0.47813,1181.6
-0.475,1183.3
-0.47188,1185.1
-0.46875,1187.0
-0.46562,1188.8
