"uh","Points:0","Points:1","Points:2"
29.364,-1,0,0
29.389,-0.99687,1.7347e-19,0
29.389,-0.99687,0,0
29.464,-0.99375,0,0
29.464,-0.99375,0,0
29.589,-0.99063,0,0
29.589,-0.99063,0,0
29.767,-0.9875,1.7347e-19,0
29.767,-0.9875,0,0
29.998,-0.98438,-4.2501e-17,0
nan,-0.98438,-4.2501e-17,0
nan,-0.9875,0,0
29.767,-0.9875,0,0
29.998,-0.98438,0,0
29.998,-0.98438,0,0
30.285,-0.98125,1.7347e-19,0
30.285,-0.98125,0,0
30.631,-0.97812,1.7347e-19,0
30.631,-0.97812,0,0
31.039,-0.975,1.7347e-19,0
31.039,-0.975,0,0
31.513,-0.97188,0,0
31.513,-0.97188,0,0
32.058,-0.96875,-4.2501e-17,0
nan,-0.96875,-4.2501e-17,0
nan,-0.97188,0,0
31.513,-0.97188,0,0
32.058,-0.96875,0,0
32.058,-0.96875,0,0
32.679,-0.96562,0,0
32.679,-0.96562,0,0
33.382,-0.9625,0,0
33.382,-0.9625,0,0
34.173,-0.95938,0,0
34.173,-0.95938,0,0
35.059,-0.95625,1.7347e-19,0
35.059,-0.95625,0,0
36.049,-0.95312,0,0
nan,-0.95312,0,0
nan,-0.95625,0,0
35.059,-0.95625,0,0
36.049,-0.95312,-4.2501e-17,0
36.049,-0.95312,0,0
37.152,-0.95,1.7347e-19,0
37.152,-0.95,0,0
38.376,-0.94687,0,0
38.376,-0.94687,0,0
39.733,-0.94375,0,0
39.733,-0.94375,0,0
41.233,-0.94063,0,0
41.233,-0.94063,0,0
42.89,-0.9375,0,0
nan,-0.9375,0,0
nan,-0.94063,0,0
41.233,-0.94063,0,0
42.89,-0.9375,-4.2501e-17,0
42.89,-0.9375,0,0
44.715,-0.93437,0,0
44.715,-0.93437,0,0
46.723,-0.93125,1.7347e-19,0
46.723,-0.93125,0,0
48.93,-0.92813,0,0
48.93,-0.92813,0,0
51.35,-0.925,0,0
51.35,-0.925,0,0
54.001,-0.92188,0,0
nan,-0.92188,0,0
nan,-0.925,0,0
51.35,-0.925,0,0
54.001,-0.92188,-4.2501e-17,0
54.001,-0.92188,0,0
56.9,-0.91875,1.7347e-19,0
56.9,-0.91875,-9.6296e-35,0
60.066,-0.91562,4.3368e-19,0
nan,-0.91562,4.3368e-19,0
nan,-0.91875,0,0
56.9,-0.91875,0,0
60.066,-0.91562,1.7347e-19,0
60.066,-0.91562,-9.6296e-35,0
63.519,-0.9125,4.3802e-17,0
nan,-0.9125,4.3802e-17,0
nan,-0.91562,0,0
60.066,-0.91562,0,0
63.519,-0.9125,-5.2042e-19,0
63.519,-0.9125,-4.3368e-19,0
67.279,-0.90938,0,0
67.279,-0.90938,-9.6296e-35,0
71.367,-0.90625,4.3368e-19,0
71.367,-0.90625,-9.6296e-35,0
75.805,-0.90312,4.5536e-17,0
nan,-0.90312,4.5536e-17,0
nan,-0.90625,0,0
71.367,-0.90625,0,0
75.805,-0.90312,0,0
75.805,-0.90312,0,0
80.614,-0.9,0,0
80.614,-0.9,0,0
85.819,-0.89688,0,0
85.819,-0.89688,-9.6296e-35,0
91.441,-0.89375,4.4669e-17,0
91.441,-0.89375,0,0
97.504,-0.89062,0,0
97.504,-0.89062,0,0
104.03,-0.8875,0,0
nan,-0.8875,0,0
nan,-0.89062,-9.6296e-35,0
97.504,-0.89062,-9.6296e-35,0
104.03,-0.8875,4.5536e-17,0
104.03,-0.8875,0,0
111.04,-0.88437,0,0
111.04,-0.88437,0,0
118.57,-0.88125,0,0
118.57,-0.88125,0,0
126.62,-0.87813,0,0
126.62,-0.87813,0,0
135.22,-0.875,0,0
135.22,-0.875,-9.6296e-35,0
144.4,-0.87187,4.5536e-17,0
nan,-0.87187,4.5536e-17,0
nan,-0.875,0,0
135.22,-0.875,0,0
144.4,-0.87187,0,0
144.4,-0.87187,-9.6296e-35,0
154.16,-0.86875,4.3368e-19,0
154.16,-0.86875,-9.6296e-35,0
164.53,-0.86563,4.5536e-17,0
164.53,-0.86563,0,0
175.52,-0.8625,0,0
175.52,-0.8625,-9.6296e-35,0
187.13,-0.85938,4.3368e-19,0
187.13,-0.85938,-9.6296e-35,0
199.39,-0.85625,4.5536e-17,0
nan,-0.85625,4.5536e-17,0
nan,-0.85938,0,0
187.13,-0.85938,0,0
199.39,-0.85625,0,0
199.39,-0.85625,-9.6296e-35,0
212.29,-0.85312,4.3368e-19,0
212.29,-0.85312,-9.6296e-35,0
225.84,-0.85,4.5536e-17,0
225.84,-0.85,-9.6296e-35,0
240.03,-0.84688,4.4669e-17,0
240.03,-0.84688,-9.6296e-35,0
254.86,-0.84375,4.3368e-19,0
254.86,-0.84375,-9.6296e-35,0
270.33,-0.84062,4.5536e-17,0
nan,-0.84062,4.5536e-17,0
nan,-0.84375,0,0
254.86,-0.84375,0,0
270.33,-0.84062,0,0
270.33,-0.84062,-9.6296e-35,0
286.42,-0.8375,4.3368e-19,0
286.42,-0.8375,0,0
303.11,-0.83438,0,0
303.11,-0.83438,0,0
320.39,-0.83125,0,0
320.39,-0.83125,-9.6296e-35,0
338.23,-0.82812,4.3368e-19,0
338.23,-0.82812,0,0
356.59,-0.825,0,0
nan,-0.825,0,0
nan,-0.82812,-9.6296e-35,0
338.23,-0.82812,-9.6296e-35,0
356.59,-0.825,4.5536e-17,0
356.59,-0.825,-9.6296e-35,0
375.45,-0.82187,4.3368e-19,0
375.45,-0.82187,-9.6296e-35,0
394.77,-0.81875,4.5536e-17,0
394.77,-0.81875,0,0
414.51,-0.81563,0,0
414.51,-0.81563,0,0
434.63,-0.8125,0,0
434.63,-0.8125,-9.6296e-35,0
455.08,-0.80937,4.5536e-17,0
nan,-0.80937,4.5536e-17,0
nan,-0.8125,0,0
434.63,-0.8125,0,0
455.08,-0.80937,0,0
455.08,-0.80937,-9.6296e-35,0
475.8,-0.80625,0,0
475.8,-0.80625,0,0
496.75,-0.80313,2.6021e-19,0
496.75,-0.80313,4.3368e-19,0
